domain,dataset,num_units,median_d_link,mean_d_link,spearman_dlink_gain,mean_gain,median_gain,low_tercile_gain,mid_tercile_gain,high_tercile_gain,num_effective,num_boundary
Natural images,CBSD68,16,0.07531401179560701,0.09438176694429168,0.8352941176470589,6.9475244916111825,5.768039503033207,3.8666609642645393,5.154197457577368,12.43788775846097,6,6
Natural images,CIFAR-10,1000,0.007989650944508063,0.015999308919599674,0.9335742815742818,3.473160286255122,2.352071272853025,-0.007378228693543852,2.585380781106049,7.851930373965319,135,548
Object-view,COIL-100,100,0.2079133301630343,0.24148441625000477,0.9321932193219321,5.761672207465982,5.398187020690364,2.770766582503985,5.463990154605711,9.140893389074975,34,33
Object-view,smallNORB,25,0.26367626347555345,0.30700621129930694,0.9453846153846153,10.194076166114767,9.836016766315357,6.920818690738878,9.907207926733065,14.163359065294348,9,9
