Setting,Method,beta_0_mean,beta_0_std,beta_1_mean,beta_1_std
bias=0,NTD-PL ($\beta_0 = 0$),0.0,0.0,1.0002021729946136,0.003874887236748623
bias=0,NTD-PL ($\beta_0$ free),-0.0017426231992430986,0.0007487963942087572,1.0002506971359253,0.0037306059139768006
bias=0.5,NTD-PL ($\beta_0 = 0$),0.0,0.0,0.9926015377044678,0.012428644777223089
bias=0.5,NTD-PL ($\beta_0$ free),0.0651200044900179,0.016209508845490696,1.0011607527732849,0.004511964969212591
