nonlinear,degree,contribution_mean,contribution_std,n_runs
poly2,0,0.45251613548770175,0.8230917603686213,10
poly2,1,43.324544923952224,17.518784689742823,10
poly2,2,23.229423665702992,6.861713126546351,10
poly2,3,5.8336300725556685,4.880929176824659,10
poly2,4,8.24432124620201,5.793902512748894,10
poly2,5,9.128705325509474,9.523228767390568,10
poly2,6,9.78685863058992,9.662563745838098,10
poly3,0,0.11824073512477515,0.08630733481573231,10
poly3,1,24.06198189537914,6.491418874814797,10
poly3,2,9.77830713505452,4.129424339397314,10
poly3,3,38.11824463404521,8.956177773125397,10
poly3,4,7.316330651617764,5.545390478083905,10
poly3,5,11.54147675369641,11.144858200162044,10
poly3,6,9.065418195082174,6.326505029711869,10
sin,0,0.06710113407692554,0.05475779423111969,10
sin,1,37.72833518807031,8.805752308072302,10
sin,2,0.6174535614278798,0.5601099407600431,10
sin,3,35.44047525834712,3.496928491013459,10
sin,4,2.7729795032645432,2.6973871808073935,10
sin,5,19.795179178350296,6.94373159495946,10
sin,6,3.5784761764629316,3.793533471258088,10
tanh,0,0.15377174585120987,0.08789783037419703,10
tanh,1,37.92562443367248,9.029373048141855,10
tanh,2,1.3084620796454036,0.7437074589347011,10
tanh,3,30.923012609877695,4.0010339676577615,10
tanh,4,5.392180207899706,3.7333987329914256,10
tanh,5,17.335308939922367,3.455104617726097,10
tanh,6,6.961639983131143,5.786186416574302,10
