index,panel,method,x,mean,std,band_lower,band_upper
0,exp,CP,0.1,0.14784131422638894,0.04492472041172415,0.10291659381466478,0.1927660346381131
1,exp,CP,0.15,0.16054369434714316,0.053705218548385385,0.10683847579875777,0.21424891289552855
2,exp,CP,0.2,0.17271784842014312,0.06617081080879694,0.10654703761134618,0.23888865922894006
3,exp,CP,0.25,0.1759924039244652,0.06567552599425801,0.11031687793020718,0.2416679299187232
4,exp,CP,0.3,0.18352884501218797,0.0722330498510835,0.11129579516110447,0.2557618948632715
5,exp,CP,0.35,0.1876058652997017,0.07865608306050437,0.10894978223919732,0.26626194836020606
6,exp,CP,0.4,0.18668164536356927,0.07675542516771008,0.10992622019585918,0.26343707053127935
7,exp,NTD-PL,0.1,0.07140647955238819,0.02777088402561196,0.043635595526776226,0.09917736357800014
8,exp,NTD-PL,0.15,0.10114343985915183,0.04006935580727095,0.06107408405188088,0.14121279566642278
9,exp,NTD-PL,0.2,0.1127356693148613,0.04188544118101096,0.07085022813385033,0.15462111049587227
10,exp,NTD-PL,0.25,0.11624374240636826,0.039937267401507666,0.0763064750048606,0.15618100980787591
11,exp,NTD-PL,0.3,0.11668366193771362,0.039045585959334696,0.07763807597837893,0.1557292478970483
12,exp,NTD-PL,0.35,0.11853107511997223,0.04240396119498353,0.07612711392498869,0.16093503631495576
13,exp,NTD-PL,0.4,0.1209486536681652,0.04376260560048586,0.07718604806767934,0.16471125926865107
14,exp,TT,0.1,0.30176173746585844,0.06048905037268471,0.24127268709317373,0.36225078783854314
15,exp,TT,0.15,0.31945196390151975,0.07344228585003752,0.24600967805148222,0.3928942497515573
16,exp,TT,0.2,0.33169552534818647,0.08645787479252379,0.24523765055566268,0.41815340014071023
17,exp,TT,0.25,0.3370450958609581,0.09598316051162818,0.2410619353493299,0.4330282563725863
18,exp,TT,0.3,0.3366288661956787,0.10034256447510834,0.23628630172057039,0.43697143067078703
19,exp,TT,0.35,0.33348609507083893,0.10234810784685656,0.23113798722398238,0.4358342029176955
20,exp,TT,0.4,0.32824907153844834,0.10608138763572576,0.22216768390272257,0.4343304591741741
21,exp,Tucker,0.1,0.198142708837986,0.04490249524554263,0.15324021359244336,0.24304520408352862
22,exp,Tucker,0.15,0.22126140743494033,0.057120855047998534,0.1641405523869418,0.27838226248293885
23,exp,Tucker,0.2,0.23293840140104294,0.06265638381906007,0.17028201758198286,0.295594785220103
24,exp,Tucker,0.25,0.2402834564447403,0.0690921921083735,0.1711912643363668,0.30937564855311384
25,exp,Tucker,0.3,0.24468284994363784,0.07487057223146694,0.1698122777121709,0.3195534221751048
26,exp,Tucker,0.35,0.24822615683078766,0.07970699107177796,0.16851916575900971,0.3279331479025656
27,exp,Tucker,0.4,0.24930991977453232,0.0853922953814713,0.163917624393061,0.3347022151560036
28,linear,CP,0.1,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
29,linear,CP,0.15,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
30,linear,CP,0.2,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
31,linear,CP,0.25,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
32,linear,CP,0.3,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
33,linear,CP,0.35,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
34,linear,CP,0.4,0.05678126737475395,0.01494980300421979,0.041831464370534165,0.07173107037897375
35,linear,NTD-PL,0.1,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
36,linear,NTD-PL,0.15,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
37,linear,NTD-PL,0.2,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
38,linear,NTD-PL,0.25,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
39,linear,NTD-PL,0.3,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
40,linear,NTD-PL,0.35,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
41,linear,NTD-PL,0.4,0.028952198661863805,0.0008666773607137799,0.028085521301150024,0.029818876022577587
42,linear,TT,0.1,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
43,linear,TT,0.15,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
44,linear,TT,0.2,0.23580488711595535,0.05534092812796503,0.1804639589879903,0.29114581524392036
