image_id,seed,missing_rate,method,rank,target_shape,observed_rate,RMSE_missing,PSNR_missing,SSIM_missing,SAM_missing,NMSE_dB_missing,RMSE_all,PSNR_all,SSIM_all,fit_time_sec,run_dir
1,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07723742723464966,22.24344371045405,0.8879087029118162,1.4149841366729887,-15.148949367270117,0.06408540159463882,23.86481745081571,0.7878389757425314,0.7228061999194324,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\run\kodim01_seed0_ntdpl
1,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07796069234609604,22.162486203467534,0.8862972022069566,1.5018135169123565,-15.067991945021697,0.0647701844573021,23.772497862104423,0.7825215237190299,0.1871961000142619,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\benchmark\kodim01_seed0_tucker
2,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.060630906373262405,24.346119123965106,0.9582530412501356,1.8066271974366501,-15.619918050031096,0.04759322106838226,26.449097964594273,0.7033063043264983,0.7204473000019789,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\run\kodim02_seed0_ntdpl
2,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.06242762878537178,24.092463341793643,0.9560744156909553,1.877877547562009,-15.366262231499404,0.048697181046009064,26.249923193877883,0.7040722974572425,0.21672899997793138,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\benchmark\kodim02_seed0_tucker
3,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.08813824504613876,21.09671220881016,0.8794564267273799,2.610493204587348,-13.518117280892913,0.07289727032184601,22.74577485435263,0.647669260657914,0.7893319999566302,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\run\kodim03_seed0_ntdpl
3,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.09172052890062332,20.750668823037582,0.87196647046781,3.4261731408094387,-13.172074310277083,0.07569225132465363,22.41897161008541,0.644127841682617,0.22622700000647455,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\benchmark\kodim03_seed0_tucker
4,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.07006796449422836,23.089609594518137,0.9308017236460433,2.401851442666314,-15.688888060380846,0.05799826234579086,24.731700612677354,0.7125517301219002,0.8137998000020161,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\run\kodim04_seed0_ntdpl
4,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.07038159668445587,23.05081729099911,0.9302654578616429,2.5972070895159565,-15.650096069086842,0.05831655487418175,24.684162177717738,0.711612567051947,0.17100769991520792,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\benchmark\kodim04_seed0_tucker
5,0,0.5,ntdpl,"(24,24,2)","(128,128)",0.4994913736979167,0.1407763510942459,17.029405540844657,0.7199179701279422,4.06165655696818,-8.33913065880964,0.11644192039966583,18.67781313383729,0.6257241131993924,0.727020199992694,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\run\kodim05_seed0_ntdpl
5,0,0.5,tucker,"(24,24,2)","(128,128)",0.4994913736979167,0.14342240989208221,16.867660308503215,0.7116241372417837,6.227419912730046,-8.177385346760769,0.11933745443820953,18.46446495543002,0.6119486991674777,0.19777389999944717,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-kodak-completion-p3\benchmark\kodim05_seed0_tucker
