missing_rate,scene_id,scene_name,mask_seed,residual_collapse_score,zero_baseline_r2,sample_count
0.3,1,balloons,0,0.017852748557792435,-8.01856465708628e-05,120000
0.3,2,beads,0,0.0743079180239316,-1.0120817900638457e-05,120000
0.3,3,cd,0,0.014388429861144969,-2.876510250645244e-05,120000
0.3,4,chart_and_stuffed_toy,0,0.025745593503527193,-7.56576592012929e-06,120000
0.3,5,clay,0,0.03228142959914907,-0.00027160270666818737,120000
0.3,6,cloth,0,0.022489442612670902,-4.798097413953132e-05,120000
0.3,7,egyptian_statue,0,0.021193890302211898,-4.125965643068478e-06,120000
0.3,8,face,0,0.013399747954198737,-6.267842532547974e-05,120000
0.3,9,fake_and_real_beers,0,0.012173264010916155,-1.0692792228613376e-05,120000
0.3,10,fake_and_real_food,0,0.062217685473799765,-3.031429928420278e-05,120000
0.3,11,fake_and_real_lemon_slices,0,0.03196362300675163,-3.9204860316906696e-05,120000
0.3,12,fake_and_real_lemons,0,0.018216417058214935,-6.914057209472801e-05,120000
0.3,13,fake_and_real_peppers,0,0.03293427640319657,-7.133284003849975e-06,120000
0.3,14,fake_and_real_strawberries,0,0.02781896598031819,-4.258116791685159e-05,120000
0.3,15,fake_and_real_sushi,0,0.015905241401776998,-1.5075717741804459e-05,120000
0.5,1,balloons,0,0.02141129657949048,-5.793662866275066e-06,120000
0.5,2,beads,0,0.07312986382591517,-1.8992158939301618e-05,120000
0.5,3,cd,0,0.012661546531319753,-3.1830677808356946e-06,120000
0.5,4,chart_and_stuffed_toy,0,0.03142400301230608,-0.0001017085986649846,120000
0.5,5,clay,0,0.029259668314082405,-0.0002879070868726519,120000
0.5,6,cloth,0,0.022531818296056366,-1.7720463236337025e-05,120000
0.5,7,egyptian_statue,0,0.021111330938206236,-2.8037108996533295e-05,120000
0.5,8,face,0,0.012174476359694819,-1.8896659545501276e-05,120000
0.5,9,fake_and_real_beers,0,0.012104988812841203,-5.40747579220735e-05,120000
0.5,10,fake_and_real_food,0,0.0661260463179213,-4.792777511567851e-05,120000
0.5,11,fake_and_real_lemon_slices,0,0.02840437811366799,-3.0875952679476626e-05,120000
0.5,12,fake_and_real_lemons,0,0.02217777543255765,-2.59353875805927e-05,120000
0.5,13,fake_and_real_peppers,0,0.03283006218252774,-1.6741029426725618e-05,120000
0.5,14,fake_and_real_strawberries,0,0.025525359651591823,-3.4680073338770136e-05,120000
0.5,15,fake_and_real_sushi,0,0.015302571605068094,-8.343516668303981e-05,120000
