missing_rate,score_tertile,link_score_db_mean,ntdpl_gain_mean,joint_extra_gain_mean,n_scenes
0.1,low,0.015923048393210577,0.007520114560075633,0.005689016787629399,5
0.1,mid,0.04331808494939948,0.07921963772959544,0.07424648215100163,5
0.1,high,0.16522253381041846,0.12631652588198752,0.10753079070041953,5
0.3,low,0.015231777002501787,-0.01129478044655068,-0.01304648744887094,5
0.3,mid,0.041379618456277814,0.09096125643629327,0.08621016538199792,5
0.3,high,0.1684522829966332,0.13123468242299535,0.11208457061093798,5
0.5,low,0.015418735969092892,-0.010877852245886886,-0.01265101856700177,5
0.5,mid,0.04221824256969588,0.09159694322493775,0.0867492134400888,5
0.5,high,0.168671200473055,0.1318281694928515,0.11265742876613963,5
0.7,low,0.016492111364765825,-0.006240479321800699,-0.008136966344234834,5
0.7,mid,0.04047433171911426,0.09221047940892817,0.08756233287773418,5
0.7,high,0.1640689315485529,0.13072162053165773,0.11206572184579458,5
