pattern,missing_rate,method,RMSE_missing_mean,RMSE_missing_std,SAM_missing_mean,SAM_missing_std,NMSE_dB_missing_mean,NMSE_dB_missing_std,observed_rate_mean,fit_time_mean,n_runs,n_scenes
block,0.5,tucker,0.15486083652879412,0.012633535799412881,31.67831783829146,11.631986960150401,-2.2910058043812604,1.199632708551482,0.49395751953125,2.2602679333261526,3,3
block,0.5,ntdpl,0.14762997130552927,0.01319392449161506,28.1244460524383,9.600374067816022,-2.7099663130050664,1.2461802122242456,0.49395751953125,4.359363633324392,3,3
spectral-band,0.5,tucker,0.14463549548677632,0.008041213384994916,34.092121462604595,9.604248411047442,-1.9397904980575438,0.965796442674917,0.4838709677419355,0.9007312666314343,3,3
spectral-band,0.5,ntdpl,0.14861484865347543,0.009872110112716399,34.0921230606912,9.60424637596256,-1.7079631675536546,0.8605256333566779,0.4838709677419355,3.4539800999918953,3,3
stripe,0.5,tucker,0.144675146472893,0.010414880697553286,34.15906192548419,10.344202672765077,-1.9227538298848668,0.9633355620479899,0.5,0.925911833338129,3,3
stripe,0.5,ntdpl,0.14895682533582053,0.011417061651192023,35.30135061532215,12.406388250886074,-1.6714840875837134,1.0021304616060096,0.5,3.43696853336102,3,3
