method,method_label,latent_update,scalar_map,RMSE_mean,RMSE_std,NMSE_dB_mean,NMSE_dB_std,SAM_mean,SAM_std,fit_time_sec_mean,fit_time_sec_std,n_scenes,RMSE_gain_pct,SAM_gain_pct
tucker,Tucker,Joint,Identity,0.014090592041611671,,-23.565487507007802,,8.143949596112813,,8.430597699974896,,1,0.0,0.0
polycal,Tucker + PolyCal(P=4),Fixed Tucker,Polynomial,0.01403055526316166,,-23.602575329763628,,7.941056351653685,,0.4819803999271244,,1,0.42607704681758174,2.491337183078478
mlpcal,Tucker + MLPCal(H=32),Fixed Tucker,Scalar MLP,0.013992439955472946,,-23.62620349770079,,7.91311169254193,,9.043446799973026,,1,0.6965788651666812,2.8344711720841738
ntdpl,NTD-PL,Joint,Polynomial,0.01315394602715969,,-24.162951632670907,,7.402313391525318,,300.5051534999802,,1,6.647314830249303,9.10659129007239
