dataset,protocol,rank,target_shape,missing_rate,method,fit_time_mean,n_runs,n_items,RMSE_missing_mean,RMSE_missing_std,SAM_missing_mean,SAM_missing_std,NMSE_dB_missing_mean,NMSE_dB_missing_std,ERGAS_missing_mean,ERGAS_missing_std,PSNR_missing_mean,PSNR_missing_std,SSIM_missing_mean,SSIM_missing_std,rmse_wins_vs_tucker,sam_wins_vs_tucker
cave_hsi,block,"(12,12,3)","(128,128)",0.3,tucker,4.434323451111817,45,15,0.18165763635795856,0.06712040681008528,38.63826487919105,10.664656266850495,-1.3994535734902382,1.8119530007445614,151.51179410756637,44.52189966734087,15.464640742350293,3.548486142482173,0.40255734877140426,0.145013228476986,0,0
cave_hsi,block,"(12,12,3)","(128,128)",0.3,ntdpl,7.996480882227317,45,15,0.23599268529150222,0.19300479576547758,26.846271850614606,7.323211806882319,-0.2606302581330991,4.90838277348919,199.41738540597476,174.69233307878122,14.325817414959003,5.373278823866735,0.3871063060490816,0.1883350093659509,32,45
cave_hsi,block,"(12,12,3)","(128,128)",0.5,tucker,2.6465543422330584,45,15,0.18015358635876158,0.05881895428344506,37.87406960795874,10.116218060125655,-1.586396245323965,1.5000442169693085,144.64262213036037,35.142690631714835,15.365692410149348,2.979760307979071,0.32228645152451935,0.1186296697361149,0,0
cave_hsi,block,"(12,12,3)","(128,128)",0.5,ntdpl,5.533123864448215,45,15,0.20480606390370262,0.15571535013054966,27.821636497329614,7.065636699837999,-1.3436490697941135,4.043672982653963,203.39723918561282,417.1740954839573,15.122945235294972,4.400384540945992,0.3502886727954696,0.14086652781118883,37,45
cave_hsi,block,"(12,12,3)","(128,128)",0.7,tucker,4.4891426511057135,45,15,0.17846864779258415,0.053436640615804054,36.269199931730206,9.382360967552161,-1.5702583811675932,1.0719187946532143,145.75115008666913,32.27354490421684,15.362843511507114,2.682364224770465,0.20469830343508516,0.07940322364707249,0,0
cave_hsi,block,"(12,12,3)","(128,128)",0.7,ntdpl,6.803087757778768,45,15,0.1864238535364469,0.08320841573877377,30.128305890426777,6.36203438817432,-1.497754626720004,2.039155295372554,148.2253667143956,45.27849329110227,15.290339702013465,3.4211841802247123,0.2290286617148353,0.09328044253397895,37,45
cave_hsi,block,"(16,16,3)","(128,128)",0.3,tucker,4.701764793326665,45,15,0.1846637679816049,0.07265413166393372,39.048579644164164,10.967913934367164,-1.313265665547156,1.8394344289371785,152.93684470514978,44.91467857675261,15.378452834407211,3.6425252136124264,0.3486400986223607,0.1535399883335228,0,0
cave_hsi,block,"(16,16,3)","(128,128)",0.3,ntdpl,7.628250562223709,45,15,0.21778439556558926,0.22601243437058183,27.357103852964933,7.539363342713277,-1.3450920861022806,4.442917154442394,179.25631266692798,177.08072902867713,15.410279325933452,5.441061051278614,0.40219784530043773,0.17004731773808313,37,44
cave_hsi,block,"(16,16,3)","(128,128)",0.5,tucker,2.9573955688910143,45,15,0.18145178911204257,0.06089254996764846,37.42130236095361,10.08351865307092,-1.5416193355314969,1.398316195717697,145.47563465831587,34.47510657082247,15.320915500356882,3.019151776039374,0.2678932512867203,0.099895278108297,0,0
cave_hsi,block,"(16,16,3)","(128,128)",0.5,ntdpl,6.362721224449989,45,15,0.18855021248261133,0.11030747517321973,28.687005833302116,6.903225089965201,-1.6966552907740733,2.6480792294729962,145.27368517860208,61.71216134684396,15.475951481958294,3.9268299649150795,0.30414571376907384,0.11886991981237383,38,44
cave_hsi,block,"(16,16,3)","(128,128)",0.7,tucker,5.505698802221256,45,15,0.17790918462704555,0.05273269352816078,35.2304025510669,9.014966603499856,-1.5868799234503623,0.9718401134827888,145.3104107063743,32.42781551062475,15.379465053789884,2.6426714285222994,0.15996389940978392,0.062305272514982094,0,0
cave_hsi,block,"(16,16,3)","(128,128)",0.7,ntdpl,8.415028324456783,45,15,0.17450355937083561,0.05563513062862006,30.09844452114259,6.079299076771254,-1.8114658452104655,1.0673554551608064,139.92049520144303,29.340988213464346,15.604051014840636,2.8334285014200966,0.19633055529197696,0.07324412958786922,38,45
cave_hsi,block,"(20,20,4)","(128,128)",0.3,tucker,7.13295165999896,45,15,0.18516325134921266,0.07360741430080983,35.7708207360956,10.744569083206224,-1.2961666037675477,1.686459685071148,153.02262272391246,42.62531416396302,15.361353772627604,3.6591346548307415,0.30735546937500385,0.13300029865813578,0,0
cave_hsi,block,"(20,20,4)","(128,128)",0.3,ntdpl,10.113044371106662,45,15,0.19556263792845938,0.15201679624604553,25.141495950685282,7.444451271419363,-1.718764747816444,3.4215315162903104,151.3717633370036,90.89987713879972,15.783951831271088,5.012046678810577,0.3698553075970924,0.13807935815520883,40,45
cave_hsi,block,"(20,20,4)","(128,128)",0.5,tucker,3.585142986678208,45,15,0.18187684643128435,0.06151718684406979,35.02438477226009,10.066263280388686,-1.5275422518935513,1.3232744534242742,145.77094748600499,35.07355974917558,15.306838416718936,3.0367357217167097,0.22731353626505627,0.08824789161888248,0,0
cave_hsi,block,"(20,20,4)","(128,128)",0.5,ntdpl,6.398156437771912,45,15,0.17446139951546988,0.07274594582412341,26.590528396825725,6.356131501987171,-2.060345261690927,1.748649491481325,136.85197022531477,39.36348247197738,15.839641346509719,3.450480822287203,0.283537994175301,0.09771753276127884,42,45
cave_hsi,block,"(20,20,4)","(128,128)",0.7,tucker,8.089615853332605,45,15,0.1776096082655189,0.05250469738345961,33.615699422788076,8.6572325307979,-1.5972656806820589,0.923728548063483,145.1553377946208,32.5744252294431,15.389850811021581,2.6255137954898253,0.1322097595270404,0.05149984350492335,0,0
cave_hsi,block,"(20,20,4)","(128,128)",0.7,ntdpl,10.52328040666309,45,15,0.17019270757834118,0.050020824337450406,28.788543878038034,5.785466866641494,-1.972845530444166,0.7914255745980859,137.8133125834549,27.99227732388982,15.76543065996868,2.666594395018091,0.1844190531192793,0.06517197663052644,44,45
cave_hsi,block,"(24,24,4)","(128,128)",0.3,tucker,14.14252045778299,45,15,0.18390140565081994,0.072388275054019,35.74004619034243,10.62385999824255,-1.3408648364339806,1.5900217540101014,152.40133427217322,43.31818108427147,15.406052005294036,3.619479926516415,0.2801715348280926,0.11418732806758503,0,0
cave_hsi,block,"(24,24,4)","(128,128)",0.3,ntdpl,16.39734123111961,45,15,0.17967644275890457,0.11851074054219159,25.30158703286765,7.059947490189593,-2.1715562415320258,2.8004283775950163,140.65825693939766,72.41392013745322,16.236743505274013,4.656716409044686,0.36119169294719283,0.13523069857226813,42,45
cave_hsi,block,"(24,24,4)","(128,128)",0.5,tucker,3.950640457785792,45,15,0.18136896000975808,0.06031727066291438,34.93683263816099,10.148689154010563,-1.5378107110176384,1.2464898266728992,145.83451126302586,35.26908674179937,15.317106875843022,2.997575554510384,0.1908430286976865,0.07823063429934873,0,0
cave_hsi,block,"(24,24,4)","(128,128)",0.5,ntdpl,6.62443461333298,45,15,0.1709857713845041,0.06171568717306336,27.14001413741692,6.16534852653933,-2.1325174423357227,1.3987153704747295,135.06486432303592,33.481839525945794,15.911813561034721,3.2453088763186564,0.2590258618865939,0.08613207500091166,42,45
cave_hsi,block,"(24,24,4)","(128,128)",0.7,tucker,8.867613033319099,45,15,0.17711311269339827,0.051928984493789174,33.4281629539968,8.514675423505793,-1.6134506245006426,0.8810628506220374,144.9931875941746,32.78025095257447,15.406035754840165,2.5951051675358423,0.10774923375718877,0.04369828626568629,0,0
cave_hsi,block,"(24,24,4)","(128,128)",0.7,ntdpl,10.442130042203805,45,15,0.16934266520871055,0.0494365476341812,29.053319540588497,5.90017607363449,-2.0090240524040333,0.757394456935127,136.96825295203965,28.069548700136846,15.801609121683706,2.638714288117573,0.1707988058634592,0.06187415492849255,44,44
cave_hsi,random,"(12,12,3)","(128,128)",0.3,tucker,0.9597453999953965,45,15,0.04394578088358097,0.025058531613295437,21.031576477715305,6.495611789144646,-14.166586782291397,4.134079630720432,41.459541163920186,20.14675246787819,28.33426880582413,4.529149341795744,0.9458739672402479,0.06892385192191212,0,0
cave_hsi,random,"(12,12,3)","(128,128)",0.3,ntdpl,5.736046328879375,45,15,0.04021469708532095,0.02421698884520848,18.293616875191404,5.5289684704193816,-15.051211119070338,4.434076584063209,37.80828467947837,19.619870158394896,29.218893185065625,4.716979509921546,0.9537715864040387,0.060749772836600026,45,41
cave_hsi,random,"(12,12,3)","(128,128)",0.5,tucker,1.0089024288786783,45,15,0.04409960943602797,0.0250891730721245,22.716438538680855,6.963834315747206,-14.12834793231859,4.1366158732082505,41.660526737299975,20.302660963288027,28.301435517583606,4.526598058539077,0.9454605630060654,0.06924974820202816,0,0
cave_hsi,random,"(12,12,3)","(128,128)",0.5,ntdpl,5.246580422216923,45,15,0.040407674945890905,0.02429119186872757,20.149601384560125,6.240181453284019,-15.003832553931105,4.441067782030593,38.048411157103764,19.81240704984163,29.176920117178344,4.719319789724422,0.953266355443462,0.06129820029839589,45,36
cave_hsi,random,"(12,12,3)","(128,128)",0.7,tucker,1.3586502177873627,45,15,0.04458139556351334,0.025261790336190044,23.657241448847245,7.32363122507589,-14.020361379760846,4.127415978323786,42.145167907574375,20.447785044186297,28.191112351334166,4.488787819210242,0.9444051335767759,0.07035246311335662,0,0
cave_hsi,random,"(12,12,3)","(128,128)",0.7,ntdpl,5.9091768888782505,45,15,0.040857290828393567,0.024451081751782525,21.05978876531761,6.6546163091410735,-14.889733625495518,4.434488008010497,38.52495416715453,19.96049762350648,29.060484555480787,4.674281298886063,0.9524030174755325,0.06220135691931321,45,37
cave_hsi,random,"(16,16,3)","(128,128)",0.3,tucker,1.4472872111144373,45,15,0.039194448007745526,0.02311520006296502,20.080921742246378,6.4597193756755935,-15.205234575890442,4.138992820791816,37.09941842526531,19.15106316613535,29.37291659942317,4.584119916141337,0.9568202853020562,0.056903098886210604,0,0
cave_hsi,random,"(16,16,3)","(128,128)",0.3,ntdpl,8.056843273341656,45,15,0.035664122034278184,0.021855199538782386,17.42670618425151,5.327874941115233,-16.10503294493089,4.404686077547503,33.731542976575334,18.24540020936887,30.272714930998443,4.702702611969272,0.9637192609698176,0.04794417927550952,45,42
cave_hsi,random,"(16,16,3)","(128,128)",0.5,tucker,1.042295531113632,45,15,0.03941405942253853,0.023161428083326625,21.852549628872627,6.990689259190738,-15.14611114777302,4.14242869771211,37.314383050872706,19.235647176584312,29.319198733038036,4.577114083669773,0.9563328391504332,0.05730765927166736,0,0
cave_hsi,random,"(16,16,3)","(128,128)",0.5,ntdpl,7.139187840002382,45,15,0.03590534302509493,0.021992139318097317,19.254593614395827,6.056057950557754,-16.04436678844065,4.416067283783591,33.947790373084764,18.391188885857428,30.217454334423135,4.711506595882373,0.9631725940539974,0.04863110560996596,45,42
cave_hsi,random,"(16,16,3)","(128,128)",0.7,tucker,1.9411618622200977,45,15,0.03996528254360643,0.02333490133691705,22.805063793674254,7.342326822316968,-15.00166470688035,4.118262176395708,37.90729750321125,19.48511771208064,29.17241567845367,4.514554248642125,0.9552774541405913,0.05829181222743579,0,0
cave_hsi,random,"(16,16,3)","(128,128)",0.7,ntdpl,7.470424164441,45,15,0.036501078286932574,0.02226868316608141,20.139955737300472,6.423687360274267,-15.885313268148145,4.407100967510076,34.52058096493039,18.650096264016234,30.056064214731336,4.667589172821909,0.9620724500761636,0.04979366097509071,45,43
cave_hsi,random,"(20,20,4)","(128,128)",0.3,tucker,1.4613969755540084,45,15,0.03265768650650888,0.02226387851400031,16.291820217782387,6.596354186474118,-17.126687279189834,4.699764887882826,31.19686075918966,18.30493321498047,31.294369302722565,5.107024839881433,0.9684099837192739,0.04698499102153647,0,0
cave_hsi,random,"(20,20,4)","(128,128)",0.3,ntdpl,8.623561048869872,45,15,0.0292986950940556,0.02062832080823211,13.66181373932677,5.103763111878565,-18.149881852018893,4.888477261738143,27.979333731305232,17.01244185083093,32.31756385605563,5.205360230874197,0.9743288267792403,0.038313836073749434,45,42
cave_hsi,random,"(20,20,4)","(128,128)",0.5,tucker,1.057271866653011,45,15,0.03290215821150696,0.022349680539459734,17.26856120657021,7.043198236502832,-17.048082270620874,4.697306908956008,31.437015374077394,18.44023980994324,31.221169855885883,5.093856405623227,0.9679487337964362,0.04746920396340453,0,0
