dataset,item_id,task,protocol,seed,missing_rate,method,rank,target_shape,fit_time_sec,run_dir,observed_rate,mask_seed,RMSE_all,SAM_all,NMSE_dB_all,PSNR_all,SSIM_all,ERGAS_all,RMSE_missing,SAM_missing,NMSE_dB_missing,PSNR_missing,SSIM_missing,ERGAS_missing
cave_hsi,1,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.457174799987115,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id01_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.08304388076066971,14.226874175711707,-8.133306123284905,21.613847526539057,0.8477489462455979,58.30258485061447,0.14747440814971924,19.325641724266433,-3.866137061532855,16.62566708950446,0.5112990712774891,94.19998805639923
cave_hsi,1,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.676913799950853,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id01_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.09128607732396063,18.337614173696224,-7.311368139762204,20.791909093882232,0.8215952242210071,64.18547126341147,0.16253923059403655,31.84662867865417,-3.021305827398646,15.780836007642002,0.4670711388197271,104.16588783601173
cave_hsi,2,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.950125199975446,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id02_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.23529654741287231,31.415467147154416,0.9101422979898172,12.567689273601129,0.3635401325444461,171.14855660708437,0.4065912067890167,39.62781588901423,4.841263873981846,7.816840628693175,0.08614937416076265,264.0197182588583
cave_hsi,2,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.74798720004037,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id02_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.17368543279882276,37.74433995234474,-1.7269007571691932,15.204732096272103,0.4952229777009499,135.72795869834732,0.2801534809273563,53.098592539988736,1.6060249849227897,11.052079540447913,0.17053713668291237,189.37943918028077
cave_hsi,3,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.883942999993451,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id03_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.06346212327480316,18.770935604098824,-6.55783427546524,23.949708760158508,0.8320769408952551,94.00843342473655,0.0996439978480339,22.961007373014034,-2.1163574172678317,20.030976755147716,0.41700870065018086,146.12354924814753
cave_hsi,3,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.46412080002483,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id03_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.07459241530623212,19.791910964851816,-5.154232547034617,22.54610660285605,0.7793271793154485,110.36075389896098,0.11964065997007876,29.743634472499423,-0.5278046064048678,18.442423998977397,0.34504867636004877,177.06686266726442
cave_hsi,4,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.334053799975663,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id04_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.12003475427627563,18.365321080381083,-7.8153117527035345,18.413859769092465,0.8812953233118401,74.86421223791507,0.21221382915973663,20.901824144610906,-2.04754714618355,13.464526074693692,0.5261800487740778,147.6660237584009
cave_hsi,4,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.5332488000858575,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id04_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.13392055810303374,25.801616798838246,-6.864506835618576,17.463054989202263,0.8511685536203796,83.43932767433907,0.23713753671496338,35.94751036289581,-1.0830146492323973,12.49999391428853,0.39129385324354515,164.92295088650042
cave_hsi,5,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.716480899951421,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id05_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.07948829978704453,29.72006728604041,-6.196081161175563,21.993935518152107,0.8108994148454076,91.26662195244228,0.14309996366500854,35.469188320825594,-2.1235352451038123,16.887209480630222,0.2892092444807641,152.93312376591874
cave_hsi,5,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.467954799998552,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id05_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.08546997612991027,35.29936509714051,-5.565873969013573,21.363728346615673,0.7906321856898372,107.8056399818587,0.15353524729308482,46.44587441751618,-1.5121637423780288,16.275838143455882,0.26513239088466883,193.34747184290953
cave_hsi,6,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.439210499986075,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id06_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.13582274317741394,13.45214309726424,-5.4915848079998595,17.340550073110357,0.6777820408977313,102.27999192845918,0.22371423244476318,20.47701644637217,-1.4013807765427786,13.006128034627544,0.3524179084971748,169.03847642901496
cave_hsi,6,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.481986499973573,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id06_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.1267264995363225,14.275168559528794,-6.093686090103235,17.942651222608514,0.7182742570466041,90.30469504159797,0.20428797994199624,22.777256587048786,-2.1903966498463996,13.795143719571962,0.46011718979169663,144.81605550287816
cave_hsi,7,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.062008400098421,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id07_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.03547246381640434,27.63630786104087,-10.221225080978517,29.002172788800685,0.9402783687365108,70.58384160231734,0.06209973618388176,30.374648880227195,-3.8997206855186044,24.1382048200208,0.6801037600629268,129.2224541571102
cave_hsi,7,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.52465569996275,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id07_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.044410893937358795,34.22569656849278,-8.269261918564023,27.050209698357264,0.9089366972314886,86.74320677653185,0.07881092569266399,42.85879766229374,-1.8297872579889483,22.068271427082436,0.5601723727514083,159.63501842858133
cave_hsi,8,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.582516600028612,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id08_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.12211453914642334,22.581039115662477,-5.053080150212754,18.264652522289992,0.7249576685610513,99.24964825104284,0.2153632640838623,21.354375074625338,-2.4381471995406128,13.336567318249264,0.3664007829173134,118.15245257544365
cave_hsi,8,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.441272199968807,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id08_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.15388665400840845,34.36374097463098,-3.0444082616044144,16.255980864167398,0.608697048720356,125.50177581473659,0.2726196582816349,47.49782327577825,-0.39043651903918697,11.288856618198848,0.2309666341988642,149.84790485165686
cave_hsi,9,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.826565600000322,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id09_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.08006864041090012,27.68158855285004,-6.4667796493253435,21.93075091298606,0.8516612268895767,86.07891527113493,0.14032840728759766,33.978049462880584,-1.3211808458453782,17.057088339044498,0.5214764448799974,163.8064620896893
cave_hsi,9,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.492933299974538,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id09_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.08860619487997089,38.39260030349985,-5.586746855066954,21.05071826922607,0.8192286512934341,99.45400161106512,0.15534664838414558,53.27005889483307,-0.43805482724639,16.173962244893765,0.42566820755652224,190.3701925460551
cave_hsi,10,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.652834100066684,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id10_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.24750441312789917,19.46181191133735,2.390338278536912,12.128341080732932,0.3949691780596166,199.3326529760525,0.4480263590812683,19.07678059085005,7.172277586555832,6.9739293602131704,0.14808823065931914,343.930081896372
cave_hsi,10,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.313361500040628,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id10_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.06969040072645644,21.125541434356535,-8.617861436304837,23.13654076476392,0.8937153376101858,60.15147408445806,0.11834411489352772,23.921579898774542,-4.390860318840353,18.53706668250792,0.7310464158057651,96.63132443329431
cave_hsi,11,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",8.03808540001046,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id11_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.15460680425167084,20.288194082320295,-3.7596456331592427,16.215427941869965,0.6310235540476136,86.55471819581547,0.27039071917533875,28.722872401504493,0.4311183392660176,11.36016373091168,0.2415636941743883,137.2519078044137
cave_hsi,11,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.755103300092742,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id11_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.1475069940380131,26.57078438647527,-4.167965090624233,16.623747742854892,0.658542230523639,87.97302777260775,0.25508311043849496,46.730157882290335,-0.07508335783537214,11.866365918842378,0.31986208573863756,136.56433816266832
cave_hsi,12,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.844864099984989,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id12_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.13171172142028809,12.148253109859027,-9.073444861593421,17.60751165928973,0.869894263166595,47.12826350452961,0.23700174689292908,17.657067165799482,-4.579756539233141,12.504968943667551,0.4896297193433678,73.19577557722667
cave_hsi,12,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.795364400022663,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id12_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.13565160862859196,14.745342727532012,-8.81743469332542,17.35150103555915,0.862546476830183,48.42182402600784,0.24251397076838016,21.6134183609617,-4.380052353090794,12.305264749247085,0.47673291477953256,74.45656488623995
cave_hsi,13,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.448451100033708,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id13_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.10613586753606796,26.33600861325777,-6.499862763491318,19.482756752078572,0.8447118061807392,85.4288487463771,0.1865091472864151,30.94326822847556,-1.0497497477875621,14.585997337496927,0.4827374379033679,163.6644660708168
cave_hsi,13,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",5.028743400005624,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id13_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.10804947498539133,33.9608898753297,-6.34465307225652,19.327546780427646,0.8372093352027792,89.09045842867909,0.18910552713851844,48.06031811616556,-0.9296680495915254,14.465915549944299,0.44955753214604194,167.37799263523067
cave_hsi,14,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",7.287882799981162,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id14_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.13407322764396667,28.576745845433294,1.0714888093789392,17.453157658261645,0.5148489253038602,219.90527662932317,0.24153244495391846,34.58260669290728,5.724344503708657,12.34049009178355,0.1945921895208712,380.3250217389582
cave_hsi,14,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.882838299963623,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id14_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.06495287043934861,31.223552249573792,-5.223385838445516,23.748033030872584,0.8207515676297775,118.06694667823439,0.11236323663000868,43.09944760965465,-0.9226802936868305,18.98751518821524,0.552358785002786,191.62927038315772
cave_hsi,15,structured-missing-completion,block,0,0.3,ntdpl,"(12,12,3)","(128,128)",9.101847300073132,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\run\cave_hsi_block_id15_seed0_mr0.3_ntdpl_r12_12_3,0.6973876953125,0.0,0.05748116225004196,27.28310400069085,-9.318250673586801,24.80948924978492,0.9106463494477106,62.889684742096584,0.09737333655357361,30.930119058276304,-4.3205353200877425,20.231199071814167,0.6885215334737347,116.35178130115911
cave_hsi,15,structured-missing-completion,block,0,0.3,tucker,"(12,12,3)","(128,128)",4.59074289991986,C:\Users\mrkys\workspace\NTD-PL\multirun\neurips-lowrank-core\benchmark\cave_hsi_block_id15_seed0_mr0.3_tucker_r12_12_3,0.6973876953125,0.0,0.06730110405713748,31.21947287668296,-7.9483178546174,23.439556224587456,0.8815538851171651,74.0487932079394,0.11504398332205074,41.19374720874049,-2.87205810996834,18.78272179081686,0.6196931445863693,137.97210061593958
