missing_rate,scene_id,scene_name,cv_nonlinear_over_affine,affine_r2,nonlinear_r2,ntdpl_gain
0.3,1,balloons,0.019362342180839594,-1.2369806718666906e-05,0.019349972374120988,0.04226066264560418
0.3,2,beads,0.07231453078288937,2.4426401690387973e-05,0.07233895718457972,0.14721673536534585
0.3,3,cd,0.02236582200983013,-0.00018342096349525475,0.02218240104633488,0.15646818827802098
0.3,4,chart_and_stuffed_toy,0.02921400668625072,-0.00023007483570721318,0.028983931850543525,0.10079481846404
0.3,5,clay,0.03189545859718156,1.8603024181107486e-05,0.03191406162136268,0.15818084628765033
0.3,6,cloth,0.02522552482004228,-6.933953755194899e-05,0.02515618528249027,0.04834750475538552
0.3,7,egyptian_statue,0.0310914770489049,-3.3321281186567596e-05,0.031058155767718348,-0.009202495642895584
0.3,8,face,0.014414433769593194,-8.888066220894923e-05,0.014325553107384223,0.008731604805569974
0.3,9,fake_and_real_beers,0.010566145667515592,4.918758667941484e-05,0.010615333254194984,-0.017035903835766746
0.3,10,fake_and_real_food,0.07074697772896196,-0.0001328306357415432,0.07061414709322049,0.14596013742856767
0.3,11,fake_and_real_lemon_slices,0.030248871209057848,-4.3659787997215226e-05,0.030205211421060658,0.13477245221917578
0.3,12,fake_and_real_lemons,0.025599569182575305,-8.023144396407389e-05,0.025519337738611186,-0.05146288031086217
0.3,13,fake_and_real_peppers,0.03231313702939892,-3.12424117048978e-05,0.032281894617693964,0.10474128885235053
0.3,14,fake_and_real_strawberries,0.030585450661773112,5.42336163803873e-06,0.03059087402341117,0.012495772751199305
0.3,15,fake_and_real_sushi,0.02977445868307293,1.519820097461988e-05,0.029789656884047593,0.07223706000029866
0.5,1,balloons,0.02503941959411952,-0.00011359524428056211,0.02492582434983896,0.04719534750239191
0.5,2,beads,0.07912894886996982,-1.566233121219618e-05,0.0791132865387576,0.1478068435463279
0.5,3,cd,0.0212031811112319,-0.0004863417643441448,0.02071683934688769,0.1590453116725655
0.5,4,chart_and_stuffed_toy,0.031702526691631046,-9.306068571272401e-05,0.03160946600591837,0.10526944097573998
0.5,5,clay,0.03683015362476901,-4.16739183998575e-06,0.03682598623292899,0.15806356640193284
0.5,6,cloth,0.02384270910413688,7.499089157462595e-06,0.023850208193294347,0.04738021699034246
0.5,7,egyptian_statue,0.02682588532594563,-5.035248162029345e-05,0.02677553284432536,-0.01074392445032516
0.5,8,face,0.012990851118197333,-6.164752993109701e-05,0.012929203588266214,0.007683040700607072
0.5,9,fake_and_real_beers,0.010996818994465083,-5.656556975515888e-05,0.010940253424709945,-0.016079208479426
0.5,10,fake_and_real_food,0.0694015861490161,-0.0002018436943590126,0.06919974245465714,0.14684490885308754
0.5,11,fake_and_real_lemon_slices,0.027199007883327256,-0.00030751562381414743,0.02689149225951304,0.12938695483674834
0.5,12,fake_and_real_lemons,0.02638246814082622,-2.1609538183050187e-05,0.026360858602643217,-0.04823072424556672
0.5,13,fake_and_real_peppers,0.033783571700278715,-6.376372386533251e-05,0.033719807976413385,0.10419828145848636
0.5,14,fake_and_real_strawberries,0.030866468798778166,-4.5202371946384545e-05,0.030821266426831806,0.012981555245279684
0.5,15,fake_and_real_sushi,0.0264156504863552,-0.0007308642076722845,0.025684786278682942,0.07193469135132474
