domain,dataset,unit_id,unit_label,selection,diagnostic_label,d_link_db,tucker_rmse,ntdpl_rmse,rmse_gain_pct,rank,processed_shape,source_path
Action video,UCF101,ucf101_v_LongJump_g08_c05,LongJump:v_LongJump_g08_c05,bottom-2 by D_link,boundary,0.006315978354040306,0.06912565231323242,0.06894756853580475,0.2576232866790373,"(12,18,18,3)",24x72x96x3,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\LongJump\v_LongJump_g08_c05.avi
Action video,UCF101,ucf101_v_StillRings_g05_c01,StillRings:v_StillRings_g05_c01,bottom-2 by D_link,moderate,0.03152173375071677,0.06044179946184158,0.059840112924575806,0.9954808470678265,"(12,18,18,3)",24x72x96x3,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\StillRings\v_StillRings_g05_c01.avi
Action video,UCF101,ucf101_v_StillRings_g05_c01,StillRings:v_StillRings_g05_c01,top-2 by D_link,moderate,0.03152173375071677,0.06044179946184158,0.059840112924575806,0.9954808470678265,"(12,18,18,3)",24x72x96x3,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\StillRings\v_StillRings_g05_c01.avi
Action video,UCF101,ucf101_v_PlayingGuitar_g18_c02,PlayingGuitar:v_PlayingGuitar_g18_c02,top-2 by D_link,effective,0.13918512830174498,0.048543259501457214,0.044059835374355316,9.235935479296174,"(12,18,18,3)",24x72x96x3,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\PlayingGuitar\v_PlayingGuitar_g18_c02.avi
Action video,UCF101,ucf101_v_StillRings_g05_c01,StillRings:v_StillRings_g05_c01,median-near by D_link,moderate,0.03152173375071677,0.06044179946184158,0.059840112924575806,0.9954808470678265,"(12,18,18,3)",24x72x96x3,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\StillRings\v_StillRings_g05_c01.avi
