snr,snr_value,method,RMSE_mean,RMSE_std,SAM_mean,SAM_std,n_scenes
Clean,999.0,NTD-PL,0.023089319467544556,,9.052908460358342,,1
Clean,999.0,Tucker,0.02310561202466488,,9.094665424139349,,1
