unit_id,dataset,tucker_baseline_180,same_init_identity_180,frozen_beta_p4_on_180_tucker,ntdpl_p4_init50_final,ntdpl_p4_init180_final,gain_frozen_vs_tucker_pct,gain_ntdpl_init180_vs_tucker_pct,beta_frozen_p4,beta_ntdpl_init180
brdf_steel,BRDF,0.0064389524050056934,0.0064389524050056934,0.005753896199166775,0.004915999248623848,0.004915999248623848,10.639249411229542,23.65218843981343,"[4.385508509585634e-05, 0.9784538149833679, 0.6187405586242676, -2.349437952041626, 2.043764114379883]","[0.00027155561838299036, 1.0540671348571777, 0.395081102848053, -3.1470754146575928, 3.5917720794677734]"
brdf_yellow-matte-plastic,BRDF,0.0033124724868685007,0.0033124724868685007,0.0030037981923669577,0.0029412207659333944,0.0029412207659333944,9.318546666431432,11.207692211991022,"[4.396005533635616e-05, 0.9293465614318848, 0.898963451385498, -2.5739872455596924, 1.870173692703247]","[3.3222906495211646e-05, 0.9688586592674255, 1.36516273021698, -4.260472774505615, 3.591494560241699]"
brdf_specular-orange-phenolic,BRDF,0.0029764710925519466,0.0029764710925519466,0.0029764671344310045,0.002997012110427022,0.002997012110427022,0.00013298032532619683,-0.6901131318384155,"[1.9262351997895166e-06, 0.9997696280479431, 0.0026307213120162487, -0.0062670232728123665, 0.004029505420476198]","[-7.810781971784309e-05, 1.042894721031189, 0.03917260095477104, -0.2651406228542328, 0.20634308457374573]"
harvard_imgd0,Harvard HS,0.019423039630055428,0.019430797547101974,0.01907196082174778,0.018115047365427017,0.018115047365427017,1.8075379291528832,6.734230530037165,"[-0.0003852473746519536, 1.0496517419815063, -0.4612676501274109, 1.0149918794631958, -0.6120216846466064]","[0.0007592157926410437, 0.952728271484375, -0.3359699845314026, 1.4352855682373047, -1.049118161201477]"
harvard_imga3,Harvard HS,0.02115749940276146,0.021175500005483627,0.02103262208402157,0.019523827359080315,0.019523827359080315,0.590227211461446,7.721479805254865,"[0.004532952792942524, 0.8802592158317566, 0.5936770439147949, -0.9002212882041931, 0.4125961363315582]","[0.011390131898224354, 0.37529247999191284, 2.7737696170806885, -2.84014892578125, 0.7138671278953552]"
harvard_imgg8,Harvard HS,0.002318482380360365,0.002318482380360365,0.002318472368642688,0.002655416028574109,0.002655416028574109,0.00043182202987284546,-14.532508466222378,"[9.055667760549113e-06, 0.9995042085647583, 0.0035599679686129093, -0.008171859197318554, 0.005957563873380423]","[0.001146873808465898, 1.0755966901779175, 0.09280052036046982, -0.34281405806541443, 0.32509854435920715]"
