unit_id,dataset,config,lr_core,lr_factors,beta_update_interval,beta_update_stage,tucker_rmse,frozen_link_rmse,ntdpl_rmse,gain_vs_tucker_pct,frozen_gain_pct,beta
brdf_neoprene-rubber,BRDF,lr_scale_1_beta5_before,7e-05,0.0002,5,before_grad,0.0024686125107109547,0.00246441806666553,0.002628164831548929,-6.463238768567362,0.1699109936138366,"[0.000941804435569793, 1.0520439147949219, -0.03903144598007202, -0.12277112901210785, 0.15845288336277008]"
brdf_neoprene-rubber,BRDF,lr_scale_0.3_beta5_before,2.1e-05,6e-05,5,before_grad,0.0024686125107109547,0.00246441806666553,0.0025126738473773003,-1.7848624065206586,0.1699109936138366,"[0.00035264960024505854, 1.0237016677856445, 0.07914999127388, -0.27553969621658325, 0.21565772593021393]"
brdf_neoprene-rubber,BRDF,lr_scale_0.1_beta5_before,7e-06,2e-05,5,before_grad,0.0024686125107109547,0.00246441806666553,0.0024699310306459665,-0.053411377010000365,0.1699109936138366,"[0.00016095688624773175, 1.0043377876281738, 0.13227805495262146, -0.32878056168556213, 0.21935246884822845]"
brdf_neoprene-rubber,BRDF,lr_scale_0.03_beta5_before,2.1e-06,6e-06,5,before_grad,0.0024686125107109547,0.00246441806666553,0.0024625167716294527,0.24692976540681963,0.1699109936138366,"[8.578700362704694e-05, 0.9956939220428467, 0.11846407502889633, -0.27217215299606323, 0.17488065361976624]"
brdf_neoprene-rubber,BRDF,lr_scale_0_beta5_before,0.0,0.0,5,before_grad,0.0024686125107109547,0.00246441806666553,0.00246441806666553,0.1699109936138366,0.1699109936138366,"[4.264446397428401e-05, 0.9902384281158447, 0.08007731288671494, -0.1755296140909195, 0.11112428456544876]"
brdf_neoprene-rubber,BRDF,lr_scale_1_beta1_before,7e-05,0.0002,1,before_grad,0.0024686125107109547,0.00246441806666553,0.0025066242087632418,-1.5398001058230002,0.1699109936138366,"[0.0009237119811587036, 1.5511736869812012, 0.6792032718658447, -2.4850640296936035, 2.448859214782715]"
brdf_neoprene-rubber,BRDF,lr_scale_1_beta10_before,7e-05,0.0002,10,before_grad,0.0024686125107109547,0.00246441806666553,0.0026392736472189426,-6.913241173635548,0.1699109936138366,"[0.0008985880413092673, 1.0168310403823853, 0.03283708170056343, -0.18320176005363464, 0.16785354912281036]"
brdf_neoprene-rubber,BRDF,lr_scale_1_beta20_before,7e-05,0.0002,20,before_grad,0.0024686125107109547,0.00246441806666553,0.002642500214278698,-7.043944839996944,0.1699109936138366,"[0.0008644858608022332, 0.9976176619529724, 0.0811447724699974, -0.22101403772830963, 0.1627478301525116]"
brdf_neoprene-rubber,BRDF,lr_scale_1_beta5_after,7e-05,0.0002,5,after_grad,0.0024686125107109547,0.00246441806666553,0.0026282595936208963,-6.467077446025082,0.1699109936138366,"[0.0009452669182792306, 1.0537830591201782, -0.04113152250647545, -0.12044979631900787, 0.15783560276031494]"
brdf_specular-orange-phenolic,BRDF,lr_scale_1_beta5_before,7e-05,0.0002,5,before_grad,0.0029764710925519466,0.0029764671344310045,0.002997012110427022,-0.6901131318384155,0.00013298032532619683,"[-7.810781971784309e-05, 1.042894721031189, 0.03917260095477104, -0.2651406228542328, 0.20634308457374573]"
brdf_specular-orange-phenolic,BRDF,lr_scale_0.3_beta5_before,2.1e-05,6e-05,5,before_grad,0.0029764710925519466,0.0029764671344310045,0.0029829773120582104,-0.21858836534795553,0.00013298032532619683,"[-3.2335141440853477e-05, 1.0359370708465576, -0.01832314394414425, -0.04677605628967285, 0.05155853554606438]"
brdf_specular-orange-phenolic,BRDF,lr_scale_0.1_beta5_before,7e-06,2e-05,5,before_grad,0.0029764710925519466,0.0029764671344310045,0.0029774419963359833,-0.03261929156530828,0.00013298032532619683,"[-8.172150046448223e-06, 1.0267971754074097, -0.018351182341575623, -0.0011634533293545246, 0.011447880417108536]"
brdf_specular-orange-phenolic,BRDF,lr_scale_0.03_beta5_before,2.1e-06,6e-06,5,before_grad,0.0029764710925519466,0.0029764671344310045,0.0029765062499791384,-0.0011811781837797483,0.00013298032532619683,"[2.294526439072797e-06, 1.0162345170974731, -0.01290512178093195, 0.007698268163949251, 0.00015747528232168406]"
brdf_specular-orange-phenolic,BRDF,lr_scale_0_beta5_before,0.0,0.0,5,before_grad,0.0029764710925519466,0.0029764671344310045,0.002976466668769717,0.00014862506948222,0.00013298032532619683,"[1.9262265595898498e-06, 0.9997695684432983, 0.002630945760756731, -0.006267519202083349, 0.004029843490570784]"
