unit_id,config,iter_record,p,error,beta_0,beta_1,beta_2,beta_3,beta_4,RMSE
brdf_neoprene-rubber,lr_scale_1_beta5_before,0,1,0.0024686125107109547,0.0,1.0,0.0,0.0,0.0,0.0024686125107109547
brdf_neoprene-rubber,lr_scale_1_beta5_before,1,1,0.0024831839837133884,0.0,1.0,0.0,0.0,0.0,0.0024831839837133884
brdf_neoprene-rubber,lr_scale_1_beta5_before,2,1,0.002470811130478978,0.0,1.0,0.0,0.0,0.0,0.002470811130478978
brdf_neoprene-rubber,lr_scale_1_beta5_before,3,1,0.002473443280905485,0.0,1.0,0.0,0.0,0.0,0.002473443280905485
brdf_neoprene-rubber,lr_scale_1_beta5_before,4,1,0.002478236798197031,0.0,1.0,0.0,0.0,0.0,0.002478236798197031
brdf_neoprene-rubber,lr_scale_1_beta5_before,5,1,0.0024746316485106945,1.2818140021408908e-05,0.9981834888458252,0.0,0.0,0.0,0.0024746316485106945
brdf_neoprene-rubber,lr_scale_1_beta5_before,6,1,0.0024759708903729916,1.2818140021408908e-05,0.9981834888458252,0.0,0.0,0.0,0.0024759708903729916
brdf_neoprene-rubber,lr_scale_1_beta5_before,7,1,0.0024769252631813288,1.2818140021408908e-05,0.9981834888458252,0.0,0.0,0.0,0.0024769252631813288
brdf_neoprene-rubber,lr_scale_1_beta5_before,8,1,0.0024782686959952116,1.2818140021408908e-05,0.9981834888458252,0.0,0.0,0.0,0.0024782686959952116
brdf_neoprene-rubber,lr_scale_1_beta5_before,9,1,0.0024800228420645,1.2818140021408908e-05,0.9981834888458252,0.0,0.0,0.0,0.0024800228420645
brdf_neoprene-rubber,lr_scale_1_beta5_before,10,1,0.0024799813982099295,4.3767140596173704e-05,0.9988727569580078,0.0,0.0,0.0,0.0024799813982099295
brdf_neoprene-rubber,lr_scale_1_beta5_before,11,1,0.002481655217707157,4.3767140596173704e-05,0.9988727569580078,0.0,0.0,0.0,0.002481655217707157
brdf_neoprene-rubber,lr_scale_1_beta5_before,12,1,0.0024832370691001415,4.3767140596173704e-05,0.9988727569580078,0.0,0.0,0.0,0.0024832370691001415
brdf_neoprene-rubber,lr_scale_1_beta5_before,13,1,0.0024842882994562387,4.3767140596173704e-05,0.9988727569580078,0.0,0.0,0.0,0.0024842882994562387
brdf_neoprene-rubber,lr_scale_1_beta5_before,14,1,0.002485146513208747,4.3767140596173704e-05,0.9988727569580078,0.0,0.0,0.0,0.002485146513208747
brdf_neoprene-rubber,lr_scale_1_beta5_before,15,1,0.0024856834206730127,8.881320536602288e-05,0.9993025064468384,0.0,0.0,0.0,0.0024856834206730127
brdf_neoprene-rubber,lr_scale_1_beta5_before,16,1,0.0024869421031326056,8.881320536602288e-05,0.9993025064468384,0.0,0.0,0.0,0.0024869421031326056
brdf_neoprene-rubber,lr_scale_1_beta5_before,17,1,0.00248826970346272,8.881320536602288e-05,0.9993025064468384,0.0,0.0,0.0,0.00248826970346272
brdf_neoprene-rubber,lr_scale_1_beta5_before,18,1,0.0024899241980165243,8.881320536602288e-05,0.9993025064468384,0.0,0.0,0.0,0.0024899241980165243
brdf_neoprene-rubber,lr_scale_1_beta5_before,19,1,0.0024917409755289555,8.881320536602288e-05,0.9993025064468384,0.0,0.0,0.0,0.0024917409755289555
brdf_neoprene-rubber,lr_scale_1_beta5_before,20,1,0.0024918196722865105,0.00012633463484235108,0.9999803304672241,0.0,0.0,0.0,0.0024918196722865105
brdf_neoprene-rubber,lr_scale_1_beta5_before,21,1,0.002493689302355051,0.00012633463484235108,0.9999803304672241,0.0,0.0,0.0,0.002493689302355051
brdf_neoprene-rubber,lr_scale_1_beta5_before,22,1,0.0024956781417131424,0.00012633463484235108,0.9999803304672241,0.0,0.0,0.0,0.0024956781417131424
brdf_neoprene-rubber,lr_scale_1_beta5_before,23,1,0.0024972783867269754,0.00012633463484235108,0.9999803304672241,0.0,0.0,0.0,0.0024972783867269754
brdf_neoprene-rubber,lr_scale_1_beta5_before,24,1,0.002498582936823368,0.00012633463484235108,0.9999803304672241,0.0,0.0,0.0,0.002498582936823368
brdf_neoprene-rubber,lr_scale_1_beta5_before,25,1,0.0024992399848997593,0.00016439321916550398,1.0005390644073486,0.0,0.0,0.0,0.0024992399848997593
brdf_neoprene-rubber,lr_scale_1_beta5_before,26,1,0.002500776434317231,0.00016439321916550398,1.0005390644073486,0.0,0.0,0.0,0.002500776434317231
brdf_neoprene-rubber,lr_scale_1_beta5_before,27,1,0.002502497285604477,0.00016439321916550398,1.0005390644073486,0.0,0.0,0.0,0.002502497285604477
brdf_neoprene-rubber,lr_scale_1_beta5_before,28,1,0.0025044719222933054,0.00016439321916550398,1.0005390644073486,0.0,0.0,0.0,0.0025044719222933054
brdf_neoprene-rubber,lr_scale_1_beta5_before,29,1,0.0025063827633857727,0.00016439321916550398,1.0005390644073486,0.0,0.0,0.0,0.0025063827633857727
brdf_neoprene-rubber,lr_scale_1_beta5_before,30,1,0.0025064575020223856,0.00020185494213365018,1.0012695789337158,0.0,0.0,0.0,0.0025064575020223856
brdf_neoprene-rubber,lr_scale_1_beta5_before,31,1,0.002508344128727913,0.00020185494213365018,1.0012695789337158,0.0,0.0,0.0,0.002508344128727913
brdf_neoprene-rubber,lr_scale_1_beta5_before,32,1,0.0025104135274887085,0.00020185494213365018,1.0012695789337158,0.0,0.0,0.0,0.0025104135274887085
brdf_neoprene-rubber,lr_scale_1_beta5_before,33,1,0.0025121544022113085,0.00020185494213365018,1.0012695789337158,0.0,0.0,0.0,0.0025121544022113085
brdf_neoprene-rubber,lr_scale_1_beta5_before,34,1,0.0025135474279522896,0.00020185494213365018,1.0012695789337158,0.0,0.0,0.0,0.0025135474279522896
brdf_neoprene-rubber,lr_scale_1_beta5_before,35,1,0.0025140768848359585,0.00023508361482527107,1.0019007921218872,0.0,0.0,0.0,0.0025140768848359585
brdf_neoprene-rubber,lr_scale_1_beta5_before,36,1,0.002515594707801938,0.00023508361482527107,1.0019007921218872,0.0,0.0,0.0,0.002515594707801938
brdf_neoprene-rubber,lr_scale_1_beta5_before,37,1,0.0025173835456371307,0.00023508361482527107,1.0019007921218872,0.0,0.0,0.0,0.0025173835456371307
brdf_neoprene-rubber,lr_scale_1_beta5_before,38,1,0.002519338158890605,0.00023508361482527107,1.0019007921218872,0.0,0.0,0.0,0.002519338158890605
brdf_neoprene-rubber,lr_scale_1_beta5_before,39,1,0.0025210489984601736,0.00023508361482527107,1.0019007921218872,0.0,0.0,0.0,0.0025210489984601736
brdf_neoprene-rubber,lr_scale_1_beta5_before,40,1,0.0025209703017026186,0.0002697597083169967,1.0026777982711792,0.0,0.0,0.0,0.0025209703017026186
brdf_neoprene-rubber,lr_scale_1_beta5_before,41,1,0.00252268323674798,0.0002697597083169967,1.0026777982711792,0.0,0.0,0.0,0.00252268323674798
brdf_neoprene-rubber,lr_scale_1_beta5_before,42,1,0.0025246439035981894,0.0002697597083169967,1.0026777982711792,0.0,0.0,0.0,0.0025246439035981894
brdf_neoprene-rubber,lr_scale_1_beta5_before,43,1,0.002526335883885622,0.0002697597083169967,1.0026777982711792,0.0,0.0,0.0,0.002526335883885622
brdf_neoprene-rubber,lr_scale_1_beta5_before,44,1,0.0025276525411754847,0.0002697597083169967,1.0026777982711792,0.0,0.0,0.0,0.0025276525411754847
brdf_neoprene-rubber,lr_scale_1_beta5_before,45,2,0.0025279454421252012,0.0003015794500242919,1.0031663179397583,0.0003602184297051281,0.0,0.0,0.0025279454421252012
brdf_neoprene-rubber,lr_scale_1_beta5_before,46,2,0.002529358956962824,0.0003015794500242919,1.0031663179397583,0.0003602184297051281,0.0,0.0,0.002529358956962824
brdf_neoprene-rubber,lr_scale_1_beta5_before,47,2,0.0025311040226370096,0.0003015794500242919,1.0031663179397583,0.0003602184297051281,0.0,0.0,0.0025311040226370096
brdf_neoprene-rubber,lr_scale_1_beta5_before,48,2,0.0025329189375042915,0.0003015794500242919,1.0031663179397583,0.0003602184297051281,0.0,0.0,0.0025329189375042915
brdf_neoprene-rubber,lr_scale_1_beta5_before,49,2,0.0025343778543174267,0.0003015794500242919,1.0031663179397583,0.0003602184297051281,0.0,0.0,0.0025343778543174267
brdf_neoprene-rubber,lr_scale_1_beta5_before,50,2,0.002534162485972047,0.0003346749290358275,1.0037736892700195,0.0007154237246140838,0.0,0.0,0.002534162485972047
brdf_neoprene-rubber,lr_scale_1_beta5_before,51,2,0.002535671927034855,0.0003346749290358275,1.0037736892700195,0.0007154237246140838,0.0,0.0,0.002535671927034855
brdf_neoprene-rubber,lr_scale_1_beta5_before,52,2,0.0025374870747327805,0.0003346749290358275,1.0037736892700195,0.0007154237246140838,0.0,0.0,0.0025374870747327805
brdf_neoprene-rubber,lr_scale_1_beta5_before,53,2,0.0025390801019966602,0.0003346749290358275,1.0037736892700195,0.0007154237246140838,0.0,0.0,0.0025390801019966602
brdf_neoprene-rubber,lr_scale_1_beta5_before,54,2,0.0025402691680938005,0.0003346749290358275,1.0037736892700195,0.0007154237246140838,0.0,0.0,0.0025402691680938005
brdf_neoprene-rubber,lr_scale_1_beta5_before,55,2,0.0025403371546417475,0.00036499850102700293,1.004300832748413,0.0010739193530753255,0.0,0.0,0.0025403371546417475
brdf_neoprene-rubber,lr_scale_1_beta5_before,56,2,0.0025416468270123005,0.00036499850102700293,1.004300832748413,0.0010739193530753255,0.0,0.0,0.0025416468270123005
brdf_neoprene-rubber,lr_scale_1_beta5_before,57,2,0.0025433336850255728,0.00036499850102700293,1.004300832748413,0.0010739193530753255,0.0,0.0,0.0025433336850255728
brdf_neoprene-rubber,lr_scale_1_beta5_before,58,2,0.002545013790950179,0.00036499850102700293,1.004300832748413,0.0010739193530753255,0.0,0.0,0.002545013790950179
brdf_neoprene-rubber,lr_scale_1_beta5_before,59,2,0.0025462813209742308,0.00036499850102700293,1.004300832748413,0.0010739193530753255,0.0,0.0,0.0025462813209742308
brdf_neoprene-rubber,lr_scale_1_beta5_before,60,2,0.0025460293982177973,0.00039555036346428096,1.0050145387649536,0.001230076770298183,0.0,0.0,0.0025460293982177973
brdf_neoprene-rubber,lr_scale_1_beta5_before,61,2,0.0025474103167653084,0.00039555036346428096,1.0050145387649536,0.001230076770298183,0.0,0.0,0.0025474103167653084
brdf_neoprene-rubber,lr_scale_1_beta5_before,62,2,0.002549148863181472,0.00039555036346428096,1.0050145387649536,0.001230076770298183,0.0,0.0,0.002549148863181472
brdf_neoprene-rubber,lr_scale_1_beta5_before,63,2,0.002550696022808552,0.00039555036346428096,1.0050145387649536,0.001230076770298183,0.0,0.0,0.002550696022808552
brdf_neoprene-rubber,lr_scale_1_beta5_before,64,2,0.0025518150068819523,0.00039555036346428096,1.0050145387649536,0.001230076770298183,0.0,0.0,0.0025518150068819523
brdf_neoprene-rubber,lr_scale_1_beta5_before,65,2,0.0025517598260194063,0.00042524829041212797,1.0056920051574707,0.0013436009176075459,0.0,0.0,0.0025517598260194063
brdf_neoprene-rubber,lr_scale_1_beta5_before,66,2,0.0025530261918902397,0.00042524829041212797,1.0056920051574707,0.0013436009176075459,0.0,0.0,0.0025530261918902397
brdf_neoprene-rubber,lr_scale_1_beta5_before,67,2,0.0025546967517584562,0.00042524829041212797,1.0056920051574707,0.0013436009176075459,0.0,0.0,0.0025546967517584562
brdf_neoprene-rubber,lr_scale_1_beta5_before,68,2,0.0025562976952642202,0.00042524829041212797,1.0056920051574707,0.0013436009176075459,0.0,0.0,0.0025562976952642202
brdf_neoprene-rubber,lr_scale_1_beta5_before,69,2,0.0025574476458132267,0.00042524829041212797,1.0056920051574707,0.0013436009176075459,0.0,0.0,0.0025574476458132267
