Rank,Metric,Wins / Ties / Losses,Win/Loss/Tie,Mean Delta,Median Delta,Sign Test P,Wilcoxon P,Rank-biserial
"(24, 24, 4)",RMSE,15 / 0 / 0,15/0/0,0.0042680228264827,0.003357246990874887,6.103515625e-05,6.103515625e-05,1.0
"(24, 24, 4)",NMSE_dB,15 / 0 / 0,15/0/0,1.4482554262521672,1.3196472015101204,6.103515625e-05,6.103515625e-05,1.0
"(24, 24, 4)",SAM,13 / 0 / 2,13/2/0,2.268564341059303,1.7258272049927088,0.00738525390625,0.0042724609375,0.8
"(33, 33, 4)",RMSE,14 / 0 / 1,14/1/0,0.003726012498648845,0.0027898984426543635,0.0009765625,0.0001220703125,0.9833333333333333
"(33, 33, 4)",NMSE_dB,14 / 0 / 1,14/1/0,1.3235376515148107,1.172724666068877,0.0009765625,0.0001220703125,0.9833333333333333
"(33, 33, 4)",SAM,13 / 0 / 2,13/2/0,2.024655905655934,1.6422969385403778,0.00738525390625,0.02154541015625,0.6666666666666666
"(40, 40, 5)",RMSE,13 / 0 / 2,13/2/0,0.0024823339550862924,0.002019225053974047,0.00738525390625,0.00115966796875,0.8833333333333333
"(40, 40, 5)",NMSE_dB,13 / 0 / 2,13/2/0,0.7705593526678043,0.8200940018869645,0.00738525390625,0.0067138671875,0.7666666666666667
"(40, 40, 5)",SAM,13 / 0 / 2,13/2/0,0.8078359805098793,0.8041303820789416,0.00738525390625,0.01507568359375,0.7
