dictionary,label,capacity,square_rmse,square_cubic_rmse,tanh_rmse,exp_rmse
power,Power,$d=5$,0.027383414283394813,0.008843734487891197,0.1678302764892578,0.011732704006135464
chebyshev,Chebyshev,$d=5$,0.027383419498801232,0.008842861000448465,0.1678302764892578,0.011732682399451733
rbf,RBF,$d=5$,0.02804943434894085,0.00935191372409463,0.16634020507335662,0.012978737242519855
spline,Spline,$d=5$,0.02791233956813812,0.009274986758828162,0.16720041632652283,0.012183047086000442
