setting,scene_id,scene_name,dictionary,RMSE_missing,SAM_missing,gain_rmse_vs_tucker,gain_sam_vs_tucker,fit_time_sec
cave,1,balloons,tucker,0.03283960372209549,12.22950897402998,0.0,0.0,0.9598577000142541
cave,1,balloons,power,0.030942870303988457,11.106913863614537,5.775750018660708,9.17939643201811,2.524961600021925
cave,1,balloons,chebyshev,0.030942870303988457,11.10691477653675,5.775750018660708,9.179388967105051,8.12696799999685
cave,1,balloons,rbf,0.0313616618514061,11.745449030627409,4.500486312796118,3.9581306529190816,17.833985599980224
cave,1,balloons,spline,0.030885707587003708,11.308769208066645,5.949816421740621,7.528836749852959,11.41021639999235
cave,2,beads,tucker,0.12381581962108612,30.087631111431442,0.0,0.0,2.885973600001307
cave,2,beads,power,0.12096632272005081,27.842134855873613,2.3013996997763546,7.463187272010519,4.190076200000476
cave,2,beads,chebyshev,0.12096632272005081,27.84213367373077,2.3013996997763546,7.463191201009907,7.821573900000658
cave,2,beads,rbf,0.12138942629098892,28.403246566509004,1.9596795769092321,5.598262417816188,18.540645500004757
cave,2,beads,spline,0.12075680494308472,28.205573138680318,2.4706169917244134,6.255254744984088,12.341144899983192
cave,3,cd,tucker,0.045034587383270264,13.472000346170251,0.0,0.0,3.4907825000118464
cave,3,cd,power,0.04300371930003166,13.975261792052013,4.5095740879221236,-3.7356103989770637,4.694042199989781
cave,3,cd,chebyshev,0.043003715574741364,13.975260351730784,4.5095823599870295,-3.7355997077568115,8.028027699998347
cave,3,cd,rbf,0.04462303966283798,13.78533170833632,0.9138480984177194,-2.325796868429725,19.69979179999791
cave,3,cd,spline,0.043965067714452744,13.718365090225351,2.3748850182978076,-1.8287168774096363,11.681057500012685
