missing_rate,method_name,scene_id,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all,NMSE_dB_missing,fit_time_sec
0.1,ntdpl,1,0.01337728463113308,0.013501929119229317,7.694133290269974,5.2188744064350425,-24.016713155552736,-23.932594143449094,1006.1016899000388
0.1,ntdpl,2,0.06385581195354462,0.06434062868356705,23.03118959180197,13.475679125100214,-10.466819023951999,-10.405562547930504,1005.5329662000295
0.1,ntdpl,3,0.026334574446082115,0.026625681668519974,12.789550193993438,8.53436740209205,-14.237575225823862,-14.105009849026333,1018.8482349999249
0.1,ntdpl,4,0.0241104569286108,0.02432025782763958,14.637345891549804,8.12287176037382,-21.75079538266296,-21.69192731427102,1013.6124372999184
0.1,ntdpl,5,0.009095918387174606,0.009123319759964943,26.42972899589381,11.857630760267723,-25.016203384335988,-24.98041419184792,1006.1445198999718
0.1,ntdpl,6,0.05188526213169098,0.05216379463672638,8.589088139451698,5.887412914895887,-12.861813146323641,-12.797521521886203,1005.2726394000929
0.1,ntdpl,7,0.008260550908744335,0.008379531092941761,20.43531048729379,10.757808532108216,-21.687335635192575,-21.52479450351525,1004.6816956000403
0.1,ntdpl,8,0.00986309815198183,0.009968496859073639,9.257651489901646,4.924255898042066,-23.75078870747656,-23.66035398945682,996.7680635000579
0.1,ntdpl,9,0.011744474060833454,0.011804240755736828,2.092771481731625,1.3913370411533803,-29.237880941572424,-29.1920256519509,1001.4944020998664
0.1,ntdpl,10,0.01657295413315296,0.016678059473633766,10.282870753627268,6.400349803050967,-18.62152105731718,-18.549121300518014,1019.1050015999936
0.1,ntdpl,11,0.015996340662240982,0.016160430386662483,10.675224239911886,6.266915463563004,-17.476989476805088,-17.373558114171402,1012.0427639998961
0.1,ntdpl,12,0.008319989778101444,0.008405331522226334,5.768336017307754,4.13307063485749,-25.21978553528092,-25.128144478632606,944.937640100019
0.1,ntdpl,13,0.012066253460943699,0.01216187048703432,10.688381273633436,6.588011805863791,-22.164694360699315,-22.084161914764135,819.3752158998977
0.1,ntdpl,14,0.011266092769801617,0.011356810107827187,8.306585842617295,5.156278864143495,-22.061434972790416,-21.996146757391614,681.4612478998024
0.1,ntdpl,15,0.010339360684156418,0.010625647380948067,8.973218546958968,5.317989088222204,-18.754230588234332,-18.534036559175966,546.1236787999514
0.1,tucker,1,0.01409610045105537,0.014240314187595622,8.154252386388805,6.414172834720942,-23.562092774857284,-23.47011966641417,200.77797330007888
0.1,tucker,2,0.07514969945456608,0.07535582867337565,27.210623863506754,22.312281020819782,-9.052283073054207,-9.032931935161681,204.55460610007867
0.1,tucker,3,0.03146272506893432,0.03161367132652785,10.908572462402843,7.291110707195701,-12.692174243287592,-12.613525962766731,206.7629532001447
0.1,tucker,4,0.02691226816881852,0.02712944196643439,15.879967390510249,11.355545486391385,-20.795897744124673,-20.742473462525165,202.39986879983917
0.1,tucker,5,0.010782791495602411,0.010821006009605682,28.211639763945062,13.91056362811826,-23.538510620618972,-23.498119583437457,202.18768859980628
0.1,tucker,6,0.054573842382403585,0.054820630076949636,8.776020136128505,7.383200732835154,-12.423003156019634,-12.366024529211737,208.2504898000043
0.1,tucker,7,0.008169336296678846,0.00829397348712034,17.216898535608564,14.048575598773617,-21.78378040239493,-21.61393632350855,220.2850416000001
0.1,tucker,8,0.009962968139773603,0.01008231737117581,9.549702137466879,6.658040481294351,-23.663281063228933,-23.561740375331087,215.19029460009187
0.1,tucker,9,0.011512477646444945,0.011580792823375943,2.070737285993972,1.3696255213705728,-29.41117645134733,-29.358021203847613,207.14891589991748
0.1,tucker,10,0.019464905062746046,0.019500026227845385,13.163858464725843,11.998153436705833,-17.224474177715727,-17.191327386587503,200.08819760009646
0.1,tucker,11,0.018545207183310007,0.018670644262207894,10.992988846084627,7.919145850755125,-16.192769077985016,-16.119430132482396,210.25420850003138
0.1,tucker,12,0.007891723272294187,0.00800715628532847,5.67843392201525,4.566985001435082,-25.678804034140086,-25.54967542550402,218.6889727001544
0.1,tucker,13,0.013460428567251458,0.013573412046609524,12.732977654161061,10.797776563071093,-21.214965369123785,-21.130388630153647,219.80531140021048
0.1,tucker,14,0.011407278374322335,0.011505754443944683,8.65218970154306,6.909968593443889,-21.953260557067516,-21.88297192170083,222.40109679987654
0.1,tucker,15,0.01111626635330331,0.011456493696029966,7.742666479485941,5.8082769734579625,-18.12492569216731,-17.880110393404863,210.0488812001422
0.3,ntdpl,1,0.013578121550381184,0.013653059490025043,8.495790783995504,7.516202164077274,-23.887278797220638,-23.835928590744654,965.0652892000508
0.3,ntdpl,2,0.06399192661046982,0.06456068903207779,23.042857837077438,20.349979189410245,-10.448324246543388,-10.366511185168235,960.5038574999198
0.3,ntdpl,3,0.026397323235869408,0.026665158569812775,12.812716499972206,12.300330744870926,-14.216903285889313,-14.118991708208544,954.9980121999979
0.3,ntdpl,4,0.024242635816335678,0.024465743452310562,14.330730314855419,12.514928740296778,-21.703307005076915,-21.62209918202349,967.8613481000066
0.3,ntdpl,5,0.009097730740904808,0.009128694422543049,26.428125582897405,20.28661924926705,-25.014473778784634,-24.976098942946333,976.3226120001636
0.3,ntdpl,6,0.05192127078771591,0.05222898721694946,8.614083299663722,8.21498163329572,-12.855787876121699,-12.79562032349159,963.7066164999269
0.3,ntdpl,7,0.008283720351755619,0.008377605117857456,20.48004781571879,16.821944573188453,-21.663007226324325,-21.56412022004676,966.6141178999096
0.3,ntdpl,8,0.009937329217791557,0.010029543191194534,9.258358050800767,7.763365759168565,-23.685662489418704,-23.603966251767822,952.785368300043
0.3,ntdpl,9,0.01175266969949007,0.011810065247118473,2.08635702848673,1.9443320732690705,-29.23182149000564,-29.190933164235588,967.3386136000045
0.3,ntdpl,10,0.016605231910943985,0.016745416447520256,10.295906343387278,9.258834926771721,-18.604620955409235,-18.527866752417662,974.8702557999641
0.3,ntdpl,11,0.016014339402318,0.016222678124904633,10.681853963050498,9.496180200412793,-17.467222060708302,-17.3499720648685,967.4061408999842
0.3,ntdpl,12,0.008343358524143696,0.008406182751059532,5.7700937627697755,5.521988285520146,-25.19542289997894,-25.135072969496306,908.8931719001848
0.3,ntdpl,13,0.012070001102983952,0.012187070213258266,10.704653355440003,9.518207194035016,-22.161996981370308,-22.07466528956163,795.9214373999275
0.3,ntdpl,14,0.011296069249510765,0.011392650194466114,8.28473424274987,7.487268848638314,-22.03835420852037,-21.96573474971303,650.1608649999835
0.3,ntdpl,15,0.010360180400311947,0.010533833876252174,9.021972639408787,7.9728782879952025,-18.736758456435037,-18.58390637343892,485.70116159995086
0.3,tucker,1,0.0141715137117563,0.01425550664728826,9.17911649234736,8.26644006992506,-23.515747666992613,-23.460875178553472,198.2587649000343
0.3,tucker,2,0.0752278939744521,0.07570585834577395,27.23763362678129,25.664749986832387,-9.043249958269499,-8.983284856244705,198.45261810021475
0.3,tucker,3,0.03151074135254827,0.03161132538129029,10.928784480785268,10.222840489323211,-12.67892853061445,-12.641020933866344,196.12133469991386
0.3,tucker,4,0.026977744211005933,0.02720818780261016,15.402298944012944,14.185627641309136,-20.774791125992245,-20.699275303178332,199.4430770999752
0.3,tucker,5,0.010792582440733578,0.010844008932662432,28.204610867818566,21.93101016583943,-23.530627274082274,-23.480474839288128,209.88664119993336
0.3,tucker,6,0.054598726114327145,0.05488241503903631,8.816147644891366,8.595249801086855,-12.419043601783798,-12.365188001611404,207.8274147999473
0.3,tucker,7,0.008198621441781755,0.008301213239193035,17.006972781454007,16.19510746393487,-21.75269921146246,-21.643686826709022,221.73695640009828
0.3,tucker,8,0.0100161238750465,0.010117888595880547,9.359718573507202,8.628845193780206,-23.617062152050767,-23.527791581884046,209.80097879981622
0.3,tucker,9,0.011544726375398641,0.011612240239087556,2.065067246266933,1.9259899083118261,-29.386879569293146,-29.33765927212341,212.67108240001835
