scene_id,scene_name,mask_seed,missing_rate,method_name,hidden_units,lambda_reg,mlpcal_fit_time_sec,fit_time_sec,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all
1,balloons,0,0.5,tucker_mlpcal_h16,16,1e-05,3.046690299990587,210.60577279992867,0.01416613906621933,0.014262935146689415,8.72779481754533,8.342814287849464,-23.51904256872475
2,beads,0,0.5,tucker_mlpcal_h16,16,1e-05,3.0309856999956537,211.82467029991676,0.07257679104804993,0.07302327454090118,22.169576099187644,21.033541289173158,-9.354872979772239
3,cd,0,0.5,tucker_mlpcal_h16,16,1e-05,2.9060841999889817,211.47119300006307,0.031270939856767654,0.031424377113580704,10.89308939409816,10.600580638870898,-12.745282217957307
4,chart_and_stuffed_toy,0,0.5,tucker_mlpcal_h16,16,1e-05,2.936409999994794,219.11455359999673,0.02694316953420639,0.027161601930856705,14.402955996146014,13.898662405101934,-20.785930235476595
5,clay,0,0.5,tucker_mlpcal_h16,16,1e-05,2.6500409999862313,220.68259909981862,0.010764438658952713,0.010812850669026375,27.919789881008697,24.696894422086423,-23.553307088152735
6,cloth,0,0.5,tucker_mlpcal_h16,16,1e-05,9.224201200006064,233.42119009996532,0.05418173968791962,0.054488155990839005,8.546086096818865,8.419997806952551,-12.485634893907612
7,egyptian_statue,0,0.5,tucker_mlpcal_h16,16,1e-05,2.9305103000078816,239.90512989999843,0.008248304016888142,0.008365553803741932,16.80757454676278,16.316014044325392,-21.700222658332542
8,face,0,0.5,tucker_mlpcal_h16,16,1e-05,3.051673900015885,221.5161205000768,0.010066719725728035,0.010159562341868877,9.182914506807382,8.810809960507093,-23.573296189598707
9,fake_and_real_beers,0,0.5,tucker_mlpcal_h16,16,1e-05,3.0478490999958012,221.58027669988223,0.011569770984351635,0.011662422679364681,2.050847051432676,1.9942397679549337,-29.368057680277527
10,fake_and_real_food,0,0.5,tucker_mlpcal_h16,16,1e-05,2.980789299996104,217.8106892001233,0.019111299887299538,0.01924099028110504,12.687617045039538,12.076774135166646,-17.3837156353882
11,fake_and_real_lemon_slices,0,0.5,tucker_mlpcal_h16,16,1e-05,3.039900599978864,221.45848209992982,0.01852623000741005,0.018726937472820282,10.978032393282422,10.451662061451222,-16.20166219969487
12,fake_and_real_lemons,0,0.5,tucker_mlpcal_h16,16,1e-05,12.330464700004086,234.49530659988523,0.007946898229420185,0.008019373752176762,5.733411066836324,5.721260014229564,-25.618287648632005
13,fake_and_real_peppers,0,0.5,tucker_mlpcal_h16,16,1e-05,11.157607000001008,244.6370986000693,0.013477681204676628,0.013579392805695534,12.534909674210157,12.059392695749715,-21.203839454917443
14,fake_and_real_strawberries,0,0.5,tucker_mlpcal_h16,16,1e-05,11.544148399989353,233.2386153000698,0.011487379670143127,0.011586182750761509,8.616816824131721,8.32629539142354,-21.892481625544367
15,fake_and_real_sushi,0,0.5,tucker_mlpcal_h16,16,1e-05,11.481423100020038,179.09856710003805,0.011148335412144661,0.011367606930434704,7.807060111931446,7.33420468323574,-18.099904372894663
