scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,polycal_fit_time_sec,fit_time_sec,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all
1,balloons,0,0.1,tucker_polycal_p2,2,1e-06,0.6322147000173572,201.41018800009624,0.014092477038502693,0.014236710034310818,8.104049669170493,6.25858619485036,-23.564325731608633
1,balloons,0,0.1,tucker_polycal_p3,3,1e-06,0.7325911999796517,201.51056450005854,0.014041791670024395,0.014185817912220955,7.982468560810884,5.822147817927366,-23.59562230292239
1,balloons,0,0.1,tucker_polycal_p4,4,1e-06,0.8021929000096861,201.58016620008857,0.014036201871931553,0.014180650934576988,7.951553066076008,5.671731843583654,-23.599080055083444
2,beads,0,0.1,tucker_polycal_p2,2,1e-06,0.5857996999984607,205.14040580007713,0.0744670107960701,0.07467653602361679,25.189317659556036,19.186791888490312,-9.131549410952415
2,beads,0,0.1,tucker_polycal_p3,3,1e-06,0.655215800012229,205.2098219000909,0.07279155403375626,0.07298242300748825,22.63616164960865,14.854256854925486,-9.329208219728185
2,beads,0,0.1,tucker_polycal_p4,4,1e-06,0.8669801999931224,205.4215863000718,0.07240786403417587,0.0725894495844841,21.793657919524946,12.611340007270911,-9.375113324977963
3,cd,0,0.1,tucker_polycal_p2,2,1e-06,0.6643886999809183,207.4273419001256,0.03130064532160759,0.03147045150399208,10.996015690663505,7.036350711398559,-12.737035106294645
3,cd,0,0.1,tucker_polycal_p3,3,1e-06,0.7446196000091732,207.50757280015387,0.031162820756435394,0.031333617866039276,11.217751997838436,6.926264879142265,-12.775365721376152
3,cd,0,0.1,tucker_polycal_p4,4,1e-06,0.8934421000012662,207.65639530014596,0.030681177973747253,0.03086087666451931,11.157146922191764,7.307064675281501,-12.910660149675795
4,chart_and_stuffed_toy,0,0.1,tucker_polycal_p2,2,1e-06,0.6258218000002671,203.02569059983944,0.026910534128546715,0.027127470821142197,15.795394363972221,11.218336730845806,-20.796457689358125
4,chart_and_stuffed_toy,0,0.1,tucker_polycal_p3,3,1e-06,0.5968582000059541,202.99672699984512,0.026808174327015877,0.02701881341636181,15.413969152543743,10.539528631418802,-20.829559312608925
4,chart_and_stuffed_toy,0,0.1,tucker_polycal_p4,4,1e-06,0.7297773000027519,203.12964609984192,0.026801323518157005,0.02701381966471672,15.315810114576347,10.358294455924385,-20.83177874152788
5,clay,0,0.1,tucker_polycal_p2,2,1e-06,0.5762195000133943,202.76390809981967,0.010770761407911777,0.010808832012116909,28.025754590537844,13.544342079818623,-23.548206499252085
5,clay,0,0.1,tucker_polycal_p3,3,1e-06,0.55493720000959,202.74262579981587,0.01073260884732008,0.010772219859063625,27.842162314665117,13.196114378435023,-23.579028450333404
5,clay,0,0.1,tucker_polycal_p4,4,1e-06,0.7102665999846067,202.89795519979089,0.010692416690289974,0.010731802321970463,27.690839882156503,12.923484535683784,-23.611617327839625
6,cloth,0,0.1,tucker_polycal_p2,2,1e-06,0.5349075999984052,208.7853974000027,0.05454305186867714,0.05478917807340622,8.69507319581092,7.102702516769957,-12.427904932732467
