missing_rate,method_name,RMSE_missing_mean,RMSE_missing_std,SAM_missing_mean,SAM_missing_std,RMSE_all_mean,RMSE_all_std,SAM_all_mean,SAM_all_std,NMSE_dB_all_mean,NMSE_dB_all_std,Time_mean,Time_std,n_scenes
0.1,ntdpl,0.019707735317448776,0.01671073516670693,6.935523566677957,3.1497782224462982,0.01953922820587953,0.016609108328039742,11.97675908239629,6.614584988750581,-20.48830537293467,5.099572741785091,938.7668131466334,143.45329275576148,15
0.1,tucker,0.021776764192275123,0.019218833088394095,9.24956149535925,5.035284856836125,0.021633867861167003,0.019185304809513987,12.462768601997828,7.252626444253988,-19.820759895808866,5.506199071726709,209.92296667336487,7.613582216285632,15
0.1,tucker_polycal_p2,0.021712836250662802,0.019076687530523884,8.819496944564923,4.422318275704367,0.021568417611221472,0.019041856968539314,12.263220212611213,6.931043536167201,-19.833343401632458,5.489994551183774,210.43563364669487,7.559167160479141,15
0.1,tucker_polycal_p3,0.021542195603251456,0.018709261651716286,8.179062218237409,3.724807348232532,0.02140083027382692,0.018678145385605343,11.998843859955123,6.574825220900149,-19.868046913336386,5.457818735188612,210.493329820033,7.546897611107924,15
0.1,tucker_polycal_p4,0.02144627838085095,0.018593194434241962,7.79874927769269,3.393496508922371,0.021304707353313763,0.018564069038769962,11.881784636132254,6.448622161569155,-19.89560966248796,5.434259135911862,210.66911821336447,7.563834536341013,15
0.3,ntdpl,0.019760491823156676,0.01675861638375344,10.464536124681153,5.200396878971932,0.019592793906728426,0.016630864679864858,12.020552101351614,6.576239596248884,-20.460729450520496,5.092341176434752,897.2099245266678,144.46279380543098,15
0.3,tucker,0.021826268872613016,0.01929359347493063,11.455716561510194,6.1312001610220355,0.02167203336065274,0.019194736083109655,12.481630760005595,7.196215296475815,-19.799889759986375,5.498780063934661,209.42343873333496,8.302716688721068,15
0.3,tucker_polycal_p2,0.02176069716612498,0.01914933288247191,11.163053945336891,5.709850875258266,0.02160584876934687,0.019050380085778192,12.27784675333657,6.870396408587483,-19.812676633632336,5.4824637245982135,209.8308571600006,8.290626369284913,15
0.3,tucker_polycal_p3,0.021591380114356677,0.018783653770423455,10.776070088852228,5.247191781653518,0.021438398336370786,0.018686011150896475,12.013528902627856,6.510739411798538,-19.847042360268695,5.449731022369966,209.86098248666968,8.250060618440706,15
0.3,tucker_polycal_p4,0.021493734357257686,0.01866748895785117,10.590094088054567,5.068803541731306,0.021342069221039612,0.01857067630464364,11.899256927178422,6.38465010426828,-19.874406406505212,5.425913306984195,209.93159286666778,8.26819448988431,15
0.5,ntdpl,0.019811997128029665,0.016772572174912133,11.24453178206111,5.896069408133962,0.01963452355315288,0.016633049963275602,11.952940179517666,6.576895021539205,-20.43444486554917,5.0928514885944525,860.258939693356,153.91305643005458,15
0.5,tucker,0.021896004729772715,0.01931666819560908,11.935490737346948,6.672260053398469,0.02173692676553358,0.019222063807567816,12.417203019794151,7.226007560108441,-19.7674108427798,5.492938851598669,215.7000990733194,15.640989779753074,15
0.5,tucker_mlpcal_h16,0.02159208121399085,0.018700609104652252,11.338876240271885,5.81883451085407,0.02143238913267851,0.018604805368019964,11.937231700349278,6.472865054662773,-19.83236916328477,5.428229361790868,221.3906843266508,15.705811843987293,15
0.5,tucker_polycal_p2,0.021829554252326487,0.01916816585749513,11.689985588734315,6.296006350240856,0.021669950832923255,0.019073770340686618,12.212645210271367,6.89381204226339,-19.78011543628377,5.476574690606528,215.99298567331667,15.652746103811353,15
0.5,tucker_polycal_p3,0.021653257558743158,0.018786372967232418,11.364726412256381,5.8787292809646745,0.021495222486555575,0.018692955467280704,11.943002246612885,6.524374731232117,-19.815739574569974,5.442554436064952,216.01926857332,15.652410478917632,15
0.5,tucker_polycal_p4,0.021557887457311152,0.018671639905514268,11.21808820977996,5.732593212948629,0.021398993271092574,0.018576873238413963,11.827734756359721,6.398971792182278,-19.84296961312306,5.419252387261986,216.07862013998286,15.660919028582082,15
0.7,ntdpl,0.019999664338926474,0.01687788184972586,11.629599298126161,6.329169158888124,0.01981319102148215,0.01673388700397737,11.935123306711256,6.634754258725188,-20.347682445313133,5.071935662070088,861.2821806466517,148.3617163106393,15
0.7,tucker,0.022095542778226895,0.019380148827566,12.18752551321368,7.036221015534526,0.021928320274398578,0.019284160017786697,12.39653200050431,7.289138735404725,-19.669149634136478,5.4496666789095185,232.2921279933614,14.830456580573072,15
0.7,tucker_polycal_p2,0.022031488145391145,0.019235083052049958,11.967107338434952,6.690526695807735,0.021863895778854687,0.019139894810476923,12.19385792236193,6.962566601765724,-19.681270539354887,5.434343509764973,232.45645856669677,14.8372559873626,15
0.7,tucker_polycal_p3,0.02185791792968909,0.0188590691426905,11.67309137176681,6.300868351044369,0.021690869083007176,0.018763327212095053,11.923623149110798,6.593550707396136,-19.716187435933442,5.400374998455442,232.4758382533638,14.828293761503815,15
0.7,tucker_polycal_p4,0.021764205023646354,0.018747398889680494,11.538107499568957,6.161417019249866,0.021595714489618938,0.018650022033662218,11.802907265041132,6.463270460326822,-19.743418100670606,5.378176800681741,232.51276658002752,14.826319018902971,15
