missing_rate,method,RMSE*,NMSE(dB)*,SAM*,n_scenes
0.1,Tucker,0.02178 +- 0.01922,-19.734 +- 5.496,9.2496 +- 5.0353,15
0.1,NTD-PL,0.01971 +- 0.01671,-20.397 +- 5.109,6.9355 +- 3.1498,15
0.3,Tucker,0.02183 +- 0.01929,-19.724 +- 5.496,11.4557 +- 6.1312,15
0.3,NTD-PL,0.01976 +- 0.01676,-20.381 +- 5.105,10.4645 +- 5.2004,15
0.5,Tucker,0.02190 +- 0.01932,-19.694 +- 5.491,11.9355 +- 6.6723,15
0.5,NTD-PL,0.01981 +- 0.01677,-20.355 +- 5.105,11.2445 +- 5.8961,15
0.7,Tucker,0.02210 +- 0.01938,-19.593 +- 5.447,12.1875 +- 7.0362,15
0.7,NTD-PL,0.02000 +- 0.01688,-20.266 +- 5.086,11.6296 +- 6.3292,15
