scene_id,scene_label,missing_rate,RMSE_gain,SAM_gain,mean_RMSE_gain,mean_SAM_gain,scene_sort_index
2,S02,0.1,0.0110151999898086,8.836601895719568,0.011103031236038199,5.839846210307339,1
2,S02,0.3,0.011145169313696163,5.314770797422142,0.011103031236038199,5.839846210307339,1
2,S02,0.5,0.011206028269297702,4.7858327346086895,0.011103031236038199,5.839846210307339,1
2,S02,0.7,0.01104572737135033,4.422179413478958,0.011103031236038199,5.839846210307339,1
3,S03,0.1,0.004987989658007876,-1.243256694896349,0.004995569903887383,-1.803972302048443,2
3,S03,0.3,0.004946166811477512,-2.0774902555477155,0.004995569903887383,-1.803972302048443,2
3,S03,0.5,0.00505037117038927,-2.0389760642104395,0.004995569903887383,-1.803972302048443,2
3,S03,0.7,0.004997751975674876,-1.8561661935392681,0.004995569903887383,-1.803972302048443,2
10,S10,0.1,0.002821966754211619,5.597803633654865,0.0028672205561200027,3.7272171467365016,3
10,S10,0.3,0.0028618843137128425,3.438881144862016,0.0028672205561200027,3.7272171467365016,3
10,S10,0.5,0.002890367509170308,3.0300411987292915,0.0028672205561200027,3.7272171467365016,3
10,S10,0.7,0.0028946636473852413,2.8421426096998346,0.0028672205561200027,3.7272171467365016,3
4,S04,0.1,0.0028091841387948117,3.2326737260175644,0.0028315866614565368,1.8856595300133727,4
4,S04,0.3,0.0027424443502995985,1.6706989010123579,0.0028315866614565368,1.8856595300133727,4
4,S04,0.5,0.002871747007787036,1.5067620767427812,0.0028315866614565368,1.8856595300133727,4
4,S04,0.7,0.002902971148944701,1.1325034162807874,0.0028315866614565368,1.8856595300133727,4
6,S06,0.1,0.002656835440223257,1.4957878179392665,0.002634117175126148,0.5888662103174589,5
6,S06,0.3,0.00265342782208685,0.3802681677911348,0.002634117175126148,0.5888662103174589,5
6,S06,0.5,0.0026057161039683696,0.2601554813391118,0.002634117175126148,0.5888662103174589,5
6,S06,0.7,0.0026204893342261157,0.21925337420032243,0.002634117175126148,0.5888662103174589,5
11,S11,0.1,0.002510213875545411,1.6522303871921213,0.0024748779484131877,0.7590140811563324,6
11,S11,0.3,0.0025269307687480376,0.6794791335424488,0.0024748779484131877,0.7590140811563324,6
11,S11,0.5,0.0024375728637102065,0.4022024516472147,0.0024748779484131877,0.7590140811563324,6
11,S11,0.7,0.0024247942856490956,0.30214435224354474,0.0024748779484131877,0.7590140811563324,6
5,S05,0.1,0.001697686249640739,2.0529328678505365,0.0017225955897733395,1.7771400924626581,7
5,S05,0.3,0.0017153145101193833,1.6443909165723802,0.0017225955897733395,1.7771400924626581,7
5,S05,0.5,0.0017167462511251987,1.6499217569497162,0.0017225955897733395,1.7771400924626581,7
5,S05,0.7,0.001760635348208037,1.7613148284779996,0.0017225955897733395,1.7771400924626581,7
13,S13,0.1,0.0014115415595752027,4.209764757207302,0.0014238425884327156,2.8871384482803304,8
13,S13,0.3,0.001425833030805592,2.7523963518900914,0.0014238425884327156,2.8871384482803304,8
13,S13,0.5,0.0014199488608309177,2.328099001930708,0.0014238425884327156,2.8871384482803304,8
13,S13,0.7,0.0014380469025191498,2.258293682093221,0.0014238425884327156,2.8871384482803304,8
15,S15,0.1,0.0008308463150818995,0.49028788523575884,0.0008384863713813101,-0.6097313070340193,9
15,S15,0.3,0.0008201806269091238,-0.7138799838421699,0.0008384863713813101,-0.6097313070340193,9
15,S15,0.5,0.0008224832854784644,-1.0528501236193248,0.0008384863713813101,-0.6097313070340193,9
15,S15,0.7,0.0008804352580557527,-1.1624830059103415,0.0008384863713813101,-0.6097313070340193,9
1,S01,0.1,0.0007383850683663051,1.1952984282858994,0.0006739441413287101,0.7649659215558742,10
1,S01,0.3,0.0006024471572632171,0.7502379058477864,0.0006739441413287101,0.7649659215558742,10
1,S01,0.5,0.0006751541230466344,0.7141932351012041,0.0006739441413287101,0.7649659215558742,10
1,S01,0.7,0.000679790216638684,0.4001341169886068,0.0006739441413287101,0.7649659215558742,10
14,S14,0.1,0.0001489443361174965,1.753689729300394,0.00015348358087587327,0.8183916332592385,11
14,S14,0.3,0.00014416137565362308,0.6952689407413892,0.00015348358087587327,0.8183916332592385,11
14,S14,0.5,0.00015067722715505702,0.4167405700839897,0.00015348358087587327,0.8183916332592385,11
14,S14,0.7,0.0001701513845773165,0.40786729291118107,0.00015348358087587327,0.8183916332592385,11
8,S08,0.1,0.00011382051210217028,1.7337845832522847,9.663224467661505e-05,0.7974325589265729,12
8,S08,0.3,8.834540468601222e-05,0.8654794346116415,9.663224467661505e-05,0.7974325589265729,12
8,S08,0.5,7.806492152741089e-05,0.4143921995256523,9.663224467661505e-05,0.7974325589265729,12
8,S08,0.7,0.0001062981403908668,0.17607401831671332,9.663224467661505e-05,0.7974325589265729,12
7,S07,0.1,-8.55576058214208e-05,3.290767066665401,-7.736843969598315e-05,-0.47194054639849936,13
7,S07,0.3,-7.639187866442104e-05,-0.6268371092535823,-7.736843969598315e-05,-0.47194054639849936,13
7,S07,0.5,-8.983733188733592e-05,-2.011089824682564,-7.736843969598315e-05,-0.47194054639849936,13
7,S07,0.7,-5.768694241075484e-05,-2.540602318323252,-7.736843969598315e-05,-0.47194054639849936,13
9,S09,0.1,-0.00022344793236088456,-0.021711519782807498,-0.00017210634156523312,-0.012912094945080221,14
9,S09,0.3,-0.00019782500803091664,-0.01834216495724439,-0.00017210634156523312,-0.012912094945080221,14
9,S09,0.5,-0.00018800933829564263,-0.03229663825681728,-0.00017210634156523312,-0.012912094945080221,14
9,S09,0.7,-7.914308757348866e-05,0.02070194321654828,-0.00017210634156523312,-0.012912094945080221,14
12,S12,0.1,-0.00039817523689786305,0.43391436657759197,-0.00038581834627570994,0.13077267697421613,15
12,S12,0.3,-0.00041143285691750894,0.11238437174296045,-0.00038581834627570994,0.13077267697421613,15
12,S12,0.5,-0.0003869168971578629,-0.008743726601636581,-0.00038581834627570994,0.13077267697421613,15
12,S12,0.7,-0.00034674839412960484,-0.014464303822051328,-0.00038581834627570994,0.13077267697421613,15
