scene_id,scene_name,missing_rate,rmse_mean_tucker,rmse_mean_polycal,rmse_mean_ntdpl,extra_gain_rmse_mean,extra_gain_rmse_hardest,extra_gain_rmse_boundary_high
1,balloons,0.5,0.01097915694117546,0.010946212336421013,0.01047283224761486,0.00047337933210656047,0.00102304108440876,0.00024047218903433532
2,beads,0.5,0.0591159388422966,0.05477335304021835,0.04995480552315712,0.004818548448383808,0.02194231189787388,0.009302046149969101
3,cd,0.5,0.016283094882965088,0.0164678692817688,0.01662307046353817,-0.00015520113811362535,0.005089805461466312,0.0033502113074064255
4,chart_and_stuffed_toy,0.5,0.017582371830940247,0.017501968890428543,0.016353271901607513,0.0011486979201436043,0.006153441034257412,0.003638709429651499
5,clay,0.5,0.009198118932545185,0.009128915145993233,0.007919080555438995,0.001209834823384881,0.0053573474287986755,5.273340502753854e-05
6,cloth,0.5,0.0457037016749382,0.044906750321388245,0.044041089713573456,0.0008656599093228579,0.008512447588145733,0.003656769637018442
7,egyptian_statue,0.5,0.004785272758454084,0.004776831716299057,0.005131873302161694,-0.00035504152765497565,0.00025321292923763394,-0.00030141850584186614
8,feathers,0.5,0.023904571309685707,0.02308844029903412,0.017669599503278732,0.005418842658400536,0.01240442879498005,0.008456896990537643
9,flowers,0.5,0.015335943549871445,0.015048284083604813,0.013359520584344864,0.001688763964921236,0.004639022052288055,0.0027166821528226137
10,glass_tiles,0.5,0.015850666910409927,0.01580616645514965,0.013436035253107548,0.002370131202042103,0.0053393361158668995,0.003985826391726732
11,pompoms,0.5,0.02842363342642784,0.027631081640720367,0.025088638067245483,0.0025424459017813206,0.005613359622657299,0.0021227202378213406
12,sponges,0.5,0.01703840121626854,0.016769466921687126,0.01227097399532795,0.004498493857681751,0.009193516336381435,0.002074750140309334
13,stuffed_toys,0.5,0.016619544476270676,0.016352375969290733,0.01494405698031187,0.0014083192218095064,0.003651094390079379,0.002404654398560524
14,superballs,0.5,0.009703628718852997,0.00967256911098957,0.00893668457865715,0.000735884124878794,0.002968248911201954,0.0007734220707789063
15,thread_spools,0.5,0.012393360957503319,0.012279970571398735,0.010510344058275223,0.0017696269787847996,0.002275516279041767,0.0012134966673329473
