scene_id,scene_name,bin_id,bin_label,group_type,pixel_count,Tucker_RMSE,PolyCal_RMSE,NTDPL_RMSE,Tucker_SAM,PolyCal_SAM,NTDPL_SAM,gain_polycal_rmse,gain_ntdpl_rmse,extra_gain_rmse,gain_polycal_sam,gain_ntdpl_sam,extra_gain_sam
1,balloons,0,Q1,difficulty,65536,0.005158943124115467,0.005232865922152996,0.00531966146081686,7.072180271148682,7.038399696350098,7.512991905212402,-7.39230599720031e-05,-0.0001607186859473586,-8.67956259753555e-05,0.0337798148393631,-0.4408116936683655,-0.47459155321121216
1,balloons,1,Q2,difficulty,65536,0.007500419858843088,0.007462888956069946,0.0071440283209085464,7.405889987945557,7.191436767578125,6.899110794067383,3.7531084672082216e-05,0.0003563911304809153,0.0003188600530847907,0.21445313096046448,0.5067790746688843,0.2923259139060974
1,balloons,2,Q3,difficulty,65536,0.010481307283043861,0.010420655831694603,0.009782244451344013,9.729122161865234,9.51658821105957,8.98011589050293,6.065065099392086e-05,0.0006990624824538827,0.0006384118460118771,0.2125338315963745,0.7490060329437256,0.5364722013473511
1,balloons,3,Q4,difficulty,65536,0.02077595517039299,0.020668435841798782,0.01964539662003517,8.653908729553223,8.414751052856445,7.8649001121521,0.00010752007074188441,0.0011305611114948988,0.00102304108440876,0.239158496260643,0.7890089154243469,0.5498504042625427
2,beads,0,Q1,difficulty,65536,0.022963613271713257,0.021732090041041374,0.02613118663430214,35.25887680053711,29.160720825195312,31.66307830810547,0.0012315232306718826,-0.0031675754580646753,-0.004399098455905914,6.098156452178955,3.595799684524536,-2.502356767654419
2,beads,1,Q2,difficulty,65536,0.04108744114637375,0.03545302897691727,0.03768421337008476,27.780561447143555,20.44814682006836,21.82237434387207,0.00563440565019846,0.0034032256808131933,-0.00223118020221591,7.332414627075195,5.958185195922852,-1.3742297887802124
2,beads,2,Q3,difficulty,65536,0.060496293008327484,0.05403262376785278,0.05007046461105347,24.244075775146484,18.724550247192383,19.11911964416504,0.006463669240474701,0.010425829328596592,0.003962159622460604,5.519526481628418,5.124955654144287,-0.39457032084465027
2,beads,3,Q4,difficulty,65536,0.11191641539335251,0.10787566006183624,0.08593334257602692,20.85358238220215,18.530336380004883,17.855443954467773,0.0040407562628388405,0.025983069092035294,0.02194231189787388,2.323246479034424,2.9981393814086914,0.6748927235603333
3,cd,0,Q1,difficulty,65536,0.004939344711601734,0.005143658258020878,0.006882037501782179,5.678658962249756,5.876866340637207,7.726410388946533,-0.00020431328448466957,-0.0019426929065957665,-0.0017383794765919447,-0.1982070803642273,-2.0477514266967773,-1.8495445251464844
3,cd,1,Q2,difficulty,65536,0.008248835802078247,0.008611921221017838,0.010621612891554832,10.625175476074219,11.115619659423828,13.58190631866455,-0.0003630860010161996,-0.002372777322307229,-0.0020096914377063513,-0.49044421315193176,-2.956730365753174,-2.4662861824035645
3,cd,2,Q3,difficulty,65536,0.01074731070548296,0.011087270453572273,0.013049809262156487,13.065393447875977,13.48936653137207,15.939641952514648,-0.0003399604756850749,-0.002302499022334814,-0.0019625388085842133,-0.4239735007286072,-2.8742494583129883,-2.4502761363983154
3,cd,3,Q4,difficulty,65536,0.04119688272476196,0.04102862626314163,0.035938821732997894,13.912798881530762,13.815530776977539,13.688741683959961,0.0001682577858446166,0.005258062854409218,0.005089805461466312,0.09726785123348236,0.2240573912858963,0.12678952515125275
4,chart_and_stuffed_toy,0,Q1,difficulty,65536,0.0036320535000413656,0.0038839601911604404,0.00471350084990263,15.64695930480957,15.800585746765137,17.85525131225586,-0.0002519067202229053,-0.001081447466276586,-0.0008295407751575112,-0.1536281704902649,-2.208292245864868,-2.054664134979248
