missing_rate,scene_id,RMSE_missing_tucker,RMSE_missing_ntdpl,SAM_missing_tucker,SAM_missing_ntdpl,RMSE_gain,SAM_gain
0.1,2,0.07561439464809916,0.06449349721272786,22.351471023151902,13.477753686491553,0.0111208974353713,8.873717336660349
0.1,8,0.03060072636333756,0.023456870888670284,15.208064032532997,7.032800867607918,0.007143855474667275,8.175263164925079
0.1,3,0.03167363556716416,0.026616816098491352,7.292142623079427,9.793428682033609,0.0050568194686728095,-2.5012860589541814
0.1,12,0.018383385469777122,0.013480003302296003,4.751949974669697,4.020165964021431,0.004903382167481119,0.7317840106482656
0.1,11,0.031328437058280506,0.02762870428462823,8.522181986307347,5.582764546634732,0.003699732773652275,2.9394174396726145
0.1,10,0.021495417304099578,0.01832430809736252,7.004241546954295,4.767152825127512,0.00317110920673706,2.2370887218267823
0.1,4,0.02710959290807051,0.024348139762878418,11.30599710241375,8.094818957873466,0.0027614531451920915,3.211178144540284
0.1,6,0.054848618826708495,0.05216816067695618,7.39032133911067,5.899142952056589,0.0026804581497523183,1.4911783870540818
0.1,9,0.01995101051313635,0.017493140883743763,21.537578128060535,15.162634583268373,0.002457869629392588,6.374943544792162
0.1,13,0.020760113699808683,0.018528437862793606,15.495635262768914,10.503440826376428,0.0022316758370150777,4.992194436392486
0.1,5,0.010860011495627951,0.009165282671650251,13.903852220210451,11.873164431421932,0.0016947288239776998,2.0306877887885193
0.1,15,0.014963348007725218,0.013302240831156572,12.266516790439693,6.623073728351209,0.0016611071765686453,5.643443062088484
0.1,14,0.013723377165048303,0.012239046084384123,9.776938931938503,6.802710466537842,0.0014843310806641804,2.9742284654006603
0.1,1,0.014218153816790988,0.013508680276572704,6.404643345761504,5.17598052721528,0.0007094735402182837,1.2286628185462236
0.1,7,0.008300324345236186,0.008378922318418821,14.129077408477206,10.626713397766261,-7.859797318263487e-05,3.502364010710945
0.3,2,0.07568016359050019,0.06459262470404308,25.658281298584075,20.34333435427915,0.01108753888645711,5.314946944304925
0.3,8,0.030663687864437832,0.023556934669613838,17.035402701998496,10.974468499456984,0.007106753194823994,6.060934202541512
0.3,3,0.031748739894697064,0.026713890333970387,10.186950941619001,12.257245296764097,0.005034849560726678,-2.070294355145096
0.3,12,0.018379460766757904,0.013489616413911184,7.11162710514792,6.014807715868503,0.00488984435284672,1.0968193892794167
0.3,11,0.03136376158733321,0.027684699123104412,10.274902066019337,8.27452413628471,0.0036790624642287946,2.0003779297346274
