method,RMSE*,SAM*,RMSE(all),SAM(all),NMSE(dB)(all),missing_rate
Tucker,0.02637 +- 0.01791,15.5569 +- 6.8502,0.02618 +- 0.01782,16.3674 +- 7.4466,-18.753 +- 4.581,0.5
Tucker + PolyCal(P=4),0.02587 +- 0.01731,14.3420 +- 5.7617,0.02569 +- 0.01722,15.3336 +- 6.4876,-18.883 +- 4.539,0.5
NTD-PL,0.02299 +- 0.01582,13.4841 +- 5.7459,0.02279 +- 0.01568,14.4828 +- 6.4525,-19.941 +- 4.679,0.5
