scene_id,scene_name,bin_id,bin_label,group_type,pixel_count,Tucker_RMSE,PolyCal_RMSE,NTDPL_RMSE,Tucker_SAM,PolyCal_SAM,NTDPL_SAM,gain_polycal_rmse,gain_ntdpl_rmse,extra_gain_rmse,gain_polycal_sam,gain_ntdpl_sam,extra_gain_sam
1,balloons,0,Q1,boundary,65536,0.007874147035181522,0.007822547107934952,0.007754389196634293,15.317052841186523,14.855184555053711,14.475818634033203,5.160006185178645e-05,0.00011975763482041657,6.815759115852416e-05,0.4618702530860901,0.841235339641571,0.37936514616012573
1,balloons,1,Q2,boundary,65536,0.008972188457846642,0.008913189172744751,0.008246099576354027,6.230910301208496,6.150032043457031,5.727749347686768,5.899883035453968e-05,0.0007260891725309193,0.0006670903530903161,0.08087872713804245,0.5031610727310181,0.422282338142395
1,balloons,2,Q3,boundary,65536,0.010572204366326332,0.010507067665457726,0.009589269757270813,4.6956610679626465,4.631067752838135,4.320160865783691,6.513770495075732e-05,0.0009829348418861628,0.0009177972096949816,0.06459322571754456,0.3755004405975342,0.31090718507766724
1,balloons,3,Q4,boundary,65536,0.016498085111379623,0.016542043536901474,0.01630157232284546,6.617475509643555,6.5248918533325195,6.733389854431152,-4.395784344524145e-05,0.0001965143601410091,0.00024047218903433532,0.0925830602645874,-0.11591453850269318,-0.20849758386611938
2,beads,0,Q1,boundary,65536,0.03567130118608475,0.02931532822549343,0.02733996883034706,48.73983383178711,36.561058044433594,37.722137451171875,0.006355972029268742,0.008331332355737686,0.0019753603264689445,12.178776741027832,11.0177001953125,-1.1610767841339111
2,beads,1,Q2,boundary,65536,0.052680604159832,0.047621339559555054,0.04396795481443405,26.46347999572754,20.78704071044922,22.045562744140625,0.005059266462922096,0.0087126474827528,0.003653381485491991,5.676438331604004,4.417915344238281,-1.2585229873657227
2,beads,2,Q3,boundary,65536,0.06255137920379639,0.05863308161497116,0.05428967624902725,17.520259857177734,15.079492568969727,15.993385314941406,0.003918298985809088,0.008261704817414284,0.004343406297266483,2.4407668113708496,1.5268745422363281,-0.9138921499252319
2,beads,3,Q4,boundary,65536,0.08556047081947327,0.08352366089820862,0.07422161102294922,15.413524627685547,14.436162948608398,14.698934555053711,0.0020368180703371763,0.011338863521814346,0.009302046149969101,0.9773622751235962,0.7145898342132568,-0.26277244091033936
3,cd,0,Q1,boundary,65536,0.0058081308379769325,0.0059943245723843575,0.007303283084183931,5.423060417175293,5.605399131774902,6.478194713592529,-0.00018619342881720513,-0.0014951520133763552,-0.001308958511799574,-0.18233801424503326,-1.0551339387893677,-0.872795820236206
3,cd,1,Q2,boundary,65536,0.010443284176290035,0.01090441457927227,0.012651490978896618,11.496864318847656,11.945464134216309,14.291841506958008,-0.00046112979180179536,-0.002208206569775939,-0.0017470767488703132,-0.4486004114151001,-2.794978618621826,-2.3463783264160156
3,cd,2,Q3,boundary,65536,0.014161575585603714,0.014437291771173477,0.015352272428572178,12.971639633178711,13.306644439697266,15.56742000579834,-0.00027571720420382917,-0.0011906976578757167,-0.0009149805409833789,-0.3350054621696472,-2.595780611038208,-2.260775327682495
3,cd,3,Q4,boundary,65536,0.03471938520669937,0.034535445272922516,0.03118523582816124,13.390462875366211,13.439875602722168,14.5992431640625,0.00018393843492958695,0.003534149844199419,0.0033502113074064255,-0.04941306263208389,-1.2087810039520264,-1.1593677997589111
4,chart_and_stuffed_toy,0,Q1,boundary,65536,0.00568647775799036,0.0056915259920060635,0.005801423452794552,22.082473754882812,21.264175415039062,21.35457992553711,-5.048598723078612e-06,-0.00011494588397908956,-0.00010989730071742088,0.8182984590530396,0.7278934717178345,-0.09040507674217224
4,chart_and_stuffed_toy,1,Q2,boundary,65536,0.008814612403512001,0.008701806887984276,0.008424806408584118,16.439373016357422,15.668572425842285,15.40408706665039,0.00011280491162324324,0.00038980599492788315,0.0002770010323729366,0.770801842212677,1.0352864265441895,0.2644845247268677
4,chart_and_stuffed_toy,2,Q3,boundary,65536,0.01858583092689514,0.018483001738786697,0.01769402250647545,10.957901000976562,10.561942100524902,10.058229446411133,0.00010282836592523381,0.0008918072562664747,0.0007889789412729442,0.39595913887023926,0.8996723890304565,0.5037133097648621
4,chart_and_stuffed_toy,3,Q4,boundary,65536,0.03724256902933121,0.03713154420256615,0.033492833375930786,8.340141296386719,8.248420715332031,7.888153553009033,0.0001110255834646523,0.00374973495490849,0.003638709429651499,0.09172096848487854,0.4519880712032318,0.36026713252067566
5,clay,0,Q1,boundary,65536,0.00657501257956028,0.006621241569519043,0.00568249961361289,45.13177490234375,44.07744598388672,42.46861267089844,-4.6228862629504874e-05,0.000892512733116746,0.0009387416066601872,1.0543334484100342,2.66316556930542,1.6088323593139648
5,clay,1,Q2,boundary,65536,0.009343555197119713,0.009232800453901291,0.006924295797944069,25.089893341064453,24.68120002746582,22.85133934020996,0.000110753855551593,0.002419258700683713,0.0023085048887878656,0.4086936116218567,2.238555431365967,1.8298618793487549
5,clay,2,Q3,boundary,65536,0.009029514156281948,0.00890829972922802,0.007368940394371748,21.602901458740234,21.28377914428711,20.407302856445312,0.00012121440522605553,0.0016605741111561656,0.0015393596841022372,0.3191208839416504,1.1955989599227905,0.8764779567718506
5,clay,3,Q4,boundary,65536,0.0118443937972188,0.011753316968679428,0.01170058362185955,20.904048919677734,20.626991271972656,19.992401123046875,9.107532969210297e-05,0.00014380872016772628,5.273340502753854e-05,0.2770591676235199,0.9116482138633728,0.6345890760421753
6,cloth,0,Q1,boundary,65536,0.03109143301844597,0.02970564365386963,0.030999716371297836,9.6796875,8.731474876403809,9.319631576538086,0.0013857872691005468,9.171515557682142e-05,-0.00129407225176692,0.948212742805481,0.36005619168281555,-0.5881565809249878
6,cloth,1,Q2,boundary,65536,0.0387827530503273,0.03719250485301018,0.03763098269701004,8.086485862731934,7.519729137420654,7.685620307922363,0.0015902507584542036,0.0011517705861479044,-0.0004384801140986383,0.5667563676834106,0.4008656144142151,-0.16589075326919556
6,cloth,2,Q3,boundary,65536,0.05029074475169182,0.04964060336351395,0.048102185130119324,8.742460250854492,8.573948860168457,8.521822929382324,0.0006501396419480443,0.002188561949878931,0.0015384224243462086,0.16851064562797546,0.22063681483268738,0.052126165479421616
6,cloth,3,Q4,boundary,65536,0.06264987587928772,0.06308824568986893,0.05943147838115692,8.706339836120605,8.984182357788086,8.840490341186523,-0.00043837481644004583,0.003218394238501787,0.003656769637018442,-0.27784299850463867,-0.13415119051933289,0.1436918079853058
7,egyptian_statue,0,Q1,boundary,65536,0.001639614813029766,0.0016375165432691574,0.0017952810740098357,24.762048721313477,23.270984649658203,29.703330993652344,2.0982593014196027e-06,-0.0001556662900839001,-0.00015776454529259354,1.4910646677017212,-4.941281795501709,-6.432346343994141
7,egyptian_statue,1,Q2,boundary,65536,0.0020132192876189947,0.0019966447725892067,0.0025409613735973835,19.65973472595215,19.193696975708008,26.95258331298828,1.657439861446619e-05,-0.0005277420277707279,-0.000544316484592855,0.4660382568836212,-7.292848110198975,-7.758886337280273
7,egyptian_statue,2,Q3,boundary,65536,0.0042947460897266865,0.004278772510588169,0.004695438779890537,15.447418212890625,15.198573112487793,17.405004501342773,1.597388109075837e-05,-0.0004006926901638508,-0.0004166665894445032,0.24884548783302307,-1.9575854539871216,-2.2064311504364014
7,egyptian_statue,3,Q4,boundary,65536,0.011193511076271534,0.011194393038749695,0.011495811864733696,7.387335777282715,7.320137977600098,7.395965099334717,-8.81955202203244e-07,-0.000302300468320027,-0.00030141850584186614,0.06719721853733063,-0.008629439398646355,-0.07582666724920273
8,feathers,0,Q1,boundary,65536,0.013292137533426285,0.012472806498408318,0.009695458225905895,27.650737762451172,24.68505096435547,19.917404174804688,0.0008193309768103063,0.003596678376197815,0.002777347108349204,2.9656872749328613,7.733335018157959,4.7676472663879395
8,feathers,1,Q2,boundary,65536,0.019195418804883957,0.018301501870155334,0.013317168690264225,19.310340881347656,17.48090934753418,12.994795799255371,0.0008939161198213696,0.005878250114619732,0.0049843331798911095,1.8294315338134766,6.315545558929443,4.486114025115967
8,feathers,2,Q3,boundary,65536,0.02324403077363968,0.02232379838824272,0.016867008060216904,14.972003936767578,13.354740142822266,9.648693084716797,0.0009202336659654975,0.0063770245760679245,0.005456790328025818,1.6172627210617065,5.323310852050781,3.706048011779785
8,feathers,3,Q4,boundary,65536,0.03988669812679291,0.03925566002726555,0.030798763036727905,11.01400375366211,10.338900566101074,8.305527687072754,0.0006310365279205143,0.009087933227419853,0.008456896990537643,0.6751033067703247,2.7084758281707764,2.033372402191162
9,flowers,0,Q1,boundary,65536,0.00714449305087328,0.0068784491159021854,0.005600085482001305,61.35915756225586,53.77520751953125,47.45763397216797,0.00026604405138641596,0.001544407568871975,0.0012783636339008808,7.583945274353027,13.901522636413574,6.317577362060547
9,flowers,1,Q2,boundary,65536,0.01103178784251213,0.010595455765724182,0.009336885996162891,32.12562561035156,28.662508010864258,25.058624267578125,0.0004363319312687963,0.0016949016135185957,0.0012585697695612907,3.463111639022827,7.066997051239014,3.6038854122161865
9,flowers,2,Q3,boundary,65536,0.016036786139011383,0.015823785215616226,0.014322345145046711,14.635223388671875,13.681872367858887,12.407642364501953,0.000213001505471766,0.0017144414596259594,0.0015014398377388716,0.9533509016036987,2.2275819778442383,1.274231195449829
9,flowers,3,Q4,boundary,65536,0.02713070809841156,0.026895444840192795,0.0241787638515234,8.047019958496094,7.729129314422607,7.223811149597168,0.0002352638402953744,0.00295194610953331,0.0027166821528226137,0.3178899884223938,0.8232084512710571,0.5053185224533081
10,glass_tiles,0,Q1,boundary,65536,0.011660640127956867,0.011678054928779602,0.009639943949878216,10.615001678466797,10.649231910705566,8.758919715881348,-1.7415062757208943e-05,0.0020206954795867205,0.002038110513240099,-0.03423048555850983,1.8560813665390015,1.8903119564056396
10,glass_tiles,1,Q2,boundary,65536,0.01070303376764059,0.010782879777252674,0.009010830894112587,10.975068092346191,11.025871276855469,8.701051712036133,-7.984610419953242e-05,0.0016922022914513946,0.0017720484174787998,-0.050803638994693756,2.2740163803100586,2.324820041656494
10,glass_tiles,2,Q3,boundary,65536,0.0119815394282341,0.011974980123341084,0.010290440171957016,12.271896362304688,12.220505714416504,9.989052772521973,6.5587828430579975e-06,0.001691098790615797,0.0016845399513840675,0.05139075219631195,2.282843589782715,2.2314529418945312
10,glass_tiles,3,Q4,boundary,65536,0.029057450592517853,0.028788752853870392,0.02480292320251465,7.7346696853637695,7.589926719665527,6.490016460418701,0.00026869759312830865,0.004254523664712906,0.003985826391726732,0.1447432041168213,1.2446532249450684,1.099910020828247
