missing_rate,method_name,scene_id,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all,fit_time_sec
0.3,ntdpl,1,0.014034149857858816,0.014122016107042631,8.302063394246131,7.437993564024805,-23.60316804938509,747.5601154999998
0.3,ntdpl,2,0.06399080405632655,0.06459262470404308,23.042909028739192,20.34333435427915,-10.448476927016358,820.2222673666669
0.3,ntdpl,3,0.02640312227110068,0.026713890333970387,12.787486251620871,12.257245296764097,-14.21499545511857,1685.3103370000015
0.3,ntdpl,4,0.02417560728887717,0.0244038924574852,14.475161324956199,12.639739535791682,-21.727372637063482,1649.9161871666668
0.3,ntdpl,5,0.00909987154106299,0.009151353500783443,26.428306047033118,20.31406079216697,-25.012431365621364,1310.671540033333
0.3,ntdpl,6,0.0519299308458964,0.05224344258507093,8.606120406420267,8.211526046229684,-12.854339271502818,1783.3723408666676
0.3,ntdpl,7,0.008284188186128935,0.008389675368865332,20.46606252797903,16.787922642650823,-21.662518907589902,1323.6686799666713
0.3,ntdpl,8,0.023319593941171963,0.023556934669613838,12.794271046605816,10.974468499456984,-19.47600524871983,2513.8138618999947
0.3,ntdpl,9,0.017352290451526642,0.017553087944785755,23.168115347036977,19.485214982648916,-19.647081517286967,237.17057926666652
0.3,ntdpl,10,0.018204657981793087,0.018406360720594723,8.504111400983609,7.264809163776623,-20.18262050002438,994.7064635666708
0.3,ntdpl,11,0.027540354058146477,0.027684699123104412,9.203258460215972,8.27452413628471,-18.77818149136036,1182.4157576333334
0.3,ntdpl,12,0.01343333131323258,0.013489616413911184,6.947526900885897,6.014807715868503,-28.801795291691207,1170.4014488666678
0.3,ntdpl,13,0.018477601930499077,0.018612651154398918,20.32298534609328,17.1059837321761,-21.722261749397784,1150.7292900666653
0.3,ntdpl,14,0.012145269972582659,0.012290443293750286,10.906930455896147,9.800721943590593,-19.78759390003682,1165.9569643333332
0.3,ntdpl,15,0.01319898913304011,0.013303427956998348,12.245205779370066,10.082788603093656,-21.19088183695492,1211.2997073333293
0.3,tucker,1,0.014280711314493093,0.014374250312468159,8.691293104915465,7.884038047666628,-23.44929600880805,430.31798546666687
0.3,tucker,2,0.07522836549143917,0.07568016359050019,27.245192649946897,25.658281298584075,-9.043195517019585,350.564786133337
0.3,tucker,3,0.03151068088719268,0.031748739894697064,10.911427899502392,10.186950941619001,-12.678945207787985,351.14102023332816
0.3,tucker,4,0.026970972632319987,0.02719621023170267,15.789024035407955,14.559124065305818,-20.77697180441893,369.9444552666707
0.3,tucker,5,0.01079244926983946,0.010861101937479684,28.20461823071052,21.96517070281052,-23.53073445884274,425.1499010000116
0.3,tucker,6,0.054617007827919,0.054894779125264304,8.796641768863678,8.586803571925763,-12.41613642274302,526.2030040000027
0.3,tucker,7,0.008195857933636141,0.0083106445744658,17.196043504017045,16.36955530041715,-21.755634076290665,515.8114903999934
