missing_rate,method,RMSE*,SAM*
0.3,Tucker + PolyCal(P=2),0.02622 +- 0.01774,14.2646 +- 5.8392
0.3,Tucker + PolyCal(P=3),0.02596 +- 0.01739,13.6777 +- 5.3813
0.3,Tucker + PolyCal(P=4),0.02581 +- 0.01729,13.3251 +- 5.0871
0.5,Tucker + PolyCal(P=2),0.02629 +- 0.01777,15.1408 +- 6.4138
0.5,Tucker + PolyCal(P=3),0.02602 +- 0.01741,14.6443 +- 6.0052
0.5,Tucker + PolyCal(P=4),0.02587 +- 0.01731,14.3420 +- 5.7617
