P,RMSE*,RMSE*_std,NMSE(dB)*,NMSE(dB)*_std,SAM*,SAM*_std,top1_term,top1_contribution,top2_term,top2_contribution,top_terms
1,0.15123738750572052,0.053525849229206085,-2.5499602945859956,1.5593178096759857,25.937099075317384,18.011320335829136,1,0.6310989961221101,0,0.36890100387789,"1 (0.631), 0 (0.369)"
2,0.1091739999450285,0.0687176394857232,-6.502922854834902,6.46713359815404,18.150118573506674,13.227338360452782,2,0.6534920758729527,1,0.21614247927950067,"2 (0.653), 1 (0.216)"
3,0.08338759202519276,0.06870540976338632,-9.979798558715352,7.347385962522177,15.234858830769857,6.761993160247276,2,0.46588466594546335,3,0.2924878597152309,"2 (0.466), 3 (0.292)"
4,0.023004312530943895,0.0158324458977444,-19.86170776528386,4.694444592692258,14.456010882059733,6.4676666220280365,2,0.43035420450957035,3,0.2577300487803016,"2 (0.430), 3 (0.258)"
