scene_id,scene_name,difficulty_bin,boundary_bin,difficulty_label,boundary_label,pixel_count,gain_ntdpl_rmse,extra_gain_rmse,gain_ntdpl_sam,extra_gain_sam
1,balloons,0,0,Q1,Q1,27730,-0.00030390865867957473,-0.0002502062707208097,-0.34668320417404175,-0.3799375891685486
1,balloons,0,1,Q1,Q2,17619,1.095127208827762e-05,5.1633218390634283e-05,0.06803496181964874,0.08185373246669769
1,balloons,0,2,Q1,Q3,13307,0.0001335328270215541,0.00019349037029314786,-0.11986832320690155,-0.10490822046995163
1,balloons,0,3,Q1,Q4,6880,-0.0005923463613726199,-0.0003247848362661898,-2.7440600395202637,-2.9961233139038086
1,balloons,1,0,Q2,Q1,20923,0.00015940987213980407,7.03446930856444e-05,1.0284502506256104,0.4505584239959717
1,balloons,1,1,Q2,Q2,18567,0.000629597925581038,0.0005747997784055769,0.4175175428390503,0.3640970289707184
1,balloons,1,2,Q2,Q3,15529,0.0005011051543988287,0.0004941269871778786,0.20345546305179596,0.17236089706420898
1,balloons,1,3,Q2,Q4,10517,5.226884604780935e-05,0.00010263243166264147,0.07440333813428879,0.027960168197751045
1,balloons,2,0,Q3,Q1,12550,0.0004534602048806846,0.00035825735540129244,1.8340214490890503,1.112402319908142
1,balloons,2,1,Q3,Q2,21745,0.0010440231999382377,0.0009517325670458376,0.722976565361023,0.6083573698997498
1,balloons,2,2,Q3,Q3,17503,0.0010310185607522726,0.0009473179234191775,0.5211392641067505,0.43526607751846313
1,balloons,2,3,Q3,Q4,13738,-4.552115933620371e-05,4.840098426939221e-06,0.08933354169130325,0.025506049394607544
1,balloons,3,0,Q4,Q1,4333,0.0016731050563976169,0.0012547984952107072,4.664087772369385,2.771766185760498
1,balloons,3,1,Q4,Q2,7605,0.0017094019567593932,0.0015044015599414706,1.0918184518814087,0.8209851384162903
1,balloons,3,2,Q4,Q3,19197,0.0019176495261490345,0.0017356759635731578,0.7252655029296875,0.597831666469574
1,balloons,3,3,Q4,Q4,34401,0.0004950369475409389,0.0004897598410025239,0.269550085067749,0.18327286839485168
2,beads,0,0,Q1,Q1,36102,0.00013605265121441334,-0.0015659915516152978,6.791084289550781,-1.7803860902786255
2,beads,0,1,Q1,Q2,15423,-0.004392173606902361,-0.005661630537360907,1.4616659879684448,-3.3511130809783936
2,beads,0,2,Q1,Q3,8587,-0.00933550950139761,-0.009703942574560642,-2.1282906532287598,-3.664984703063965
2,beads,0,3,Q1,Q4,5424,-0.011909566819667816,-0.011267847381532192,-2.541489839553833,-3.0537455081939697
2,beads,1,0,Q2,Q1,16289,0.012214170768857002,0.001721378997899592,17.032983779907227,-0.7489818334579468
2,beads,1,1,Q2,Q2,19862,0.00382222980260849,-0.0016618493245914578,5.019343852996826,-1.5975669622421265
2,beads,1,2,Q2,Q3,17282,-0.0004077319463249296,-0.00409891689196229,0.9103164076805115,-1.6878234148025513
2,beads,1,3,Q2,Q4,12103,-0.003701027249917388,-0.005818147212266922,-0.19837570190429688,-1.4014309644699097
2,beads,2,0,Q3,Q1,9435,0.02250547707080841,0.007952009327709675,17.178972244262695,-0.06424852460622787
2,beads,2,1,Q3,Q2,17868,0.012393200770020485,0.005313969682902098,6.027044773101807,-0.3986145257949829
2,beads,2,2,Q3,Q3,20335,0.008398477919399738,0.0033452969510108232,2.3662774562835693,-0.5573180317878723
2,beads,2,3,Q3,Q4,17898,0.004397316370159388,0.0012102060718461871,1.0043588876724243,-0.3797556757926941
2,beads,3,0,Q4,Q1,3710,0.03498506546020508,0.022351989522576332,10.067481994628906,0.2667190134525299
2,beads,3,1,Q4,Q2,12383,0.02756793424487114,0.02138455957174301,4.813358783721924,0.6508097052574158
2,beads,3,2,Q4,Q3,19332,0.02368438057601452,0.019180016592144966,2.8186709880828857,0.6248921155929565
2,beads,3,3,Q4,Q4,30111,0.025697974488139153,0.023894673213362694,1.4958429336547852,0.7671898007392883
3,cd,0,0,Q1,Q1,50565,-0.001494958414696157,-0.001296658767387271,-0.9259954690933228,-0.7550379037857056
3,cd,0,1,Q1,Q2,8695,-0.0036358716897666454,-0.0034316375385969877,-4.676400661468506,-4.418732166290283
3,cd,0,2,Q1,Q3,4158,-0.0031490372493863106,-0.0028802785091102123,-6.80539608001709,-6.427643299102783
3,cd,0,3,Q1,Q4,2118,-0.0033126212656497955,-0.003090936690568924,-8.697046279907227,-8.44487190246582
3,cd,1,0,Q2,Q1,9842,-0.0018866955069825053,-0.0017725727520883083,-1.8838067054748535,-1.696121335029602
3,cd,1,1,Q2,Q2,26232,-0.002487398451194167,-0.002062037354335189,-3.008066177368164,-2.43052077293396
3,cd,1,2,Q2,Q3,19565,-0.00240178476087749,-0.0019924729131162167,-3.2864530086517334,-2.740701198577881
3,cd,1,3,Q2,Q4,9897,-0.0024950113147497177,-0.002140788361430168,-3.2358100414276123,-2.784486770629883
3,cd,2,0,Q3,Q1,3616,-0.001766000292263925,-0.0016568630235269666,-2.048426866531372,-1.7538270950317383
3,cd,2,1,Q3,Q2,21271,-0.0023226183839142323,-0.0019304355373606086,-2.7305519580841064,-2.2141733169555664
3,cd,2,2,Q3,Q3,24366,-0.0022550933063030243,-0.0018693048041313887,-2.972982883453369,-2.527503490447998
3,cd,2,3,Q3,Q4,16283,-0.002466297009959817,-0.002211874583736062,-3.097613573074341,-2.7978034019470215
3,cd,3,0,Q4,Q1,1513,0.0016926710959523916,0.002127240179106593,2.393423557281494,2.6530139446258545
3,cd,3,1,Q4,Q2,9338,0.00016606679128017277,0.0011239367304369807,-0.5912677645683289,-0.4815027117729187
3,cd,3,2,Q4,Q3,17447,0.0021206317469477654,0.002094471827149391,-0.29123032093048096,-0.3570276200771332
3,cd,3,3,Q4,Q4,37238,0.00814979337155819,0.007608071900904179,0.5817962884902954,0.4033676087856293
4,chart_and_stuffed_toy,0,0,Q1,Q1,36685,-0.0011952918721362948,-0.0009188077528961003,-2.386375665664673,-2.1075453758239746
4,chart_and_stuffed_toy,0,1,Q1,Q2,22215,-0.0008356097969226539,-0.0006215993198566139,-1.9974514245986938,-1.989953875541687
4,chart_and_stuffed_toy,0,2,Q1,Q3,5569,-0.001150204916484654,-0.0009352676570415497,-1.9780337810516357,-2.0680432319641113
4,chart_and_stuffed_toy,0,3,Q1,Q4,1067,-0.0019268051255494356,-0.001537945936433971,-1.6770471334457397,-1.513970136642456
4,chart_and_stuffed_toy,1,0,Q2,Q1,22969,9.340737597085536e-05,-4.980993617209606e-05,1.0383843183517456,-0.4263782799243927
4,chart_and_stuffed_toy,1,1,Q2,Q2,26024,-0.0003511748800519854,-0.00038643862353637815,-0.07618073374032974,-0.8109506368637085
4,chart_and_stuffed_toy,1,2,Q2,Q3,12617,-0.0011580237187445164,-0.001150211552157998,-0.547123372554779,-0.8611830472946167
4,chart_and_stuffed_toy,1,3,Q2,Q4,3926,-0.0018026026664301753,-0.0016676723025739193,0.13474082946777344,-0.10794840008020401
4,chart_and_stuffed_toy,2,0,Q3,Q1,5308,0.004835112486034632,0.003851116867735982,17.02814292907715,11.668624877929688
4,chart_and_stuffed_toy,2,1,Q3,Q2,14123,0.0013763196766376495,0.0009176791645586491,4.729444980621338,2.8752312660217285
4,chart_and_stuffed_toy,2,2,Q3,Q3,29240,-0.0008396951598115265,-0.0007918504998087883,1.0077261924743652,0.516467809677124
4,chart_and_stuffed_toy,2,3,Q3,Q4,16865,-0.0015797257656231523,-0.0015280736843124032,0.09131897985935211,-0.018797703087329865
4,chart_and_stuffed_toy,3,0,Q4,Q1,574,0.014818706549704075,0.012555033899843693,36.60517883300781,33.53126525878906
4,chart_and_stuffed_toy,3,1,Q4,Q2,3174,0.010652365162968636,0.009155219420790672,14.937140464782715,13.24428939819336
4,chart_and_stuffed_toy,3,2,Q4,Q3,18110,0.00574348121881485,0.005222581326961517,2.6180975437164307,2.224865436553955
4,chart_and_stuffed_toy,3,3,Q4,Q4,43678,0.006445296108722687,0.006237137597054243,0.6717755794525146,0.5945029854774475
5,clay,0,0,Q1,Q1,39593,-0.0006490537198260427,-0.0005592622910626233,1.434910774230957,0.06838317960500717
5,clay,0,1,Q1,Q2,11738,-2.1707810446969233e-05,-6.440922152251005e-05,0.5494886636734009,0.19483160972595215
5,clay,0,2,Q1,Q3,11011,-7.963536336319521e-05,-6.501871393993497e-05,0.29296478629112244,0.13976505398750305
5,clay,0,3,Q1,Q4,3194,-0.0015147706726565957,-0.0013797807041555643,0.8739469051361084,0.23702062666416168
5,clay,1,0,Q2,Q1,14462,2.2066678866394795e-05,7.022553745628102e-06,2.0369441509246826,1.1745514869689941
5,clay,1,1,Q2,Q2,25346,0.00045660900650545955,0.0003465332556515932,1.3332895040512085,0.7829965949058533
5,clay,1,2,Q2,Q3,17709,0.0005063622957095504,0.0003812592476606369,1.0469870567321777,0.6342030167579651
5,clay,1,3,Q2,Q4,8019,-0.0010747660417109728,-0.00111811188980937,0.4566987156867981,0.17711806297302246
5,clay,2,0,Q3,Q1,1960,0.0001420882617821917,5.612453242065385e-05,2.3779330253601074,1.5485752820968628
5,clay,2,1,Q3,Q2,12928,0.00018857921531889588,0.0001331531093455851,0.878650426864624,0.42742428183555603
5,clay,2,2,Q3,Q3,22759,0.0002971591893583536,0.0001971860183402896,0.8834499716758728,0.4415990114212036
5,clay,2,3,Q3,Q4,27889,-0.0005910888430662453,-0.0006782549316994846,0.6225617527961731,0.30027422308921814
5,clay,3,0,Q4,Q1,9521,0.008779758587479591,0.008765117265284061,8.780776977539062,8.686838150024414
5,clay,3,1,Q4,Q2,15524,0.009326988831162453,0.009117597714066505,6.126213073730469,5.9432692527771
5,clay,3,2,Q4,Q3,14057,0.006685212254524231,0.006428108550608158,2.5952484607696533,2.462862491607666
5,clay,3,3,Q4,Q4,26434,0.0014892278704792261,0.0013522336957976222,1.3592153787612915,1.1741214990615845
6,cloth,0,0,Q1,Q1,29260,-0.004190077073872089,-0.004038599785417318,-0.9166064262390137,-1.3755546808242798
6,cloth,0,1,Q1,Q2,19011,-0.004372423514723778,-0.004535878077149391,-0.8819742798805237,-0.9170762896537781
6,cloth,0,2,Q1,Q3,11574,-0.0052092233672738075,-0.005174681078642607,-1.037353754043579,-0.9585429430007935
6,cloth,0,3,Q1,Q4,5691,-0.007188590243458748,-0.006066582631319761,-2.594569444656372,-1.3592548370361328
6,cloth,1,0,Q2,Q1,18545,0.0015577547019347548,-0.0005291365087032318,0.9257989525794983,-0.2994760572910309
6,cloth,1,1,Q2,Q2,18961,0.0004616684454958886,-0.001416312181390822,0.3927040100097656,-0.25864851474761963
6,cloth,1,2,Q2,Q3,15786,-0.0009326484287157655,-0.00190254847984761,-0.029333874583244324,-0.333266943693161
6,cloth,1,3,Q2,Q4,12244,-0.003069366328418255,-0.002837936393916607,-0.4669904410839081,-0.3743252456188202
6,cloth,2,0,Q3,Q1,12284,0.004561861511319876,0.0013041108613833785,1.809350609779358,0.2486497312784195
6,cloth,2,1,Q3,Q2,16995,0.0037431528326123953,0.0011791700962930918,1.1293507814407349,0.20904146134853363
6,cloth,2,2,Q3,Q3,18105,0.002441900549456477,0.0012101467000320554,0.5201234817504883,0.14617399871349335
6,cloth,2,3,Q3,Q4,18152,0.0004392020055092871,0.0006254387553781271,-0.11073285341262817,-0.0031313670333474874
6,cloth,3,0,Q4,Q1,5447,0.008020163513720036,0.004985176958143711,2.0234148502349854,0.7715569734573364
6,cloth,3,1,Q4,Q2,10569,0.008159524761140347,0.00608478020876646,1.5516098737716675,0.7488214373588562
6,cloth,3,2,Q4,Q3,20071,0.008680849336087704,0.00841202400624752,0.8725132942199707,0.8532105684280396
6,cloth,3,3,Q4,Q4,29449,0.009556857869029045,0.01010457705706358,0.4652727246284485,0.7400109767913818
7,egyptian_statue,0,0,Q1,Q1,36619,-0.0005924437427893281,-0.0005693119019269943,-12.595099449157715,-13.472471237182617
7,egyptian_statue,0,1,Q1,Q2,24575,-0.0008757275063544512,-0.0008602905436418951,-12.525655746459961,-12.65343952178955
7,egyptian_statue,0,2,Q1,Q3,3817,-0.0008172898087650537,-0.0008014578488655388,-9.765707015991211,-10.055185317993164
7,egyptian_statue,0,3,Q1,Q4,525,-0.000609356677159667,-0.0005315006710588932,-4.156022071838379,-6.760329246520996
7,egyptian_statue,1,0,Q2,Q1,19942,-0.00011715103755705059,-0.0001223752333316952,-2.7168197631835938,-4.8393778800964355
7,egyptian_statue,1,1,Q2,Q2,28579,-0.0008270141552202404,-0.0008440849487669766,-10.004559516906738,-10.352127075195312
7,egyptian_statue,1,2,Q2,Q3,15314,-0.0009514229604974389,-0.0009559186291880906,-6.625157356262207,-6.8444600105285645
7,egyptian_statue,1,3,Q2,Q4,1701,-0.0010601780377328396,-0.001030743820592761,-2.625912666320801,-2.8197171688079834
7,egyptian_statue,2,0,Q3,Q1,7362,0.0010160858510062099,0.0009385239100083709,19.22439956665039,16.306442260742188
7,egyptian_statue,2,1,Q3,Q2,9673,0.0001655203232076019,0.00011592580267461017,4.846254348754883,3.3822896480560303
7,egyptian_statue,2,2,Q3,Q3,31556,-0.0005422467947937548,-0.0005534739466384053,-1.6827096939086914,-1.9135433435440063
7,egyptian_statue,2,3,Q3,Q4,16945,-0.0007294775568880141,-0.00070514518301934,-0.36164170503616333,-0.40694934129714966
7,egyptian_statue,3,0,Q4,Q1,1613,0.003935992252081633,0.003744185669347644,31.020998001098633,29.917570114135742
7,egyptian_statue,3,1,Q4,Q2,2709,0.0033108368515968323,0.0031270100735127926,25.439807891845703,24.21870994567871
7,egyptian_statue,3,2,Q4,Q3,14849,0.0005751922144554555,0.0005291174165904522,4.279118537902832,3.971971035003662
7,egyptian_statue,3,3,Q4,Q4,46365,-0.0001148989686043933,-0.00012450652138795704,0.26336824893951416,0.22154410183429718
8,feathers,0,0,Q1,Q1,38893,0.0016165893757715821,0.0016203373670578003,6.254505634307861,4.71706485748291
8,feathers,0,1,Q1,Q2,15682,0.0011863838881254196,0.001034817541949451,5.443243503570557,4.374048233032227
8,feathers,0,2,Q1,Q3,7721,-0.0003838955599348992,-0.00017289089737460017,4.3262619972229,2.2973406314849854
