scene_id,scene_name,difficulty_bin,boundary_bin,difficulty_quartile,boundary_quartile,delta_rmse_missing,delta_sam_missing,pixel_count_rmse,pixel_count_sam
4,chart_and_stuffed_toy,3,1,Q4,Q2,0.010295813272252713,14.82859941857174,3148,3148
4,chart_and_stuffed_toy,3,2,Q4,Q3,0.005528338166221275,2.6538005190718956,18189,18189
4,chart_and_stuffed_toy,3,3,Q4,Q4,0.006338246271397454,0.6826572542939287,43642,43642
5,clay,0,0,Q1,Q1,-0.000880416752764404,0.49546692770406975,38887,38887
5,clay,0,1,Q1,Q2,-0.00025743180930055324,0.5527698751568035,13659,13659
5,clay,0,2,Q1,Q3,-0.00016904742789125647,0.5924634675271438,10111,10111
5,clay,0,3,Q1,Q4,-0.0010662938591110569,1.3688566013265404,2879,2879
5,clay,1,0,Q2,Q1,-0.00016121159920408752,2.235507033810829,12857,12857
5,clay,1,1,Q2,Q2,0.0004958524255785813,0.9600954019557465,22078,22078
5,clay,1,2,Q2,Q3,0.0004303437410696016,0.7160244356155434,20759,20759
5,clay,1,3,Q2,Q4,-0.0009216256444355932,0.5440896021685194,9842,9842
5,clay,2,0,Q3,Q1,0.000296922177989541,3.0224772288493496,4326,4326
5,clay,2,1,Q3,Q2,0.00042290299744565955,1.3768520878634467,14149,14149
5,clay,2,2,Q3,Q3,0.0005116019607351847,1.1066399411449213,20507,20507
5,clay,2,3,Q3,Q4,-0.0004797727716814558,0.7326777310673461,26554,26554
5,clay,3,0,Q4,Q1,0.008775561774440898,8.70659641766569,9466,9466
5,clay,3,1,Q4,Q2,0.009232463120871517,5.990524018627338,15650,15650
5,clay,3,2,Q4,Q3,0.00662534017946402,2.6202230580501262,14159,14159
5,clay,3,3,Q4,Q4,0.001605319263266547,1.4997289664385798,26261,26261
6,cloth,0,0,Q1,Q1,-0.004203393777950267,-0.6726179125649064,29287,29287
6,cloth,0,1,Q1,Q2,-0.004489362337203404,-0.8564074517250724,19029,19029
6,cloth,0,2,Q1,Q3,-0.005384811195636054,-1.0635914852449633,11573,11573
6,cloth,0,3,Q1,Q4,-0.007436799111680094,-2.6188432258948486,5647,5647
6,cloth,1,0,Q2,Q1,0.0014215016812070352,1.054687844817108,18524,18524
6,cloth,1,1,Q2,Q2,0.0003330570614634453,0.4477780203990779,18963,18963
6,cloth,1,2,Q2,Q3,-0.0011493132391569981,-0.013624907832226125,15812,15812
6,cloth,1,3,Q2,Q4,-0.0033246909413924544,-0.48016188210389377,12237,12237
6,cloth,2,0,Q3,Q1,0.004524614635209453,1.9712099000613557,12280,12280
6,cloth,2,1,Q3,Q2,0.0036866913841402294,1.2058453223055223,16964,16964
6,cloth,2,2,Q3,Q3,0.0023320081174762752,0.5453579537243846,18076,18076
6,cloth,2,3,Q3,Q4,0.00022148970752389037,-0.14710161983559486,18216,18216
6,cloth,3,0,Q4,Q1,0.00819337903716171,2.119758273506875,5445,5445
6,cloth,3,1,Q4,Q2,0.008149302710416797,1.6229264650462047,10580,10580
6,cloth,3,2,Q4,Q3,0.00862704426234367,0.8487534198865422,20075,20075
6,cloth,3,3,Q4,Q4,0.009418576725235009,0.40613434076753047,29436,29436
7,egyptian_statue,0,0,Q1,Q1,-0.0005153890583214278,-9.181658161665556,35784,35784
7,egyptian_statue,0,1,Q1,Q2,-0.0007684199259148245,-9.964565451460759,25417,25417
7,egyptian_statue,0,2,Q1,Q3,-0.0007328255893386864,-8.116825116812464,3837,3837
7,egyptian_statue,0,3,Q1,Q4,-0.0004845515611975355,-1.5673028419354487,498,498
7,egyptian_statue,1,0,Q2,Q1,-2.3498141772535505e-05,1.3244800662862182,20748,20748
7,egyptian_statue,1,1,Q2,Q2,-0.0006859267112046043,-7.360431712919243,27680,27680
7,egyptian_statue,1,2,Q2,Q3,-0.0007801466701190902,-5.089082032496938,15451,15451
7,egyptian_statue,1,3,Q2,Q4,-0.0008095166849439487,-2.098692137463576,1657,1657
7,egyptian_statue,2,0,Q3,Q1,0.0011373866112166689,21.41862308970104,7465,7465
7,egyptian_statue,2,1,Q3,Q2,0.0003186286226690348,6.925772317241173,9727,9727
7,egyptian_statue,2,2,Q3,Q3,-0.0003953438531714571,-0.8566234602673375,31306,31306
7,egyptian_statue,2,3,Q3,Q4,-0.0005491660338521702,-0.17702447834681556,17038,17038
7,egyptian_statue,3,0,Q4,Q1,0.004108799527509702,31.995559154397345,1539,1539
7,egyptian_statue,3,1,Q4,Q2,0.0034891071688358684,25.558521848251868,2712,2712
7,egyptian_statue,3,2,Q4,Q3,0.0007621029749245459,4.635443688683803,14942,14942
7,egyptian_statue,3,3,Q4,Q4,3.5257445914686745e-05,0.36205878143332587,46343,46343
8,feathers,0,0,Q1,Q1,0.001553456716124544,6.055541209044305,38672,38672
8,feathers,0,1,Q1,Q2,0.0011959465283999187,5.324395136788074,15863,15863
8,feathers,0,2,Q1,Q3,-0.00026822986901089177,4.654484338484134,7782,7782
8,feathers,0,3,Q1,Q4,-0.0020839717867374356,1.8152664463052535,3219,3219
8,feathers,1,0,Q2,Q1,0.003898222054926405,8.53349488339904,17496,17496
8,feathers,1,1,Q2,Q2,0.0033611955208111676,5.2727059439685515,20989,20989
8,feathers,1,2,Q2,Q3,0.0025856076797079425,4.088534976159347,18545,18545
8,feathers,1,3,Q2,Q4,0.0006293226485755052,2.1799141899508228,8506,8506
8,feathers,2,0,Q3,Q1,0.009717807897541657,14.759088473343585,6828,6828
8,feathers,2,1,Q3,Q2,0.008816244078895988,7.45320455261172,20024,20024
8,feathers,2,2,Q3,Q3,0.0078123698071397895,6.110656466082101,23483,23483
8,feathers,2,3,Q3,Q4,0.003659835705730913,3.150909988427797,15201,15201
8,feathers,3,0,Q4,Q1,0.01672721194735781,19.5539138349103,2540,2540
8,feathers,3,1,Q4,Q2,0.014088484198177192,9.9636419169404,8660,8660
8,feathers,3,2,Q4,Q3,0.012174271088559535,7.005086929024933,15726,15726
8,feathers,3,3,Q4,Q4,0.01397575377997688,2.9289711580366666,38610,38610
11,pompoms,0,0,Q1,Q1,0.000577535137892526,2.6489468389097324,23500,23500
11,pompoms,0,1,Q1,Q2,4.0548896608568314e-05,0.7792645121275895,15146,15146
11,pompoms,0,2,Q1,Q3,-0.00035231509827044155,0.3856184169369245,13612,13612
11,pompoms,0,3,Q1,Q4,-0.0012714515423774121,-0.3057442703431162,13278,13278
11,pompoms,1,0,Q2,Q1,0.00312073202762789,3.9988983530643036,18763,18763
11,pompoms,1,1,Q2,Q2,0.0026781751110157175,1.5838648240144269,16915,16915
11,pompoms,1,2,Q2,Q3,0.0021353141777838446,1.1045896333138672,15683,15683
11,pompoms,1,3,Q2,Q4,0.0011650661546558643,0.5776718957730799,14175,14175
11,pompoms,2,0,Q3,Q1,0.005056073272142918,4.629810749697981,14226,14226
11,pompoms,2,1,Q3,Q2,0.00439690092543008,1.860827659476946,18170,18170
11,pompoms,2,2,Q3,Q3,0.0037765685136193204,1.3560637714722914,17862,17862
11,pompoms,2,3,Q3,Q4,0.0027056046392407666,0.7782138858640721,15278,15278
11,pompoms,3,0,Q4,Q1,0.00862849661919079,4.51456937933919,9047,9047
11,pompoms,3,1,Q4,Q2,0.008233627425344189,2.2060557304873964,15305,15305
11,pompoms,3,2,Q4,Q3,0.007157735903397072,1.6139464688362,18379,18379
11,pompoms,3,3,Q4,Q4,0.00604290716459268,0.9279962103023524,22805,22805
12,sponges,0,0,Q1,Q1,0.00043050046513451874,1.4069916526929835,27109,27109
12,sponges,0,1,Q1,Q2,0.0002919423274505289,0.3903462438189969,8597,8597
12,sponges,0,2,Q1,Q3,-6.673377711878867e-05,0.09682655579199431,14271,14271
12,sponges,0,3,Q1,Q4,-0.0014478301330119714,-2.027774103397655,15559,15559
12,sponges,1,0,Q2,Q1,0.0016891810310515234,1.4661898346340965,15674,15674
12,sponges,1,1,Q2,Q2,0.0032879292141850635,1.0427168206305413,14883,14883
12,sponges,1,2,Q2,Q3,0.0029595714573910905,0.5596662357782363,15774,15774
12,sponges,1,3,Q2,Q4,0.0008051933433444823,0.21612363735329926,19205,19205
12,sponges,2,0,Q3,Q1,0.0062580587063001715,2.6963660726446745,16398,16398
12,sponges,2,1,Q3,Q2,0.007442527051996262,2.2744085702755217,22109,22109
12,sponges,2,2,Q3,Q3,0.0068236143827647665,1.4898949046323096,14269,14269
