scene_id,scene_label,missing_rate,RMSE_gain,SAM_gain,mean_RMSE_gain,mean_SAM_gain,scene_sort_index
2,S02,0.1,0.0111208974353713,8.873717336660349,0.01580810137292737,6.361658153653358,1
2,S02,0.3,0.01108753888645711,5.314946944304925,0.01580810137292737,6.361658153653358,1
2,S02,0.5,0.01106428204316963,4.736714307540723,0.01580810137292737,6.361658153653358,1
2,S02,0.7,0.029959687126711446,6.521254026107435,0.01580810137292737,6.361658153653358,1
8,S08,0.1,0.007143855474667275,8.175263164925079,0.007131948284550512,6.412066871707481,2
8,S08,0.3,0.007106753194823994,6.060934202541512,0.007131948284550512,6.412066871707481,2
8,S08,0.5,0.00713239961039238,5.7817596374127085,0.007131948284550512,6.412066871707481,2
8,S08,0.7,0.0071447848583184,5.630310481950625,0.007131948284550512,6.412066871707481,2
3,S03,0.1,0.0050568194686728095,-2.5012860589541814,0.005025635540217628,-2.10454180714079,3
3,S03,0.3,0.005034849560726678,-2.070294355145096,0.005025635540217628,-2.10454180714079,3
3,S03,0.5,0.005041728110007412,-2.027924913803247,0.005025635540217628,-2.10454180714079,3
3,S03,0.7,0.004969145021463613,-1.8186619006606364,0.005025635540217628,-2.10454180714079,3
12,S12,0.1,0.004903382167481119,0.7317840106482656,0.004908850953643755,1.1005302196831726,4
12,S12,0.3,0.00488984435284672,1.0968193892794167,0.004908850953643755,1.1005302196831726,4
12,S12,0.5,0.004901619872387426,1.2340956475137226,0.004908850953643755,1.1005302196831726,4
12,S12,0.7,0.004940557421859759,1.3394218312912853,0.004908850953643755,1.1005302196831726,4
11,S11,0.1,0.003699732773652275,2.9394174396726145,0.0036724720483848564,2.092501589760114,5
11,S11,0.3,0.0036790624642287946,2.0003779297346274,0.0036724720483848564,2.092501589760114,5
11,S11,0.5,0.0036634893849836446,1.7692401698926474,0.0036724720483848564,2.092501589760114,5
11,S11,0.7,0.0036476035706747116,1.660970819740566,0.0036724720483848564,2.092501589760114,5
10,S10,0.1,0.00317110920673706,2.2370887218267823,0.003292786415932501,1.1855733269209026,6
10,S10,0.3,0.00315746420348733,1.9505820916500758,0.003292786415932501,1.1855733269209026,6
10,S10,0.5,0.0032271462459970077,2.134082640550572,0.003292786415932501,1.1855733269209026,6
10,S10,0.7,0.0036154260075086063,-1.5794601463438198,0.003292786415932501,1.1855733269209026,6
4,S04,0.1,0.0027614531451920915,3.211178144540284,0.0028288779929149348,1.8887411553612221,7
4,S04,0.3,0.0027923177742174704,1.9193845295141365,0.0028288779929149348,1.8887411553612221,7
4,S04,0.5,0.002857052473905393,1.2567907312775404,0.0028288779929149348,1.8887411553612221,7
4,S04,0.7,0.0029046885783447843,1.1676112161129275,0.0028288779929149348,1.8887411553612221,7
6,S06,0.1,0.0026804581497523183,1.4911783870540818,0.0026362269213925007,0.5885529499138278,8
6,S06,0.3,0.0026513365401933733,0.3752775256960792,0.0026362269213925007,0.5885529499138278,8
6,S06,0.5,0.0026075186990895324,0.26089107534714095,0.0026362269213925007,0.5885529499138278,8
6,S06,0.7,0.0026055942965347786,0.2268648115580092,0.0026362269213925007,0.5885529499138278,8
9,S09,0.1,0.002457869629392588,6.374943544792162,0.002501252960229349,7.672268694662844,9
9,S09,0.3,0.0024357120532087946,6.508624875754457,0.002501252960229349,7.672268694662844,9
9,S09,0.5,0.0024202828850440963,6.514273873430319,0.002501252960229349,7.672268694662844,9
9,S09,0.7,0.002691147273271917,11.291232484674438,0.002501252960229349,7.672268694662844,9
13,S13,0.1,0.0022316758370150777,4.992194436392486,0.0022651429721719137,3.3715745042883642,10
13,S13,0.3,0.0022014332175143807,3.0516514853415337,0.0022651429721719137,3.3715745042883642,10
13,S13,0.5,0.0022101199020601384,2.7042285935928447,0.0022651429721719137,3.3715745042883642,10
13,S13,0.7,0.002417342932098058,2.7382235018265924,0.0022651429721719137,3.3715745042883642,10
