scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,polycal_fit_time_sec,fit_time_sec,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all
1,balloons,0,0.3,tucker_polycal_p2,2,1e-06,0.6118445000029169,350.83341090002796,0.014166083186864853,0.014250004664063454,9.112665610324267,8.160581433315775,-23.519076674008822
1,balloons,0,0.3,tucker_polycal_p3,3,1e-06,0.6064340999873821,350.8280005000124,0.014123857952654362,0.014207175932824612,9.000573817136058,7.968247982430188,-23.545005830864906
1,balloons,0,0.3,tucker_polycal_p4,4,1e-06,0.7059703000122681,350.9275367000373,0.014121213927865028,0.01420468371361494,8.977837277237608,7.925601407464865,-23.546631497592294
1,balloons,1,0.3,tucker_polycal_p2,2,1e-06,0.42059080000035465,522.1747000999749,0.014253891073167324,0.014350637793540955,7.6422630535314875,7.215668043661349,-23.465404001768245
1,balloons,1,0.3,tucker_polycal_p3,3,1e-06,0.5017560000123922,522.2558652999869,0.014227300882339478,0.014323764480650425,7.547261300575144,7.024379563433201,-23.481622640789595
1,balloons,1,0.3,tucker_polycal_p4,4,1e-06,0.5557662000064738,522.309875499981,0.014226971194148064,0.014323394745588303,7.539319220612604,7.006627108271201,-23.481823266575972
1,balloons,2,0.3,tucker_polycal_p2,2,1e-06,0.6711398999905214,419.6494205999916,0.014416288584470749,0.014516165480017662,9.254049676194724,8.174517111061954,-23.367003335068198
1,balloons,2,0.3,tucker_polycal_p3,3,1e-06,0.5851584000047296,419.5634391000058,0.014399257488548756,0.014498674310743809,9.18232274089462,8.051392408300028,-23.377270437735866
1,balloons,2,0.3,tucker_polycal_p4,4,1e-06,0.7731022000079975,419.75138290000905,0.014397332444787025,0.014496949501335621,9.203998610052782,8.09080394478453,-23.3784320975381
2,beads,0,0.3,tucker_polycal_p2,2,1e-06,0.47691200001281686,129.33245860002353,0.07454225420951843,0.07501978427171707,25.209234069884772,23.330807382453948,-9.122777207234227
2,beads,0,0.3,tucker_polycal_p3,3,1e-06,0.6163649999944028,129.47191160000511,0.07286684215068817,0.07333892583847046,22.65386457541749,20.32382880685339,-9.320228850727107
2,beads,0,0.3,tucker_polycal_p4,4,1e-06,0.6732069000136107,129.52875350002432,0.07248114794492722,0.07294981926679611,21.815215375856503,19.2004677729467,-9.366326664732467
2,beads,1,0.3,tucker_polycal_p2,2,1e-06,0.3970360000093933,483.8149361000105,0.07453056424856186,0.07499896734952927,25.217249818178118,23.325167497157093,-9.124139845001059
2,beads,1,0.3,tucker_polycal_p3,3,1e-06,0.44284169998718426,483.8607417999883,0.07285623252391815,0.07332846522331238,22.665771471061596,20.325993892211212,-9.321493796128287
2,beads,1,0.3,tucker_polycal_p4,4,1e-06,0.537211600021692,483.9551117000228,0.07247640192508698,0.07295186817646027,21.82634298268266,19.205800420449517,-9.366895220279407
2,beads,2,0.3,tucker_polycal_p2,2,1e-06,0.5302650000085123,439.95117670000764,0.07454261183738708,0.07493922859430313,25.206800479969317,23.308048416712378,-9.12273569752167
2,beads,2,0.3,tucker_polycal_p3,3,1e-06,0.5651883000100497,439.9861000000092,0.07286114245653152,0.07325867563486099,22.6524134897151,20.312436277509963,-9.320908183827632
2,beads,2,0.3,tucker_polycal_p4,4,1e-06,0.6427280999778304,440.06363979997695,0.07248017936944962,0.07287922501564026,21.82058287423685,19.2091722404126,-9.366442718967761
3,cd,0,0.3,tucker_polycal_p2,2,1e-06,0.27232289998210035,116.16197279997868,0.0313466340303421,0.031455498188734055,11.015687231905948,10.122207373038524,-12.72428275625269
3,cd,0,0.3,tucker_polycal_p3,3,1e-06,0.4530932999914512,116.34274319998804,0.031202562153339386,0.03129935637116432,11.238282588759985,10.19713815050061,-12.764295818681182
3,cd,0,0.3,tucker_polycal_p4,4,1e-06,0.37492510001175106,116.26457500000834,0.03071751818060875,0.030806150287389755,11.178689243154922,10.30362651999013,-12.900378552100378
3,cd,1,0.3,tucker_polycal_p2,2,1e-06,0.4353386999864597,488.3398361999716,0.031357329338788986,0.03170963376760483,11.006041474136655,10.087478525586397,-12.721319692534257
3,cd,1,0.3,tucker_polycal_p3,3,1e-06,0.45769310000468977,488.36219059998984,0.03121466375887394,0.03157011792063713,11.231502133406263,10.171572987291066,-12.760927701503185
3,cd,1,0.3,tucker_polycal_p4,4,1e-06,0.5165802999981679,488.4210777999833,0.030738186091184616,0.0311223603785038,11.171334507083785,10.26550372745244,-12.894536182972198
3,cd,2,0.3,tucker_polycal_p2,2,1e-06,0.7609781000064686,450.3898914000092,0.031349536031484604,0.03162848576903343,10.969346754369205,10.065006836852303,-12.723478192338032
3,cd,2,0.3,tucker_polycal_p3,3,1e-06,0.4886472999933176,450.11756059999607,0.031209424138069153,0.031493570655584335,11.19541450682903,10.14464447685858,-12.762385573892756
3,cd,2,0.3,tucker_polycal_p4,4,1e-06,0.7100396000023466,450.3389529000051,0.03073035553097725,0.03102121315896511,11.131867983364817,10.245922508501144,-12.896749122357967
4,chart_and_stuffed_toy,0,0.3,tucker_polycal_p2,2,1e-06,0.268388500000583,130.55228269999498,0.026976119726896286,0.0272064208984375,15.318593110727425,14.08119992546918,-20.775314126233756
4,chart_and_stuffed_toy,0,0.3,tucker_polycal_p3,3,1e-06,0.30181949998950586,130.5857136999839,0.026874752715229988,0.027100995182991028,14.952230699604591,13.612705131072405,-20.808014190751692
4,chart_and_stuffed_toy,0,0.3,tucker_polycal_p4,4,1e-06,0.5614496999769472,130.84534389997134,0.02686852030456066,0.027094567194581032,14.866303874339401,13.501199884505702,-20.810028643345078
4,chart_and_stuffed_toy,1,0.3,tucker_polycal_p2,2,1e-06,0.42276879999553785,488.0751949000114,0.02696937881410122,0.0271618589758873,15.874396102511081,14.633163049843638,-20.77748471338104
4,chart_and_stuffed_toy,1,0.3,tucker_polycal_p3,3,1e-06,0.5117675000219606,488.16419360003783,0.02686355821788311,0.027055494487285614,15.459648936883369,14.122216055688199,-20.81163346719881
4,chart_and_stuffed_toy,1,0.3,tucker_polycal_p4,4,1e-06,0.6015012999996543,488.2539274000155,0.02685464918613434,0.027045516297221184,15.345733324617402,13.981226335873428,-20.814514082435633
4,chart_and_stuffed_toy,2,0.3,tucker_polycal_p2,2,1e-06,0.42410850001033396,492.32115400001203,0.026961956173181534,0.027214290574193,15.897171706081025,14.624446927032862,-20.77987612986844
4,chart_and_stuffed_toy,2,0.3,tucker_polycal_p3,3,1e-06,0.45398869999917224,492.35103420000087,0.02685355208814144,0.027103183791041374,15.490151916742573,14.125949096117965,-20.814869292276647
4,chart_and_stuffed_toy,2,0.3,tucker_polycal_p4,4,1e-06,0.5654673999815714,492.46251289998327,0.026846110820770264,0.0270963404327631,15.38402530192749,13.995307305886527,-20.817276018576987
5,clay,0,0.3,tucker_polycal_p2,2,1e-06,0.46913390001282096,225.8061405000335,0.010780541226267815,0.010831816121935844,28.016830021181576,21.669631057749015,-23.540323487515153
5,clay,0,0.3,tucker_polycal_p3,3,1e-06,0.534941699996125,225.8719483000168,0.010742541402578354,0.010793758556246758,27.83284941032305,21.428000097542526,-23.570994080990957
5,clay,0,0.3,tucker_polycal_p4,4,1e-06,0.6737619999912567,226.01076860001194,0.010702201165258884,0.010752683505415916,27.68145603420129,21.238531839480704,-23.60367273014171
5,clay,1,0.3,tucker_polycal_p2,2,1e-06,0.49682999998913147,486.5884950000036,0.01077980175614357,0.010862364433705807,28.01768844115148,21.7277994373626,-23.540919416050965
5,clay,1,0.3,tucker_polycal_p3,3,1e-06,0.5573576000169851,486.64902260003146,0.010741357691586018,0.010823230259120464,27.833501920156053,21.48549790915257,-23.571951418455065
5,clay,1,0.3,tucker_polycal_p4,4,1e-06,0.6143773999938276,486.7060424000083,0.010701264254748821,0.010781901888549328,27.68277985017044,21.295513496948796,-23.604432774035004
5,clay,2,0.3,tucker_polycal_p2,2,1e-06,0.5525863000075333,564.5736177000072,0.01078077033162117,0.010852087289094925,28.021302508395678,21.723458375633577,-23.540138875939512
5,clay,2,0.3,tucker_polycal_p3,3,1e-06,0.4538872000121046,564.4749186000117,0.010742616839706898,0.010814094915986061,27.838531029500285,21.484551792196285,-23.570933334003186
5,clay,2,0.3,tucker_polycal_p4,4,1e-06,0.5528702999872621,564.5739016999869,0.010701718740165234,0.010772041976451874,27.68746310118369,21.295283629150536,-23.604064096718446
6,cloth,0,0.3,tucker_polycal_p2,2,1e-06,0.460198799992213,575.9851003999938,0.05456556752324104,0.05484924465417862,8.733435900373031,8.486885579148815,-12.42432009605259
6,cloth,0,0.3,tucker_polycal_p3,3,1e-06,0.45362320001004264,575.9785248000117,0.05429043620824814,0.05457646772265434,8.551458062664974,8.226198612937559,-12.468227503911653
6,cloth,0,0.3,tucker_polycal_p4,4,1e-06,0.5317213000089396,576.0566229000106,0.05407244339585304,0.05435673147439957,8.455418416996865,8.055827120070939,-12.503173950103099
6,cloth,1,0.3,tucker_polycal_p2,2,1e-06,0.4075473000120837,488.11687230001553,0.05457223206758499,0.05482655391097069,8.723934075791417,8.485704198838162,-12.42325969418171
6,cloth,1,0.3,tucker_polycal_p3,3,1e-06,0.46021229997859336,488.16953729998204,0.054296817630529404,0.05455087497830391,8.540216523254927,8.220049756842693,-12.467206582805906
6,cloth,1,0.3,tucker_polycal_p4,4,1e-06,0.5706320999888703,488.2799570999923,0.054081812500953674,0.05433817580342293,8.442589063467654,8.048800390611117,-12.501669287619963
6,cloth,2,0.3,tucker_polycal_p2,2,1e-06,0.49815570001374,515.8729411000168,0.05461735650897026,0.05491221323609352,8.687210135344774,8.459384800813535,-12.41608003216599
6,cloth,2,0.3,tucker_polycal_p3,3,1e-06,0.4628732000128366,515.8376586000159,0.054347749799489975,0.05464138463139534,8.502396431812645,8.19072916228762,-12.459062377415675
6,cloth,2,0.3,tucker_polycal_p4,4,1e-06,0.5138220000080764,515.8886074000111,0.05413423851132393,0.054427675902843475,8.406115644630898,8.019089168216409,-12.493253429886934
7,egyptian_statue,0,0.3,tucker_polycal_p2,2,1e-06,0.4173484000202734,553.7155707000056,0.008195074275135994,0.008297096937894821,16.69311297887294,15.690027255028253,-21.75645793509403
7,egyptian_statue,0,0.3,tucker_polycal_p3,3,1e-06,0.46813169997767545,553.766353999963,0.008192509412765503,0.008295624516904354,16.542896015346187,15.434049564900793,-21.759176450243146
7,egyptian_statue,0,0.3,tucker_polycal_p4,4,1e-06,0.5466863999899942,553.8449086999753,0.008188067935407162,0.008290150202810764,16.404463415299418,15.187011517147752,-21.763887255626976
7,egyptian_statue,1,0.3,tucker_polycal_p2,2,1e-06,0.41438440000638366,485.90123190000304,0.00817920546978712,0.008296418003737926,16.789492581445533,15.75605163985568,-21.773293497590082
