P,term,effective_contribution
1,0,0.36890100387789
1,1,0.6310989961221101
1,2,
1,3,
1,4,
2,0,0.13036544484754659
2,1,0.21614247927950067
2,2,0.6534920758729527
2,3,
2,4,
3,0,0.08517533517339876
3,1,0.15645213916590697
3,2,0.46588466594546335
3,3,0.2924878597152309
3,4,
4,0,0.0760054604093813
4,1,0.14452728513906749
4,2,0.43035420450957035
4,3,0.2577300487803016
4,4,0.09138300116167933
