scene_id,scene_name,mask_seed,missing_rate,method_name,degree,lambda_reg,observed_count,x_min,x_max,x_mean,design_cond_raw,design_cond_scaled,polycal_fit_time_sec,a_0,a_1,a_2,a_3,a_4
3,cd,0,0.5,tucker_polycal_p3,3,1e-06,4063329,-0.1931193321943283,1.1799447536468506,0.07308111716858562,175.35617188072803,22.404154336134386,0.21205530012957752,0.0055581874481179915,0.844468409921265,0.49311537874001715,-0.3251442689581867,
3,cd,0,0.5,tucker_polycal_p4,4,1e-06,4063329,-0.1931193321943283,1.1799447536468506,0.07308111716858562,814.8381985576641,103.47183693513786,0.2603249999228865,-0.00012268488044092402,1.0859061751986938,-1.2312931260752273,3.185778086369792,-2.027305530718479
4,chart_and_stuffed_toy,0,0.5,tucker_polycal_p2,2,1e-06,4063329,-0.10555301606655121,1.1140220165252686,0.15824223623282294,22.522467365890762,8.410613779605715,0.1915969999972731,0.00037128871156579516,0.9957589668022655,0.005147694474018583,,
4,chart_and_stuffed_toy,0,0.5,tucker_polycal_p3,3,1e-06,4063329,-0.10555301606655121,1.1140220165252686,0.15824223623282294,118.06312697010117,42.983918302772054,0.21259250002913177,0.002075179295171603,0.9298279179911717,0.22539183964265694,-0.16979542932069044,
4,chart_and_stuffed_toy,0,0.5,tucker_polycal_p4,4,1e-06,4063329,-0.10555301606655121,1.1140220165252686,0.15824223623282294,619.4667054306633,221.9637187360505,0.2584838999900967,0.0025660493749463304,0.9021692843690726,0.39976664923500377,-0.4922453230382209,0.1793115677453055
5,clay,0,0.5,tucker_polycal_p2,2,1e-06,4063329,-0.05522656440734863,1.0911020040512085,0.0709498349679543,46.24512261607766,7.332799936877672,0.19393260008655488,0.0004025436658865466,0.9892219553686725,0.019701568423979524,,
5,clay,0,0.5,tucker_polycal_p3,3,1e-06,4063329,-0.05522656440734863,1.0911020040512085,0.0709498349679543,241.8092960540475,31.295868809307862,0.22814000002108514,0.0008817776637188422,0.9547103294818136,0.1689082658682079,-0.14952056662911983,
5,clay,0,0.5,tucker_polycal_p4,4,1e-06,4063329,-0.05522656440734863,1.0911020040512085,0.0709498349679543,1175.660753959188,123.72145443899656,0.25556869991123676,0.0014030589986004935,0.9064603606001044,0.5394087411388931,-0.9783891548317373,0.553769746300904
6,cloth,0,0.5,tucker_polycal_p2,2,1e-06,4063329,-0.10683529078960419,0.8826755285263062,0.1759929681674331,49.107902675396836,10.055379727793285,0.20302680018357933,0.0030140198778819643,0.95945066697949,0.0843443803894784,,
6,cloth,0,0.5,tucker_polycal_p3,3,1e-06,4063329,-0.10683529078960419,0.8826755285263062,0.1759929681674331,288.98900809531995,36.107583045095595,0.21748899994418025,0.011384934131434708,0.7568701465404458,1.0532345077648282,-1.1701450561467628,
6,cloth,0,0.5,tucker_polycal_p4,4,1e-06,4063329,-0.10683529078960419,0.8826755285263062,0.1759929681674331,1733.5913425355448,141.74709880088355,0.26021209987811744,0.018219834254583213,0.4797527931410732,3.33383087658561,-7.2582858293736505,4.991666288664883
