scene_id,mask_seed,missing_rate,P,RMSE*,SAM*,NMSE(dB)*
1,1,0.5,1,0.09551619256979053,9.72883415222168,-6.941652925405912
2,1,0.5,1,0.2182772671411934,86.73947143554688,0.2124906467251209
3,1,0.5,1,0.10213406828256588,20.986879348754883,-2.4603664852762765
4,1,0.5,1,0.22898371755921426,18.102251052856445,-2.195746038844485
5,1,0.5,1,0.13045099931447837,29.950349807739258,-1.884637666757905
6,0,0.5,1,0.2017674195475606,29.859092712402344,-1.065541168577491
7,1,0.5,1,0.07017537826371416,23.044050216674805,-3.1048312554650455
8,1,0.5,1,0.15484620343525154,24.882566452026367,-3.0330776562409727
9,0,0.5,1,0.12361287699027702,31.915433883666992,-2.5937143068715685
10,1,0.5,1,0.1499722966797995,17.46723175048828,-1.8646214723141723
11,0,0.5,1,0.15869110694270153,14.262266159057617,-3.5699876091715788
12,1,0.5,1,0.24716789218474866,13.316585540771484,-3.505506311088658
13,1,0.5,1,0.17298687202436933,26.898544311523438,-2.2967112948259145
14,1,0.5,1,0.10089793473553015,21.822010040283203,-1.4044324563774413
15,1,0.5,1,0.11308058691461303,20.08091926574707,-2.541068418297639
1,1,0.5,2,0.10704692513477654,8.108185768127441,-5.9517089403328205
2,1,0.5,2,0.13597853413954844,24.333511352539062,-3.8982722372446683
3,1,0.5,2,0.15940197828499938,59.494850158691406,1.4060947680678126
4,1,0.5,2,0.27644518233562065,14.037521362304688,-0.5596576694692267
5,1,0.5,2,0.12205572804110794,27.502710342407227,-2.46242248169028
6,0,0.5,2,0.08706011448451662,9.498567581176758,-8.366177279692876
7,1,0.5,2,0.1151416413514308,20.899932861328125,1.1961215577465927
8,1,0.5,2,0.03528551833430368,14.526609420776367,-15.87915917080072
9,0,0.5,2,0.0844712836093402,23.43184471130371,-5.900806767881024
10,1,0.5,2,0.025467946310102782,8.701783180236816,-17.264963690983404
11,0,0.5,2,0.07977019103111613,9.467984199523926,-9.544226867640548
12,1,0.5,2,0.05452014229974513,7.376269340515137,-16.634207590340317
13,1,0.5,2,0.22007726021171206,21.345558166503906,-0.20547055694380734
14,1,0.5,2,0.09467514353252206,11.18466567993164,-1.9573585341892394
15,1,0.5,2,0.04021241007458495,12.341784477233887,-11.52162736112901
1,1,0.5,3,0.0345531867059507,7.770587921142578,-15.773430819781089
2,1,0.5,3,0.15730511142625278,23.547500610351562,-2.632822936537422
3,1,0.5,3,0.22554049508955476,13.135926246643066,4.420711281325963
4,1,0.5,3,0.029796634283841293,13.738612174987793,-19.908494065775304
5,1,0.5,3,0.054063694143475026,28.227251052856445,-9.535471616640143
6,0,0.5,3,0.13391310100100082,10.472990036010742,-4.626100629188749
7,1,0.5,3,0.065619286504166,21.573511123657227,-3.687896849279238
8,1,0.5,3,0.05321900110205112,13.311115264892578,-12.309754534921723
9,0,0.5,3,0.01902626218694848,23.096214294433594,-18.847919134460433
10,1,0.5,3,0.05691031262985509,8.757226943969727,-10.281022796444825
11,0,0.5,3,0.032963604073483734,9.198407173156738,-17.220345829668435
12,1,0.5,3,0.2080077945906224,8.41526985168457,-5.003755135149613
13,1,0.5,3,0.12045257158532074,23.316774368286133,-5.440652646412146
14,1,0.5,3,0.045040089098437174,11.730608940124512,-8.41009309824949
15,1,0.5,3,0.014402735956931208,12.230886459350586,-20.43992956954762
1,1,0.5,4,0.013586974925470587,7.675926685333252,-23.880737394000782
2,1,0.5,4,0.0648006081691194,23.07590675354004,-10.336098092425965
3,1,0.5,4,0.026937669965289127,12.750688552856445,-14.036578844298461
4,1,0.5,4,0.024440117284554138,13.716708183288574,-21.62977261672733
5,1,0.5,4,0.009148562673936843,26.435609817504883,-24.966528631251638
6,0,0.5,4,0.05239016508676458,8.664440155029297,-12.777566523228423
7,1,0.5,4,0.008443603831356407,20.463909149169922,-21.49796964085169
8,1,0.5,4,0.023622509044266524,12.832489967346191,-19.364568643924883
9,0,0.5,4,0.017629240308984308,23.07976722717285,-19.510316502076584
10,1,0.5,4,0.018468450931626388,8.551082611083984,-20.056232672553666
11,0,0.5,4,0.027761721896440706,9.158533096313477,-18.71211153559846
12,1,0.5,4,0.013504873130795422,6.94921350479126,-28.7555370383382
13,1,0.5,4,0.018642247954182962,20.360055923461914,-21.647008649581522
14,1,0.5,4,0.012373628447420203,10.903748512268066,-19.632136388914038
15,1,0.5,4,0.013314314313950894,12.22208309173584,-21.12245330548624
