difficulty_bin,boundary_bin,difficulty_label,boundary_label,gain_ntdpl_rmse_mean,gain_ntdpl_rmse_std,extra_gain_rmse_mean,extra_gain_rmse_std,gain_ntdpl_sam_mean,gain_ntdpl_sam_std,extra_gain_sam_mean,extra_gain_sam_std
0,0,Q1,Q1,-0.00028434355723826833,0.0013992805255661888,-0.00021746545996090088,0.0014852396211750135,1.3165494084358216,5.549732969860385,0.0008729313810666402,4.954756722008249
1,0,Q2,Q1,0.0018758632665897797,0.00324859028930521,0.0008200644495749051,0.0013498170380677832,5.022561093171437,6.979895010882526,1.526340917746226,3.824546836477785
2,0,Q3,Q1,0.004983623095904477,0.005710660892330677,0.0030345483086421155,0.002656104221184692,10.208997670809428,9.854720968628445,6.118959787984689,7.013995209729113
3,0,Q4,Q1,0.01019067889234672,0.008280886317086442,0.007727050944231451,0.005249969883359752,15.15938294728597,15.45604931176174,12.494346191485723,14.462861696253603
0,1,Q1,Q2,-0.0007155236697750903,0.0018753325316130454,-0.0006920598042294538,0.002135852365237198,0.04302925765514374,4.421331333001794,-0.6469131698211034,4.142039081948075
1,1,Q2,Q2,0.0010720494746540984,0.0017873219750003623,0.0004359294677366658,0.0015927266869466196,1.3604115607837837,4.231496715376524,0.30272824267546333,3.858622629149296
2,1,Q3,Q2,0.003156139906301784,0.003786857730489519,0.00219682883907808,0.0026457817057138995,3.1792688846588133,2.959810197233423,1.8649773448705673,2.233375222081589
3,1,Q4,Q2,0.008098033845696288,0.006629886003816766,0.006847770713890592,0.00518617193409908,6.804240437348684,7.321923591561318,5.593092568715414,6.858097402523789
0,2,Q1,Q3,-0.0013840713762798865,0.0026587233718401407,-0.001236114309237261,0.002793894330556155,-0.6710109243790309,3.5868131100205978,-1.0944549042731524,3.3930744754412374
1,2,Q2,Q3,0.00038602240771676104,0.0015324825343643789,2.956364866501341e-05,0.0018486090284576258,0.5497079700231552,2.795583589427668,0.06144154400875171,2.6607898662947074
2,2,Q3,Q3,0.002260129501034195,0.003245667405437071,0.0015902939640606443,0.002448691020903387,1.2155996958414714,1.9875411713806357,0.6152926872173945,1.617270463511157
3,2,Q4,Q3,0.006677266051216672,0.005915233806080492,0.005861672301155825,0.004877191907501122,2.3334268808364866,1.6227068257960868,1.7863857487837473,1.3478756187494425
0,3,Q1,Q4,-0.002415552306532239,0.003127141698887109,-0.0019893345025290424,0.002972898098416682,-1.3244077583154044,2.7208751261371162,-1.736701829234759,2.6857700068029335
1,3,Q2,Q4,-0.0008461902943963651,0.0014214011487460095,-0.0009386472452509527,0.0017262063793903068,-0.04170016497373581,1.3261509151190678,-0.2642192571113507,1.1965447338000466
2,3,Q3,Q4,0.0007326948987611103,0.001932697080819713,0.0004017819718683313,0.0014201793089186506,0.40551746636629105,1.233296375874597,0.14880105655950804,1.0065729679724174
3,3,Q4,Q4,0.006487564667865323,0.006486993927634078,0.00606215759277499,0.006105052440738753,0.9721566716829936,0.6497837113474575,0.7756264299154282,0.5083214972082429
