bin,Tucker_RMSE,PolyCal_RMSE,NTDPL_RMSE,gain_polycal_rmse,gain_ntdpl_rmse,extra_gain_rmse,Tucker_SAM,PolyCal_SAM,NTDPL_SAM
Q1,0.00810 +- 0.00606,0.00819 +- 0.00585,0.00877 +- 0.00704,-0.00009 +- 0.00041,-0.00067 +- 0.00156,-0.00058 +- 0.00177,19.5482 +- 13.1878,18.5761 +- 11.8215,18.9490 +- 11.5317
Q2,0.01326 +- 0.01073,0.01268 +- 0.00950,0.01244 +- 0.01000,0.00058 +- 0.00147,0.00081 +- 0.00155,0.00024 +- 0.00147,17.9562 +- 8.8739,16.5347 +- 7.6528,16.0520 +- 7.5834
Q3,0.01975 +- 0.01546,0.01892 +- 0.01402,0.01729 +- 0.01319,0.00083 +- 0.00165,0.00246 +- 0.00333,0.00163 +- 0.00225,15.4748 +- 6.6321,14.3915 +- 6.0956,13.0424 +- 6.2953
Q4,0.03968 +- 0.02681,0.03892 +- 0.02606,0.03262 +- 0.02185,0.00076 +- 0.00104,0.00706 +- 0.00629,0.00629 +- 0.00535,11.7587 +- 3.7839,11.2519 +- 3.4443,9.5005 +- 3.3878
