missing_rate,method_name,scene_id,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all,fit_time_sec
0.1,ntdpl,1,0.01337728463113308,0.013501929119229317,7.694133290269974,5.2188744064350425,-24.016713155552736,1006.1016899000388
0.1,ntdpl,2,0.06385581195354462,0.06434062868356705,23.03118959180197,13.475679125100214,-10.466819023951999,1005.5329662000295
0.1,ntdpl,3,0.026334574446082115,0.026625681668519974,12.789550193993438,8.53436740209205,-14.237575225823862,1018.8482349999249
0.1,ntdpl,4,0.0241104569286108,0.02432025782763958,14.637345891549804,8.12287176037382,-21.75079538266296,1013.6124372999184
0.1,ntdpl,5,0.009095918387174606,0.009123319759964943,26.42972899589381,11.857630760267723,-25.016203384335988,1006.1445198999718
0.1,ntdpl,6,0.05188526213169098,0.05216379463672638,8.589088139451698,5.887412914895887,-12.861813146323641,1005.2726394000929
0.1,ntdpl,7,0.008260550908744335,0.008379531092941761,20.43531048729379,10.757808532108216,-21.687335635192575,1004.6816956000403
0.1,ntdpl,8,0.00986309815198183,0.009968496859073639,9.257651489901646,4.924255898042066,-23.75078870747656,996.7680635000579
0.1,ntdpl,9,0.011744474060833454,0.011804240755736828,2.092771481731625,1.3913370411533803,-29.237880941572424,1001.4944020998664
0.1,ntdpl,10,0.01657295413315296,0.016678059473633766,10.282870753627268,6.400349803050967,-18.62152105731718,1019.1050015999936
0.1,ntdpl,11,0.015996340662240982,0.016160430386662483,10.675224239911886,6.266915463563004,-17.476989476805088,1012.0427639998961
0.1,ntdpl,12,0.008319989778101444,0.008405331522226334,5.768336017307754,4.13307063485749,-25.21978553528092,944.937640100019
0.1,ntdpl,13,0.012066253460943699,0.01216187048703432,10.688381273633436,6.588011805863791,-22.164694360699315,819.3752158998977
0.1,ntdpl,14,0.011266092769801617,0.011356810107827187,8.306585842617295,5.156278864143495,-22.061434972790416,681.4612478998024
0.1,ntdpl,15,0.010339360684156418,0.010625647380948067,8.973218546958968,5.317989088222204,-18.754230588234332,546.1236787999514
0.1,tucker,1,0.01409610045105537,0.014240314187595622,8.154252386388805,6.414172834720942,-23.562092774857284,200.77797330007888
0.1,tucker,2,0.07514969945456608,0.07535582867337565,27.210623863506754,22.312281020819782,-9.052283073054207,204.55460610007867
0.1,tucker,3,0.03146272506893432,0.03161367132652785,10.908572462402843,7.291110707195701,-12.692174243287592,206.7629532001447
0.1,tucker,4,0.02691226816881852,0.02712944196643439,15.879967390510249,11.355545486391385,-20.795897744124673,202.39986879983917
0.1,tucker,5,0.010782791495602411,0.010821006009605682,28.211639763945062,13.91056362811826,-23.538510620618972,202.18768859980628
0.1,tucker,6,0.054573842382403585,0.054820630076949636,8.776020136128505,7.383200732835154,-12.423003156019634,208.2504898000043
0.1,tucker,7,0.008169336296678846,0.00829397348712034,17.216898535608564,14.048575598773617,-21.78378040239493,220.2850416000001
0.1,tucker,8,0.009962968139773603,0.01008231737117581,9.549702137466879,6.658040481294351,-23.663281063228933,215.19029460009187
0.1,tucker,9,0.011512477646444945,0.011580792823375943,2.070737285993972,1.3696255213705728,-29.41117645134733,207.14891589991748
0.1,tucker,10,0.019464905062746046,0.019500026227845385,13.163858464725843,11.998153436705833,-17.224474177715727,200.08819760009646
