scene_id,scene_name,mask_seed,missing_rate,method_name,hidden_units,lambda_reg,mlpcal_fit_time_sec,fit_time_sec,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all
1,balloons,0,0.5,tucker_mlpcal_h16,16,1e-05,3.3842688999138772,210.94335139985196,0.01416613906621933,0.014262935146689415,8.72779481754533,8.342814287849464,-23.51904256872475
2,beads,0,0.5,tucker_mlpcal_h16,16,1e-05,3.2133967999834567,212.00708139990456,0.07257679104804993,0.07302327454090118,22.169576099187644,21.033541289173158,-9.354872979772239
3,cd,0,0.5,tucker_mlpcal_h16,16,1e-05,3.4363879999145865,212.00149679998867,0.031270939856767654,0.031424377113580704,10.89308939409816,10.600580638870898,-12.745282217957307
4,chart_and_stuffed_toy,0,0.5,tucker_mlpcal_h16,16,1e-05,3.277942900080234,219.45608650008217,0.02694316953420639,0.027161601930856705,14.402955996146014,13.898662405101934,-20.785930235476595
5,clay,0,0.5,tucker_mlpcal_h16,16,1e-05,3.41119940020144,221.44375750003383,0.010764438658952713,0.010812850669026375,27.919789881008697,24.696894422086423,-23.553307088152735
6,cloth,0,0.5,tucker_mlpcal_h16,16,1e-05,3.4691757999826223,227.66616469994187,0.05418173968791962,0.054488155990839005,8.546086096818865,8.419997806952551,-12.485634893907612
7,egyptian_statue,0,0.5,tucker_mlpcal_h16,16,1e-05,3.931612600106746,240.9062322000973,0.008248304016888142,0.008365553803741932,16.80757454676278,16.316014044325392,-21.700222658332542
8,face,0,0.5,tucker_mlpcal_h16,16,1e-05,3.284353599883616,221.74880019994453,0.010066719725728035,0.010159562341868877,9.182914506807382,8.810809960507093,-23.573296189598707
9,fake_and_real_beers,0,0.5,tucker_mlpcal_h16,16,1e-05,3.6300861998461187,222.16251379973255,0.011569770984351635,0.011662422679364681,2.050847051432676,1.9942397679549337,-29.368057680277527
10,fake_and_real_food,0,0.5,tucker_mlpcal_h16,16,1e-05,3.5044016998726875,218.3343015999999,0.019111299887299538,0.01924099028110504,12.687617045039538,12.076774135166646,-17.3837156353882
11,fake_and_real_lemon_slices,0,0.5,tucker_mlpcal_h16,16,1e-05,3.4713367999065667,221.88991829985753,0.01852623000741005,0.018726937472820282,10.978032393282422,10.451662061451222,-16.20166219969487
12,fake_and_real_lemons,0,0.5,tucker_mlpcal_h16,16,1e-05,3.5899876998737454,225.75482959975488,0.007946898229420185,0.008019373752176762,5.733411066836324,5.721260014229564,-25.618287648632005
13,fake_and_real_peppers,0,0.5,tucker_mlpcal_h16,16,1e-05,3.254883199930191,236.73437479999848,0.013477681204676628,0.013579392805695534,12.534909674210157,12.059392695749715,-21.203839454917443
14,fake_and_real_strawberries,0,0.5,tucker_mlpcal_h16,16,1e-05,3.2209071998950094,224.91537409997545,0.011487379670143127,0.011586182750761509,8.616816824131721,8.32629539142354,-21.892481625544367
15,fake_and_real_sushi,0,0.5,tucker_mlpcal_h16,16,1e-05,3.365318699972704,170.98246269999072,0.011148335412144661,0.011367606930434704,7.807060111931446,7.33420468323574,-18.099904372894663
