missing_rate,scene_id,RMSE_tucker,RMSE_polycal,RMSE_ntdpl,SAM_tucker,SAM_polycal,SAM_ntdpl,polycal_gain_rmse,joint_extra_gain_rmse,polycal_gain_sam,joint_extra_gain_sam
0.1,1,0.014240314187595622,0.014180650934576988,0.013501929119229317,6.414172834720942,5.671731843583654,5.2188744064350425,5.966325301863355e-05,0.0006787218153476715,0.742440991137288,0.4528574371486114
0.1,2,0.07535582867337565,0.0725894495844841,0.06434062868356705,22.312281020819782,12.611340007270911,13.475679125100214,0.0027663790888915463,0.008248820900917053,9.70094101354887,-0.864339117829303
0.1,3,0.03161367132652785,0.03086087666451931,0.026625681668519974,7.291110707195701,7.307064675281501,8.53436740209205,0.0007527946620085393,0.004235194995999336,-0.01595396808580052,-1.2273027268105485
0.1,4,0.02712944196643439,0.02701381966471672,0.02432025782763958,11.355545486391385,10.358294455924385,8.12287176037382,0.00011562230171767093,0.002693561837077141,0.9972510304669999,2.2354226955505645
0.1,5,0.010821006009605682,0.010731802321970463,0.009123319759964943,13.91056362811826,12.923484535683784,11.857630760267723,8.92036876352191e-05,0.0016084825620055199,0.9870790924344757,1.0658537754160609
0.1,6,0.054820630076949636,0.054292455315589905,0.05216379463672638,7.383200732835154,5.6685077327930875,5.887412914895887,0.0005281747613597315,0.0021286606788635254,1.7146930000420664,-0.21890518210279986
0.1,7,0.00829397348712034,0.008282504975795746,0.008379531092941761,14.048575598773617,12.7502336342021,10.757808532108216,1.1468511324594366e-05,-9.702611714601517e-05,1.2983419645715166,1.9924251020938843
0.1,8,0.01008231737117581,0.010052601806819439,0.009968496859073639,6.658040481294351,5.957391326580127,4.924255898042066,2.9715564356370266e-05,8.410494774580002e-05,0.700649154714224,1.0331354285380607
0.1,9,0.011580792823375943,0.011577866040170193,0.011804240755736828,1.3696255213705728,1.359401985138165,1.3913370411533803,2.9267832057505716e-06,-0.00022637471556663513,0.010223536232407904,-0.0319350560152154
0.1,10,0.019500026227845385,0.019198643043637276,0.016678059473633766,11.998153436705833,9.437810312115378,6.400349803050967,0.0003013831842081094,0.0025205835700035095,2.560343124590455,3.0374605090644105
0.1,11,0.018670644262207894,0.018515391275286674,0.016160430386662483,7.919145850755125,7.139415413416154,6.266915463563004,0.00015525298692121992,0.0023549608886241913,0.7797304373389711,0.8724999498531503
0.1,12,0.00800715628532847,0.007989738136529922,0.008405331522226334,4.566985001435082,4.379475743419509,4.13307063485749,1.7418148798548083e-05,-0.00041559338569641113,0.18750925801557283,0.24640510856201914
