missing_rate,method_name,scene_id,RMSE_all,RMSE_missing,SAM_all,SAM_missing,NMSE_dB_all,NMSE_dB_missing,fit_time_sec
0.1,ntdpl,1,0.013388953792552153,0.013508680276572704,7.686125615520575,5.17598052721528,-24.00914182310609,-23.934781661426427,758.1025267000001
0.1,ntdpl,2,0.06384581327438354,0.06449349721272786,23.02420494448984,13.477753686491553,-10.46817989658335,-10.375944548556783,786.910242766667
0.1,ntdpl,3,0.026354285577932995,0.026616816098491352,12.785898338178827,9.793428682033609,-14.231081777008635,-14.149631805399617,2000.7093448666674
0.1,ntdpl,4,0.024118848145008087,0.024348139762878418,14.580444748278419,8.094818957873466,-21.74777269047591,-21.67326146098414,1759.497953833333
0.1,ntdpl,5,0.00909671684106191,0.009165282671650251,26.429712306872304,11.873164431421932,-25.01544133227779,-24.951929623801544,1256.3602292666667
0.1,ntdpl,6,0.05187384784221649,0.05216816067695618,8.596691795404658,5.899142952056589,-12.863724573663104,-12.806679281360411,1822.3191591333332
0.1,ntdpl,7,0.008256630351146063,0.008378922318418821,20.417423140269566,10.626713397766261,-21.69146124043822,-21.551958576720608,1667.7903330666643
0.1,ntdpl,8,0.023257306466499966,0.023456870888670284,12.860088500898328,7.032800867607918,-19.499233829580646,-19.422340190978858,2505.743338666667
0.1,ntdpl,9,0.01729363575577736,0.017493140883743763,23.215247571282404,15.162634583268373,-19.676467107435986,-19.56784077511898,1502.7915582500063
0.1,ntdpl,10,0.018106660495201748,0.01832430809736252,8.49687175820056,4.767152825127512,-20.22950679651122,-20.12557228022458,918.5140067333365
0.1,ntdpl,11,0.027491753300031025,0.02762870428462823,9.199001429793354,5.582764546634732,-18.79351992990195,-18.744825389112297,1170.3189514333305
0.1,ntdpl,12,0.013413494763274988,0.013480003302296003,6.941532505606307,4.020165964021431,-28.81463117759722,-28.77076243274517,881.4048119999983
0.1,ntdpl,13,0.01838463855286439,0.018528437862793606,20.337857859639445,10.503440826376428,-21.766060300401545,-21.70106709967227,1137.3104217333312
0.1,ntdpl,14,0.01212026427189509,0.012239046084384123,10.895334036900664,6.802710466537842,-19.80546023730989,-19.72672867130706,873.1738203999945
0.1,ntdpl,15,0.013183386685947577,0.013302240831156572,12.238528785826114,6.623073728351209,-21.201155588685896,-21.136358619999346,1200.0426337666674
0.1,tucker,1,0.014091056833461338,0.014218153816790988,8.136004972285903,6.404643345761504,-23.565201629799777,-23.490164273118623,359.1743976333407
0.1,tucker,2,0.07514919977459499,0.07561439464809916,27.205804664458498,22.351471023151902,-9.05234082699454,-8.994186598833108,354.8044907333339
0.1,tucker,3,0.03146261591195695,0.03167363556716416,10.90388364200855,7.292142623079427,-12.692204378368197,-12.629849040786842,357.53932783332374
0.1,tucker,4,0.02691241707922799,0.02710959290807051,15.821705033310815,11.30599710241375,-20.79584969677372,-20.74011376001195,364.27860733333364
0.1,tucker,5,0.0107823458420184,0.010860011495627951,28.205806234765657,13.903852220210451,-23.538869622440227,-23.478216522967987,388.43081436667126
