domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Action video,KTH-Action,kth_person01_boxing_d1_s1,person01_boxing_d1 seg1,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d1_uncomp.avi,360x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.02893940731883049,0.0283333882689476,2.0940962722776986,0.005281602825190325,0.0048038636846260965,9.045343930173559,0.06144681283171184,boundary,14985,14990,0.2504132001195103,8.31259290012531,ok,action=boxing; segment=1-95; raw_frames=360; sampled_frames=24; link_refresh_rmse=0.028735403; p_max=4
Action video,KTH-Action,kth_person01_boxing_d1_s2,person01_boxing_d1 seg2,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d1_uncomp.avi,360x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.027481509372591972,0.026960736140608788,1.8949950125467474,3.181038941687108e-07,0.002288670714793001,-719372.7121382464,0.045712982598032456,boundary,14985,14990,0.2555672999005765,8.008356399834156,ok,action=boxing; segment=96-185; raw_frames=360; sampled_frames=24; link_refresh_rmse=0.027337257; p_max=4
Action video,KTH-Action,kth_person01_boxing_d1_s3,person01_boxing_d1 seg3,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d1_uncomp.avi,360x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.02716151252388954,0.02658090740442276,2.137602311197207,5.648638233786313e-07,0.002568410107896872,-454595.4507609267,0.0604118546588188,boundary,14985,14990,0.27689109998755157,8.18269560020417,ok,action=boxing; segment=186-245; raw_frames=360; sampled_frames=24; link_refresh_rmse=0.026973255; p_max=4
Action video,KTH-Action,kth_person01_boxing_d1_s4,person01_boxing_d1 seg4,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d1_uncomp.avi,360x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.028222661465406418,0.027600470930337906,2.2045778206678146,0.0010859186573849676,0.0028953174875666035,-166.62379063814063,0.05747031136125905,boundary,14985,14990,0.25778839993290603,8.194406300084665,ok,action=boxing; segment=246-360; raw_frames=360; sampled_frames=24; link_refresh_rmse=0.028036542; p_max=4
Action video,KTH-Action,kth_person01_boxing_d2_s1,person01_boxing_d2 seg1,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d2_uncomp.avi,390x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.028773069381713867,0.027830101549625397,3.2772583959629773,3.396561593977895e-07,0.0029718193319136096,-874849.3420589358,0.0967930249195613,moderate,14985,14990,0.2810889999382198,8.389737999998033,ok,action=boxing; segment=1-106; raw_frames=390; sampled_frames=24; link_refresh_rmse=0.028454211; p_max=4
Action video,KTH-Action,kth_person01_boxing_d2_s2,person01_boxing_d2 seg2,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d2_uncomp.avi,390x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.026937324553728104,0.026342468336224556,2.2082973248403768,0.0021704508250240066,0.00262941104707786,-21.145847524501146,0.05732866845096548,boundary,14985,14990,0.2736037999857217,8.40151990018785,ok,action=boxing; segment=107-195; raw_frames=390; sampled_frames=24; link_refresh_rmse=0.026760118; p_max=4
Action video,KTH-Action,kth_person01_boxing_d2_s3,person01_boxing_d2 seg3,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d2_uncomp.avi,390x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.027070535346865654,0.026457352563738823,2.265129873753413,3.74485580488335e-07,0.003011554897106985,-804084.4743874706,0.06623976862765553,boundary,14985,14990,0.3433290000539273,8.393510699970648,ok,action=boxing; segment=196-265; raw_frames=390; sampled_frames=24; link_refresh_rmse=0.026864877; p_max=4
Action video,KTH-Action,kth_person01_boxing_d2_s4,person01_boxing_d2 seg4,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d2_uncomp.avi,390x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.026316015049815178,0.025812488049268723,1.9133862007347946,7.809109855441142e-07,0.002358466891570786,-301914.81797921954,0.040925462933960634,boundary,14985,14990,0.33564690011553466,8.614504100056365,ok,action=boxing; segment=305-390; raw_frames=390; sampled_frames=24; link_refresh_rmse=0.026192313; p_max=4
Action video,KTH-Action,kth_person01_boxing_d3_s1,person01_boxing_d3 seg1,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d3_uncomp.avi,465x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.027825642377138138,0.02745993249118328,1.3142909011700956,0.0018592381787217633,0.0037707704126881143,-102.81266035966087,0.024428898756723126,boundary,14985,14990,0.3032199000008404,8.440860399976373,ok,action=boxing; segment=1-95; raw_frames=465; sampled_frames=24; link_refresh_rmse=0.027747493; p_max=4
Action video,KTH-Action,kth_person01_boxing_d3_s2,person01_boxing_d3 seg2,C:\Users\mrkys\workspace\NTD-PL\data\KTH-Action\boxing\person01_boxing_d3_uncomp.avi,465x120x160x3,24x72x96x3,"(12,18,18,3)",0,0.027138443663716316,0.026767825707793236,1.3656566327662738,2.455222461244758e-06,0.002280411544714278,-92780.0375815292,0.029102333967772374,boundary,14985,14990,0.3158652998972684,8.539971599821001,ok,action=boxing; segment=96-230; raw_frames=465; sampled_frames=24; link_refresh_rmse=0.027047668; p_max=4
