panel,panel_title,method,x,mean,std,band_lower,band_upper,annotation,y_label
completion,Completion,NTD-PL,1.0,0.043415967375040054,2.773242815561137e-06,0.04341319413222449,0.04341874061785562,Lower is better.,RMSE*
completion,Completion,NTD-PL,2.0,0.02443704567849636,1.4817598746792234e-05,0.02442222807974957,0.024451863277243153,Lower is better.,RMSE*
completion,Completion,NTD-PL,3.0,0.043259878953297935,5.850613449393976e-06,0.04325402833984854,0.04326572956674733,Lower is better.,RMSE*
completion,Completion,NTD-PL,4.0,0.01781177210311095,6.209863820368432e-06,0.01780556223929058,0.01781798196693132,Lower is better.,RMSE*
completion,Completion,Tucker,1.0,0.04710128282507261,4.557252366673543e-05,0.04705571030140587,0.047146855348739344,Lower is better.,RMSE*
completion,Completion,Tucker,2.0,0.02681244455211614,0.00012188299208803923,0.0266905615600281,0.02693432754420418,Lower is better.,RMSE*
completion,Completion,Tucker,3.0,0.04537746368192062,6.619292493584612e-06,0.04537084438942703,0.0453840829744142,Lower is better.,RMSE*
completion,Completion,Tucker,4.0,0.01791123558013107,1.031502054477672e-05,0.01790092055958629,0.017921550600675847,Lower is better.,RMSE*
reconstruction,Reconstruction,NTD-PL,1.0,0.043024692684412,0.0,0.043024692684412,0.043024692684412,Lower is better.,RMSE
reconstruction,Reconstruction,NTD-PL,2.0,0.024170296890696212,0.0,0.024170296890696212,0.024170296890696212,Lower is better.,RMSE
reconstruction,Reconstruction,NTD-PL,3.0,0.042846575205867335,0.0,0.042846575205867335,0.042846575205867335,Lower is better.,RMSE
reconstruction,Reconstruction,NTD-PL,4.0,0.017699576424937132,0.0,0.017699576424937132,0.017699576424937132,Lower is better.,RMSE
reconstruction,Reconstruction,Tucker,1.0,0.04622607305645943,0.0,0.04622607305645943,0.04622607305645943,Lower is better.,RMSE
reconstruction,Reconstruction,Tucker,2.0,0.02625748286497367,0.0,0.02625748286497367,0.02625748286497367,Lower is better.,RMSE
reconstruction,Reconstruction,Tucker,3.0,0.044443825240543494,0.0,0.044443825240543494,0.044443825240543494,Lower is better.,RMSE
reconstruction,Reconstruction,Tucker,4.0,0.017594556687254116,0.0,0.017594556687254116,0.017594556687254116,Lower is better.,RMSE
