domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Material reflectance,BRDF,brdf_blue-metallic-paint2,blue metallic paint2,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\blue-metallic-paint2.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0030521620064973,0.0030360927339643,0.5264881909561538,,,,0.0212056508248104,moderate,6406,6411,0.0654746999498456,1.9180513999890536,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0030447196; p_max=4
Material reflectance,BRDF,brdf_blue-rubber,blue rubber,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\blue-rubber.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.004716595634818,0.004626942332834,1.9008053461748524,,,,0.0396643106693419,moderate,6406,6411,0.0733028000686317,1.9658359000459316,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0046951063; p_max=4
Material reflectance,BRDF,brdf_brass,brass,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\brass.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0054047172889113,0.0052603879012167,2.6704336226931327,,,,0.0825944803092872,effective,6406,6411,0.0640608998946845,1.911264599999413,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0053535672; p_max=4
Material reflectance,BRDF,brdf_cherry-235,cherry 235,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\cherry-235.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0043542478233575,0.0044516748748719,-2.237517373075487,,,,0.0044440892920156,boundary,6406,6411,0.061770400032401,1.9681314998306332,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0043520206; p_max=4
Material reflectance,BRDF,brdf_chrome-steel,chrome steel,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\chrome-steel.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0075867194682359,0.0074377227574586,1.963914856758593,,,,0.0299295242992694,moderate,6406,6411,0.0606199000030756,1.8803838999010625,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0075606224; p_max=4
Material reflectance,BRDF,brdf_chrome,chrome,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\chrome.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0052405991591513,0.0047293934039771,9.754719635091243,,,,0.1912902931043435,effective,6406,6411,0.0749385999515652,1.7761379999574274,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0051264465; p_max=4
Material reflectance,BRDF,brdf_colonial-maple-223,colonial maple 223,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\colonial-maple-223.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0034960594493895,0.0036020881962031,-3.032807317737364,,,,0.0235243694115825,moderate,6406,6411,0.0674755000509321,1.7515043001621962,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0034866037; p_max=4
Material reflectance,BRDF,brdf_color-changing-paint1,color changing paint1,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\color-changing-paint1.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0028566906694322,0.0028328825719654,0.8334153123956499,,,,0.0306046376296751,moderate,6406,6411,0.06265340000391,1.738609499996528,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0028466429; p_max=4
Material reflectance,BRDF,brdf_color-changing-paint2,color changing paint2,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\color-changing-paint2.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0033981357701122,0.0034112280700355,-0.3852788943411807,,,,0.0031333429423571,boundary,6406,6411,0.0772780000697821,1.812874200055376,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0033969101; p_max=4
Material reflectance,BRDF,brdf_color-changing-paint3,color changing paint3,C:\Users\mrkys\workspace\NTD-PL\data\BRDFDatabase\brdfs\color-changing-paint3.binary,90x90x180x3,32x32x64x3,"(12,12,16,2)",0,0.0035093687474727,0.0034885583445429,0.5929956190773418,,,,0.0194928417462598,moderate,6406,6411,0.0585366999730467,1.808073999825865,ok,MERL binary; official RGB scales; clamped_invalid_or_negative=42870; link_refresh_rmse=0.0035015019; p_max=4
