unit_id,dataset,shape,rank,tucker180,tucker500,link_refresh,ntdpl_p1,ntdpl_p4,gain_p4_vs_t180,gain_link_vs_t180,p1_vs_t180_pct,beta_p1,beta_p4,hist_start_p4
brdf_steel,BRDF,32x32x64x3,"(12, 12, 16, 2)",0.0064389524050056934,0.0064389524050056934,0.005753897596150637,0.00644866656512022,0.004915999248623848,23.65218843981343,10.639227715404289,-0.15086553686861984,"[0.0005169454962015152, 1.0184144973754883]","[0.00027155561838299036, 1.0540671348571777, 0.395081102848053, -3.1470754146575928, 3.5917720794677734]",
brdf_specular-orange-phenolic,BRDF,32x32x64x3,"(12, 12, 16, 2)",0.0029764710925519466,0.0029764710925519466,0.0029764671344310045,0.0030004498548805714,0.002997012110427022,-0.6901131318384155,0.00013298032532619683,-0.8056104555702563,"[-8.209339284803718e-05, 1.0201255083084106]","[-7.810781971784309e-05, 1.042894721031189, 0.03917260095477104, -0.2651406228542328, 0.20634308457374573]",
brdf_neoprene-rubber,BRDF,32x32x64x3,"(12, 12, 16, 2)",0.0024686125107109547,0.0024686125107109547,0.00246441806666553,0.002635552315041423,0.002628164831548929,-6.463238768567362,0.1699109936138366,-6.762495272390478,"[0.0009875647956505418, 1.025266408920288]","[0.000941804435569793, 1.0520439147949219, -0.03903144598007202, -0.12277112901210785, 0.15845288336277008]",
harvard_imgd0,Harvard HS,128x128x31,"(32, 32, 8)",0.019423039630055428,0.019423039630055428,0.01906454563140869,0.0194618571549654,0.018115047365427017,6.734230530037165,1.8457152200420708,-0.19985298722197156,"[0.0018473025411367416, 1.0070997476577759]","[0.0007592157926410437, 0.952728271484375, -0.3359699845314026, 1.4352855682373047, -1.049118161201477]",
harvard_imga3,Harvard HS,128x128x31,"(32, 32, 8)",0.02115749940276146,0.02115749940276146,0.021015658974647522,0.021222997456789017,0.019523827359080315,7.721479805254865,0.6704026095608656,-0.309573701412978,"[-0.004438228905200958, 1.0584709644317627]","[0.011390131898224354, 0.37529247999191284, 2.7737696170806885, -2.84014892578125, 0.7138671278953552]",
harvard_imgg8,Harvard HS,128x128x31,"(32, 32, 8)",0.002318482380360365,0.002318482380360365,0.0023184793535619974,0.002655802061781287,0.002655416028574109,-14.532508466222378,0.0001305508462406277,-14.549158720304453,"[0.0011132514337077737, 1.0807210206985474]","[0.001146873808465898, 1.0755966901779175, 0.09280052036046982, -0.34281405806541443, 0.32509854435920715]",
