dataset,dataset_label,task_name,task_label,rank,metric_label,tucker_rmse,ntdpl_rmse,gain_pct,delta_nmse_db,delta_sam,all_metrics_positive
jasper_ridge_hsi,Jasper Ridge,decompose,Recon.,"(11,11,43)",RMSE,0.04622607305645943,0.043024692684412,6.925486333518606,0.623384540183002,0.9805756192027424,3
jasper_ridge_hsi,Jasper Ridge,random-missing-completion,Compl.,"(11,11,43)",RMSE*,0.04710128282507261,0.043415967375040054,7.824235836037176,0.7076611254152461,1.1555634330473765,3
samson_hsi,Samson,decompose,Recon.,"(10,10,35)",RMSE,0.02625748286497367,0.024170296890696212,7.948918733035425,0.7194221148412225,0.057330193632786575,3
samson_hsi,Samson,random-missing-completion,Compl.,"(10,10,35)",RMSE*,0.02681244455211614,0.02443704567849636,8.859314819290889,0.8056661948690227,0.31017327399676997,3
urban_hsi,Urban,decompose,Recon.,"(43,43,47)",RMSE,0.044443825240543494,0.042846575205867335,3.593862648031209,0.3179063482401503,0.2883233621013863,3
urban_hsi,Urban,random-missing-completion,Compl.,"(43,43,47)",RMSE*,0.04537746368192062,0.043259878953297935,4.666600018604332,0.4150984751203932,0.48840144411856823,3
cuprite_hsi,Cuprite,decompose,Recon.,"(35,26,54)",RMSE,0.017594556687254116,0.017699576424937132,-0.5968876599152698,-0.05169088814888667,-0.03716679209965257,0
cuprite_hsi,Cuprite,random-missing-completion,Compl.,"(35,26,54)",RMSE*,0.01791123558013107,0.01781177210311095,0.5553133203744676,0.04836764779768643,-0.0036157605498026157,2
