run_id,run_dir,task._target_,task._name,task._group,task.log_level,task.missing_rate,task.seed,data._target_,data._name,data._group,data.path,data.target_shape,data.crop_shape,data.normalize,method._target_,method._name,method._group,method.rank,method.n_iter_max,method.init_n_iter_max,method.init,method.solver_variant,method.stable_beta_update,method.beta_update_stage,method.random_state,method.p_max,method.allow_constant_term,method.use_continuation,method.factor_normalize,method.lr_core,method.lr_factors,method.lambda_core,method.lambda_factors,method.lambda_beta,method.beta_update_method,method.beta_update_interval,filter._target_,filter._name,filter._group,filter.seed,filter.normalize_method,filter.snr_db,filter.bias,exp,exp_mode,missing_rate,observed_rate,mask_seed,RMSE_all,SAM_all,NMSE_dB_all,ERGAS_all,RMSE_missing,SAM_missing,NMSE_dB_missing,ERGAS_missing,fit_time_sec,state_path,ovr.exp,ovr.filter,ovr.filter.normalize_method,ovr.method.n_iter_max,ovr.exp_mode,ovr.data,ovr.data.target_shape,ovr.data.crop_shape,ovr.method.rank,ovr.task,ovr.task.log_level,ovr.task.seed,ovr.task.missing_rate,ovr.method,ovr.method.p_max,ovr.method.init,ovr.method.use_continuation,ovr.method.factor_normalize,ovr.method.beta_update_method,CR,RMSE,NMSE,NMSE_dB,SAM,method.tol,dataset,method_name,task_name,rank,p_max
benchmark/2026-03-30_00-28-15/1,multirun\real-hsi-robustness\benchmark\2026-03-30_00-28-15\1,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,1.0,src.data.UrbanHSIData,urban_hsi,data,data/hsi-similar/Urban_R162.mat,"[307, 307]",null,max,src.methods.TuckerDecomposition,tucker,method,"[43, 43, 47]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.5001440235341922,1.0,0.04478775046051973,8.410336328113084,-13.141801331368473,28.728089947028824,0.04538450624816992,8.461119040265853,-13.02671821894677,28.961724502766256,930.159259600041,multirun\real-hsi-robustness\benchmark\2026-03-30_00-28-15\1\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,urban_hsi,"[307,307]",null,"[43,43,47]",random-missing-completion,1,1,0.5,tucker,,,,,,,,,,,0.0001,urban_hsi,tucker,random-missing-completion,"(43, 43, 47)",
benchmark/2026-03-30_00-28-15/2,multirun\real-hsi-robustness\benchmark\2026-03-30_00-28-15\2,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,2.0,src.data.UrbanHSIData,urban_hsi,data,data/hsi-similar/Urban_R162.mat,"[307, 307]",null,max,src.methods.TuckerDecomposition,tucker,method,"[43, 43, 47]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.49971110149644316,2.0,0.04478070763099817,8.411451649985235,-13.143167286335062,28.70229278041945,0.045368601589387124,8.46385108486754,-13.030671833278845,28.903900305589232,933.417174400005,multirun\real-hsi-robustness\benchmark\2026-03-30_00-28-15\2\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,urban_hsi,"[307,307]",null,"[43,43,47]",random-missing-completion,1,2,0.5,tucker,,,,,,,,,,,0.0001,urban_hsi,tucker,random-missing-completion,"(43, 43, 47)",
benchmark/2026-03-30_01-15-33/0,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-33\0,src.tasks.DecomposeTask,decompose,task,0,,,src.data.CupriteHSIData,cuprite_hsi,data,data/hsi-similar/Cuprite_S1_R188.img,"[250, 190]",null,max,src.methods.TuckerDecomposition,tucker,method,"[35, 26, 54]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,,,,,,,,,,,,17.551226100011263,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-33\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,cuprite_hsi,"[250,190]",null,"[35,26,54]",decompose,0,,,tucker,,,,,,122.35893782028445,0.017594556687254116,0.001882822732912195,-27.251905667289805,1.3023928248935355,0.0001,cuprite_hsi,tucker,decompose,"(35, 26, 54)",
benchmark/2026-03-30_01-15-53/0,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-53\0,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,0.0,src.data.CupriteHSIData,cuprite_hsi,data,data/hsi-similar/Cuprite_S1_R188.img,"[250, 190]",null,max,src.methods.TuckerDecomposition,tucker,method,"[35, 26, 54]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.5000211646136619,0.0,0.01772351980593491,1.3323508771772832,-27.188472778987038,5.094472374159645,0.01790305961269303,1.3376025629899906,-27.100184331777907,5.1515336970312,239.55020519997925,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-53\0\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,cuprite_hsi,"[250,190]",null,"[35,26,54]",random-missing-completion,1,0,0.5,tucker,,,,,,,,,,,0.0001,cuprite_hsi,tucker,random-missing-completion,"(35, 26, 54)",
benchmark/2026-03-30_01-15-53/1,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-53\1,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,1.0,src.data.CupriteHSIData,cuprite_hsi,data,data/hsi-similar/Cuprite_S1_R188.img,"[250, 190]",null,max,src.methods.TuckerDecomposition,tucker,method,"[35, 26, 54]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.5001513997760358,1.0,0.01773200444774256,1.33210775472666,-27.184315646054,5.09592198398316,0.017925786098944314,1.33812689064294,-27.091260285723454,5.155609588885781,376.3014043000294,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-53\1\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,cuprite_hsi,"[250,190]",null,"[35,26,54]",random-missing-completion,1,1,0.5,tucker,,,,,,,,,,,0.0001,cuprite_hsi,tucker,random-missing-completion,"(35, 26, 54)",
benchmark/2026-03-30_01-15-53/2,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-53\2,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,2.0,src.data.CupriteHSIData,cuprite_hsi,data,data/hsi-similar/Cuprite_S1_R188.img,"[250, 190]",null,max,src.methods.TuckerDecomposition,tucker,method,"[35, 26, 54]",300,,svd,,NaN,,,,NaN,NaN,NaN,,,,,,,,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,benchmark,0.5,0.4997528555431131,2.0,0.017715112542559402,1.3290788077170563,-27.192593963037805,5.0925603018824575,0.01790486102875587,1.3344418586611393,-27.09982371092337,5.157463439439468,137.10532150004292,multirun\real-hsi-robustness\benchmark\2026-03-30_01-15-53\2\state.mat,real-hsi-robustness,bias-filter,max,300,benchmark,cuprite_hsi,"[250,190]",null,"[35,26,54]",random-missing-completion,1,2,0.5,tucker,,,,,,,,,,,0.0001,cuprite_hsi,tucker,random-missing-completion,"(35, 26, 54)",
run/2026-03-30_01-28-55/0,multirun\real-hsi-robustness\run\2026-03-30_01-28-55\0,src.tasks.DecomposeTask,decompose,task,0,,,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.NTDPLDecomposition,ntdpl,method,"[11, 11, 43]",300,50.0,tucker,optimized,true,before_grad,0.0,4.0,true,true,true,0.0001,0.0003,1e-06,1e-06,1e-06,ridge_lstsq,5.0,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,run,,,,,,,,,,,,16.617827699985355,multirun\real-hsi-robustness\run\2026-03-30_01-28-55\0\state.mat,real-hsi-robustness,bias-filter,max,300,run,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",decompose,0,,,ntdpl,4,tucker,True,True,ridge_lstsq,124.35623665368672,0.043024692684412,0.021969586610794067,-16.58178114874669,8.157901412374596,,jasper_ridge_hsi,ntdpl,decompose,"(11, 11, 43)",4.0
run/2026-03-30_01-29-14/0,multirun\real-hsi-robustness\run\2026-03-30_01-29-14\0,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,0.0,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.NTDPLDecomposition,ntdpl,method,"[11, 11, 43]",300,50.0,tucker,optimized,true,before_grad,0.0,4.0,true,true,true,0.0001,0.0003,1e-06,1e-06,1e-06,ridge_lstsq,5.0,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,run,0.5,0.49984141414141414,0.0,0.04310997575521469,8.168578047490156,-16.56458130405372,27.85613004329367,0.04341946169734001,8.171399292851882,-16.50217131861979,27.95194817434277,45.04655090003507,multirun\real-hsi-robustness\run\2026-03-30_01-29-14\0\state.mat,real-hsi-robustness,bias-filter,max,300,run,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",random-missing-completion,1,0,0.5,ntdpl,4,tucker,True,True,ridge_lstsq,,,,,,,jasper_ridge_hsi,ntdpl,random-missing-completion,"(11, 11, 43)",4.0
run/2026-03-30_01-29-14/1,multirun\real-hsi-robustness\run\2026-03-30_01-29-14\1,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,1.0,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.NTDPLDecomposition,ntdpl,method,"[11, 11, 43]",300,50.0,tucker,optimized,true,before_grad,0.0,4.0,true,true,true,0.0001,0.0003,1e-06,1e-06,1e-06,ridge_lstsq,5.0,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,run,0.5,0.5000984848484848,1.0,0.04309927299618721,8.212410962793227,-16.566737607911687,27.87651714091477,0.04341267794370651,8.238003237838129,-16.498904412579805,27.991543781873496,44.672043700004,multirun\real-hsi-robustness\run\2026-03-30_01-29-14\1\state.mat,real-hsi-robustness,bias-filter,max,300,run,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",random-missing-completion,1,1,0.5,ntdpl,4,tucker,True,True,ridge_lstsq,,,,,,,jasper_ridge_hsi,ntdpl,random-missing-completion,"(11, 11, 43)",4.0
run/2026-03-30_01-29-14/2,multirun\real-hsi-robustness\run\2026-03-30_01-29-14\2,src.tasks.RandomMissingCompletionTask,random-missing-completion,task,1,0.5,2.0,src.data.JasperRidgeHSIData,jasper_ridge_hsi,data,data/hsi/jasperRidge2_R198.mat,"[100, 100]",null,max,src.methods.NTDPLDecomposition,ntdpl,method,"[11, 11, 43]",300,50.0,tucker,optimized,true,before_grad,0.0,4.0,true,true,true,0.0001,0.0003,1e-06,1e-06,1e-06,ridge_lstsq,5.0,src.filters.BiasFilter,bias-filter,filter,0,max,null,null,real-hsi-robustness,run,0.5,0.4997707070707071,2.0,0.0431271567940712,8.167626543305797,-16.561120543816536,27.817150718770105,0.04341576248407364,8.202357232218468,-16.505081439762268,27.969504091455867,44.275631900003646,multirun\real-hsi-robustness\run\2026-03-30_01-29-14\2\state.mat,real-hsi-robustness,bias-filter,max,300,run,jasper_ridge_hsi,"[100,100]",null,"[11,11,43]",random-missing-completion,1,2,0.5,ntdpl,4,tucker,True,True,ridge_lstsq,,,,,,,jasper_ridge_hsi,ntdpl,random-missing-completion,"(11, 11, 43)",4.0
