scene_id,scene_name,target_shape,rank,snr,snr_value,method,params,fit_time_sec,RMSE,SAM,NMSE_dB
1,balloons,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.16588709998177364,0.023087434470653534,9.066544199490654,-19.251945178972335
1,balloons,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,0.8088583000062499,0.02215990051627159,9.135649696883357,-19.608102976254873
1,balloons,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.1635285000083968,0.023089170455932617,9.07229581067009,-19.25129254685851
1,balloons,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,0.8046231000043917,0.022162333130836487,9.139072789732396,-19.607149225147694
1,balloons,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.1617736999760382,0.023097136989235878,9.0785464751218,-19.248296532291644
1,balloons,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,0.7968648999813013,0.02217266336083412,9.143274431719881,-19.60310190173828
1,balloons,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.17070940000121482,0.0231610294431448,9.139102094878115,-19.224302052643292
1,balloons,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,0.8556913000065833,0.022230831906199455,9.18712345720381,-19.58034490075699
1,balloons,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.1757862000085879,0.02386968769133091,9.882226119578295,-18.962524357604014
1,balloons,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,0.8896930000046268,0.022917794063687325,9.73592608887854,-19.316002493778427
2,beads,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.18556320000789128,0.11043930053710938,29.203161885372133,-5.659695391271077
2,beads,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,1.1538754999928642,0.10593103617429733,26.709514549975466,-6.021704608034045
2,beads,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.6176103999896441,0.1104394868016243,29.204051115806628,-5.659681098234703
2,beads,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.169275199994445,0.10593113303184509,26.71042620926535,-6.02169632242478
2,beads,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.5797804000030737,0.11044052243232727,29.209756553922666,-5.659599628825591
2,beads,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,2.3194728000089526,0.1059291884303093,26.708940589423467,-6.021855564245352
2,beads,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.6013272000127472,0.11045518517494202,29.231077208420096,-5.658446357465166
2,beads,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.2910048000048846,0.10592618584632874,26.723388263549282,-6.022101817971133
2,beads,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.5263671999855433,0.11060652136802673,29.2911004388845,-5.646554243434364
2,beads,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,2.0701218000031076,0.1061386913061142,26.719301902453076,-6.004693675443792
3,cd,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.5675413999997545,0.03229692950844765,12.080005548832602,-12.424901151157348
3,cd,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,1.984355400025379,0.029523484408855438,11.740061398743267,-13.204773698853723
3,cd,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.43951659998856485,0.03229710832238197,12.075925997678773,-12.424853363156467
3,cd,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.056095300009474,0.029522044584155083,11.734380444508012,-13.205197387977572
3,cd,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.6414178999839351,0.032299283891916275,12.085119638915536,-12.424268356228831
3,cd,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,2.2202566000050865,0.029529936611652374,11.743491778649362,-13.2028753887803
3,cd,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.6244606000254862,0.03231972083449364,12.143759114463872,-12.41877359132928
3,cd,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.012114900018787,0.029543748125433922,11.783961974420372,-13.19881428372695
3,cd,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.45746129998588003,0.03251783922314644,12.422067630686165,-12.365692295063734
3,cd,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,1.9567379000072833,0.029776060953736305,12.032881835334024,-13.130781056974083
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.4114786999998614,0.04395545274019241,19.513899027185452,-16.541196449301488
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,2.1081071000080556,0.04165255278348923,16.310009717889802,-17.008619035541365
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.3979368999716826,0.04395611956715584,19.5200742222123,-16.541064764789194
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.080132400005823,0.04165392741560936,16.313312354467477,-17.008332649966963
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.4722374000120908,0.04396184906363487,19.564366093424475,-16.539933026261085
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,2.241354300000239,0.04165773093700409,16.310963522155827,-17.007539805732147
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.49711570001090877,0.04403282329440117,19.65718762862375,-16.52592144408629
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.236834999988787,0.04171624779701233,16.32752381310414,-16.995346951127935
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.410877900023479,0.04476665332913399,21.95974594956987,-16.38235938361988
4,chart_and_stuffed_toy,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,2.3967198000173084,0.04236103221774101,17.15150580671672,-16.862121406943213
5,clay,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.492342000012286,0.008635211735963821,10.570092601466776,-25.47668604990323
5,clay,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,2.482245099992724,0.008482484146952629,11.231842723434802,-25.63168411148797
5,clay,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.4567627999931574,0.008636439219117165,10.577355813296872,-25.475450789972257
5,clay,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.075264099985361,0.008482646197080612,11.227870434979934,-25.631518804155075
5,clay,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.28318790000048466,0.008647158741950989,10.640138605588586,-25.46467733299926
5,clay,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,1.8199501000053715,0.008491403423249722,11.258540944375639,-25.622556515333894
5,clay,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.5650197999784723,0.008751616813242435,11.191308838668029,-25.36037966104864
5,clay,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.1768291000043973,0.008583364076912403,11.716043906389029,-25.528995163423755
5,clay,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.3595297999854665,0.009791180491447449,14.964211619935618,-24.38544405461499
5,clay,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,1.877070399990771,0.0094980513677001,14.963309398718875,-24.649455264462247
6,cloth,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.42774329998064786,0.07756823301315308,10.88611834892103,-10.357357234512772
6,cloth,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,1.9344263999955729,0.07652676105499268,10.642128750488169,-10.4747678814459
6,cloth,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.4964318000129424,0.07756864279508591,10.887587191740273,-10.357311211065394
6,cloth,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.281805600010557,0.07652658224105835,10.642382774946643,-10.474788455842202
6,cloth,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.5425552999950014,0.07757076621055603,10.888034286088974,-10.35707302116994
6,cloth,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,2.1398640999977943,0.07652813196182251,10.64350118752577,-10.474612674228895
6,cloth,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.5440897999797016,0.07760714739561081,10.900074253413184,-10.353000169249578
6,cloth,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.231922399980249,0.07656189799308777,10.64912647541663,-10.47078153667163
6,cloth,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.5600015000090934,0.07799800485372543,10.97344786692155,-10.309364564276366
6,cloth,"(128, 128)","(12, 12, 6)",10 dB,10.0,NTD-PL,4127,1.8621281000087038,0.07694082707166672,10.766074553499429,-10.427897791500325
7,egyptian_statue,"(128, 128)","(12, 12, 6)",Clean,999.0,Tucker,4122,0.5997043999959715,0.015324372798204422,26.033326678125402,-17.51139781518558
7,egyptian_statue,"(128, 128)","(12, 12, 6)",Clean,999.0,NTD-PL,4127,2.1611512000090443,0.014777544885873795,24.848746996856057,-17.827006329340776
7,egyptian_statue,"(128, 128)","(12, 12, 6)",40 dB,40.0,Tucker,4122,0.5828034000005573,0.015324574895203114,26.077231250796768,-17.511283793219274
7,egyptian_statue,"(128, 128)","(12, 12, 6)",40 dB,40.0,NTD-PL,4127,2.2101455999945756,0.014776596799492836,24.862518609360798,-17.82756354236846
7,egyptian_statue,"(128, 128)","(12, 12, 6)",30 dB,30.0,Tucker,4122,0.4989320999884512,0.015327950939536095,25.87997247892516,-17.509370495175475
7,egyptian_statue,"(128, 128)","(12, 12, 6)",30 dB,30.0,NTD-PL,4127,2.2435477999970317,0.014786594547331333,24.858142705550016,-17.82168893523688
7,egyptian_statue,"(128, 128)","(12, 12, 6)",20 dB,20.0,Tucker,4122,0.48116019999724813,0.01535783614963293,27.126195050148475,-17.492452013153535
7,egyptian_statue,"(128, 128)","(12, 12, 6)",20 dB,20.0,NTD-PL,4127,2.1298277000023518,0.014783891849219799,25.358795730129252,-17.823276413225564
7,egyptian_statue,"(128, 128)","(12, 12, 6)",10 dB,10.0,Tucker,4122,0.5953237999929115,0.01564946398139,31.151878190341257,-17.329063244552064
