snr,snr_value,method,RMSE_mean,RMSE_std,SAM_mean,SAM_std,n_scenes
Clean,999.0,NTD-PL,0.030470987347265086,0.026613016277878564,13.868095549717747,6.730356544003447,15
Clean,999.0,Tucker,0.032028282930453615,0.02744786040072886,14.712471707403951,7.573297790386041,15
40 dB,40.0,NTD-PL,0.03047110078235467,0.026612946315185838,13.870060413034823,6.733748861848051,15
40 dB,40.0,Tucker,0.032028908282518385,0.027447700507641982,14.718736275715589,7.580355673288264,15
30 dB,30.0,NTD-PL,0.03047575956831376,0.026610649155050067,13.86982477068279,6.728419942119243,15
30 dB,30.0,Tucker,0.03203387303898732,0.02744593090445302,14.712798713585295,7.551175420754098,15
20 dB,20.0,NTD-PL,0.0305244962995251,0.02659536616652525,13.994056171055394,6.801909682691988,15
20 dB,20.0,Tucker,0.03208807377765576,0.027431865192746326,14.952413368670227,7.715743232042409,15
10 dB,10.0,NTD-PL,0.03101978643486897,0.02649850365965055,14.632192767198655,6.855251372369838,15
10 dB,10.0,Tucker,0.03261161800473929,0.02730216108152691,16.00557612030415,7.934800547490991,15
