domain,dataset,unit_id,unit_label,shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Natural images,CBSD68,cbsd68_001,0000,96x96x3,"(32,32,3)",0,0.01483902521431446,0.012997991405427456,12.40670315130304,0.7040415604360182,0.630315729903556,10.471800909992192,0.07657950662623639,moderate,9225,9230,0.07166569982655346,0.23477820004336536,ok,link_refresh_rmse=0.014708771; p_max=4
Natural images,CBSD68,cbsd68_002,0001,96x96x3,"(32,32,3)",0,0.05801340565085411,0.05434498190879822,6.323406979645029,4.8506015282313575,4.894115351717913,-0.8970809750769501,0.09590080507445768,moderate,9225,9230,0.07191290007904172,0.21522270003333688,ok,link_refresh_rmse=0.057376403; p_max=4
Natural images,CBSD68,cbsd68_003,0002,96x96x3,"(32,32,3)",0,0.019820168614387512,0.01771613210439682,10.615633756331247,3.4589461631882856,3.111851564498407,10.034692137848834,0.09320191893179952,moderate,9225,9230,0.07892820006236434,0.2568164998665452,ok,link_refresh_rmse=0.01960863; p_max=4
Natural images,CBSD68,cbsd68_004,0003,96x96x3,"(32,32,3)",0,0.043595362454652786,0.03871015086770058,11.205805645115877,2.611035944227707,2.8728724700370183,-10.028070520751006,0.17817224762403078,effective,9225,9230,0.06265680002979934,0.22250719997100532,ok,link_refresh_rmse=0.042710207; p_max=4
Natural images,CBSD68,cbsd68_005,0004,96x96x3,"(32,32,3)",0,0.04270973056554794,0.037136953324079514,13.048027153708489,3.22750286399996,3.2294321579102343,-0.05977667539180328,0.12995940389563612,moderate,9225,9230,0.0739104999229312,0.24294300004839897,ok,link_refresh_rmse=0.042075459; p_max=4
Natural images,CBSD68,cbsd68_006,0005,96x96x3,"(32,32,3)",0,0.03860829025506973,0.03522967919707298,8.750998906389276,1.507040140420634,1.548334365691476,-2.740087948773309,0.11151837317638982,moderate,9225,9230,0.06892520003020763,0.2326093998271972,ok,link_refresh_rmse=0.038115766; p_max=4
Natural images,CBSD68,cbsd68_007,0006,96x96x3,"(32,32,3)",0,0.05784501135349274,0.04904395714402199,15.214888896273564,3.8606542928323098,3.6861925139475966,4.51896921225552,0.43416538898958185,effective,9225,9230,0.019635599805042148,0.25993170007131994,ok,link_refresh_rmse=0.055024695; p_max=4
Natural images,CBSD68,cbsd68_008,0007,96x96x3,"(32,32,3)",0,0.07445419579744339,0.06844871491193771,8.066007323272832,3.057377335407204,4.007301495887681,-31.069902608339945,0.09611037446532877,moderate,9225,9230,0.0130986999720335,0.2559275000821799,ok,link_refresh_rmse=0.073634893; p_max=4
Natural images,CBSD68,cbsd68_009,0008,96x96x3,"(32,32,3)",0,0.05329248309135437,0.049879953265190125,6.403398055809225,4.328199708694511,3.935981746856519,9.06191923284183,0.06046526807655754,moderate,9225,9230,0.025119500001892447,0.2647233000025153,ok,link_refresh_rmse=0.052922785; p_max=4
Natural images,CBSD68,cbsd68_010,0009,96x96x3,"(32,32,3)",0,0.038852423429489136,0.03432410582900047,11.655174119850791,2.198726637239775,2.087859079363646,5.042352969139875,0.12543442267215688,moderate,9225,9230,0.01902189990505576,0.2829056999180466,ok,link_refresh_rmse=0.038295381; p_max=4
Natural images,CBSD68,cbsd68_011,0010,96x96x3,"(32,32,3)",0,0.027047311887145042,0.025347823277115822,6.283391921239123,1.6726508442618209,1.7004957743449174,-1.664718621858295,0.06398804380828607,moderate,9225,9230,0.02570890006609261,0.26210929988883436,ok,link_refresh_rmse=0.026848789; p_max=4
Natural images,CBSD68,cbsd68_012,0011,96x96x3,"(32,32,3)",0,0.03235480561852455,0.030344169586896896,6.214335067667591,2.1528698291680985,2.4445077372708712,-13.546471976685464,0.041984743296401346,boundary,9225,9230,0.022176099941134453,0.2779103999491781,ok,link_refresh_rmse=0.03219879; p_max=4
Natural images,CBSD68,cbsd68_013,0012,96x96x3,"(32,32,3)",0,0.04806907847523689,0.04300801455974579,10.528730893183951,1.4838213418550763,1.406106391882416,5.237487006050269,0.18863338501253663,effective,9225,9230,0.0200934000313282,0.2556614000350237,ok,link_refresh_rmse=0.047036406; p_max=4
Natural images,CBSD68,cbsd68_014,0013,96x96x3,"(32,32,3)",0,0.018131935968995094,0.017413945868611336,3.9598093750799346,0.6854918427902922,0.6474858885011985,5.5443335597387415,0.015660206068728706,boundary,9225,9230,0.02222710009664297,0.24012370011769235,ok,link_refresh_rmse=0.018099274; p_max=4
Natural images,CBSD68,cbsd68_015,0014,96x96x3,"(32,32,3)",0,0.046995677053928375,0.041766826063394547,11.126238237899264,3.8347651763652513,3.861377720814354,-0.6939810712041367,0.1364799298681605,effective,9225,9230,0.06739940005354583,0.24867299990728498,ok,link_refresh_rmse=0.046263013; p_max=4
Natural images,CBSD68,cbsd68_016,0015,96x96x3,"(32,32,3)",0,0.05385879799723625,0.04657135531306267,13.530644862418832,4.908552086777626,4.817241392181959,1.860236847473508,0.229052860359895,effective,9225,9230,0.047078599920496345,0.2424993000458926,ok,link_refresh_rmse=0.052457068; p_max=4
Natural images,CBSD68,cbsd68_017,0016,96x96x3,"(32,32,3)",0,0.03968142718076706,0.030804166570305824,22.371323919427724,3.371639579744178,3.40656943530214,-1.0359901979977375,0.27326783178841163,effective,9225,9230,0.017659599892795086,0.23205200000666082,ok,link_refresh_rmse=0.038452439; p_max=4
Natural images,CBSD68,cbsd68_018,0017,96x96x3,"(32,32,3)",0,0.03275888413190842,0.030323997139930725,7.432753149262547,1.744065081096804,1.8511746373726627,-6.141373818946022,0.04535897706523227,boundary,9225,9230,0.012853199848905206,0.24412739998660982,ok,link_refresh_rmse=0.032588258; p_max=4
Natural images,CBSD68,cbsd68_019,0018,96x96x3,"(32,32,3)",0,0.04208502918481827,0.03612808510661125,14.15454424908875,6.158947659736196,4.533750894816817,26.38757227219221,0.2431046760925164,effective,9225,9230,0.015188999939709902,0.2532800999470055,ok,link_refresh_rmse=0.040923465; p_max=4
Natural images,CBSD68,cbsd68_020,0019,96x96x3,"(32,32,3)",0,0.034347690641880035,0.03318898007273674,3.373474453419244,1.2205137458374817,1.2186792105370101,0.15030845057896602,0.010354658676135026,boundary,9225,9230,0.014172900002449751,0.23519540019333363,ok,link_refresh_rmse=0.034306768; p_max=4
Natural images,CBSD68,cbsd68_021,0020,96x96x3,"(32,32,3)",0,0.030591517686843872,0.02859681472182274,6.520444606378491,2.3309734554015247,2.258349784617163,3.115594071484251,0.04394581602478819,boundary,9225,9230,0.0198445999994874,0.24310559988953173,ok,link_refresh_rmse=0.030437132; p_max=4
