domain,dataset,unit_id,unit_label,source_path,raw_shape,processed_shape,rank,seed,tucker_rmse,ntdpl_rmse,rmse_gain_pct,tucker_sam,ntdpl_sam,sam_gain_pct,d_link_db,diagnostic_label,tucker_params,ntdpl_params,runtime_tucker,runtime_ntdpl,status,notes
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g07_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g07_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c02.avi,169x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05120258405804634,0.05017755925655365,2.0019005297284624,6.15261260563776,6.118580810762756,0.5531275420106856,0.040086564423712646,boundary,14985,14990,0.30120859993621707,6.5289846998639405,ok,split=train; action=ApplyEyeMakeup; raw_frames=169; sampled_frames=24; link_refresh_rmse=0.050966822; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g07_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g07_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c03.avi,134x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.0536370649933815,0.05304592475295067,1.1021114606173459,6.25997270230261,6.315996331838657,-0.8949500612908391,0.03332132823639991,boundary,14985,14990,0.2537983001675457,6.544074600096792,ok,split=train; action=ApplyEyeMakeup; raw_frames=134; sampled_frames=24; link_refresh_rmse=0.053431693; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g07_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g07_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c05.avi,99x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.04916102811694145,0.048537470400333405,1.2683984458680644,6.937313639535487,7.0848104981028275,-2.126137958168147,0.03522874119796708,boundary,14985,14990,0.22095580003224313,6.453613700112328,ok,split=train; action=ApplyEyeMakeup; raw_frames=99; sampled_frames=24; link_refresh_rmse=0.048962042; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g07_c06,ApplyEyeMakeup:v_ApplyEyeMakeup_g07_c06,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c06.avi,163x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.05261816084384918,0.05184334143996239,1.4725322806058658,6.874948316676177,7.183589890565122,-4.489365732979991,0.0386653427318586,boundary,14985,14990,0.2536090000066906,6.452954099979252,ok,split=train; action=ApplyEyeMakeup; raw_frames=163; sampled_frames=24; link_refresh_rmse=0.052384451; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g07_c07,ApplyEyeMakeup:v_ApplyEyeMakeup_g07_c07,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g07_c07.avi,115x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.055682048201560974,0.05471215769648552,1.7418369769096695,7.795959706289298,7.1652831199416935,8.089787660636748,0.052610102061097126,moderate,14985,14990,0.21016470016911626,6.605509700020775,ok,split=train; action=ApplyEyeMakeup; raw_frames=115; sampled_frames=24; link_refresh_rmse=0.055345803; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g08_c01,ApplyEyeMakeup:v_ApplyEyeMakeup_g08_c01,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g08_c01.avi,121x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.035435959696769714,0.03433668240904808,3.1021518737697464,5.480772477546368,6.0983771749441855,-11.268570259539528,0.054450114401073106,moderate,14985,14990,0.22143219993449748,6.379155699862167,ok,split=train; action=ApplyEyeMakeup; raw_frames=121; sampled_frames=24; link_refresh_rmse=0.035214514; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g08_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g08_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g08_c02.avi,118x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.03295988589525223,0.03203967213630676,2.79192034180561,5.630932590574999,6.45617754394342,-14.655564421952205,0.04481224118918313,moderate,14985,14990,0.21366140013560653,6.390662400051951,ok,split=train; action=ApplyEyeMakeup; raw_frames=118; sampled_frames=24; link_refresh_rmse=0.032790277; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g08_c05,ApplyEyeMakeup:v_ApplyEyeMakeup_g08_c05,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g08_c05.avi,277x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.03973177447915077,0.03881343454122543,2.3113489139712025,6.062075735725744,6.478589677315922,-6.870813888640951,0.04026742689315228,boundary,14985,14990,0.33874689997173846,6.688662200002,ok,split=train; action=ApplyEyeMakeup; raw_frames=277; sampled_frames=24; link_refresh_rmse=0.039548006; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g09_c02,ApplyEyeMakeup:v_ApplyEyeMakeup_g09_c02,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c02.avi,259x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.06274395436048508,0.06135163456201553,2.219050126280213,5.3544474381985125,5.772213457855331,-7.8022246829147095,0.07490194466257703,moderate,14985,14990,0.2701588000636548,6.767710099928081,ok,split=train; action=ApplyEyeMakeup; raw_frames=259; sampled_frames=24; link_refresh_rmse=0.062205214; p_max=4
Action video,UCF101,ucf101_v_ApplyEyeMakeup_g09_c03,ApplyEyeMakeup:v_ApplyEyeMakeup_g09_c03,C:\Users\mrkys\workspace\NTD-PL\data\UCF101\train\ApplyEyeMakeup\v_ApplyEyeMakeup_g09_c03.avi,211x240x320x3,24x72x96x3,"(12,18,18,3)",0,0.051484327763319016,0.050179701298475266,2.5340264144873537,5.391062772854979,5.509250696998149,-2.192293600035013,0.06786560868710931,moderate,14985,14990,0.25014640018343925,6.449219700181857,ok,split=train; action=ApplyEyeMakeup; raw_frames=211; sampled_frames=24; link_refresh_rmse=0.051083632; p_max=4
