rank,method,params,RMSE_mean,RMSE_std,SAM_mean,SAM_std,NMSE_dB_mean,NMSE_dB_std,fit_time_mean,n
"(18,18,3)",NTD-PL,19504,0.03189732442903251,0.020337149977465933,19.23102462097082,6.5638575948810525,-16.92994240136716,4.6755206732186085,192.12251874000455,15
"(18,18,3)",Tucker,19497,0.03691505458817427,0.022036906616718106,22.36119483769404,7.589129605721335,-15.497800990297497,4.160471935022605,11.996394986667049,15
