dataset,protocol,rank,target_shape,missing_rate,method,fit_time_mean,n_runs,n_items,RMSE_missing_mean,RMSE_missing_std,SAM_missing_mean,SAM_missing_std,NMSE_dB_missing_mean,NMSE_dB_missing_std,ERGAS_missing_mean,ERGAS_missing_std,PSNR_missing_mean,PSNR_missing_std,SSIM_missing_mean,SSIM_missing_std,rmse_wins_vs_tucker,sam_wins_vs_tucker
cave_hsi,block,"(12,12,3)","(128,128)",0.5,tucker,2.6465543422330584,45,15,0.18015358635876158,0.05881895428344506,37.87406960795874,10.116218060125655,-1.586396245323965,1.5000442169693085,144.64262213036037,35.142690631714835,15.365692410149348,2.979760307979071,0.32228645152451935,0.1186296697361149,0,0
cave_hsi,block,"(12,12,3)","(128,128)",0.5,ntdpl,5.533123864448215,45,15,0.20480606390370262,0.15571535013054966,27.821636497329614,7.065636699837999,-1.3436490697941135,4.043672982653963,203.39723918561282,417.1740954839573,15.122945235294972,4.400384540945992,0.3502886727954696,0.14086652781118883,37,45
cave_hsi,block,"(16,16,3)","(128,128)",0.5,tucker,2.9573955688910143,45,15,0.18145178911204257,0.06089254996764846,37.42130236095361,10.08351865307092,-1.5416193355314969,1.398316195717697,145.47563465831587,34.47510657082247,15.320915500356882,3.019151776039374,0.2678932512867203,0.099895278108297,0,0
cave_hsi,block,"(16,16,3)","(128,128)",0.5,ntdpl,6.362721224449989,45,15,0.18855021248261133,0.11030747517321973,28.687005833302116,6.903225089965201,-1.6966552907740733,2.6480792294729962,145.27368517860208,61.71216134684396,15.475951481958294,3.9268299649150795,0.30414571376907384,0.11886991981237383,38,44
cave_hsi,block,"(20,20,4)","(128,128)",0.5,tucker,3.585142986678208,45,15,0.18187684643128435,0.06151718684406979,35.02438477226009,10.066263280388686,-1.5275422518935513,1.3232744534242742,145.77094748600499,35.07355974917558,15.306838416718936,3.0367357217167097,0.22731353626505627,0.08824789161888248,0,0
cave_hsi,block,"(20,20,4)","(128,128)",0.5,ntdpl,6.398156437771912,45,15,0.17446139951546988,0.07274594582412341,26.590528396825725,6.356131501987171,-2.060345261690927,1.748649491481325,136.85197022531477,39.36348247197738,15.839641346509719,3.450480822287203,0.283537994175301,0.09771753276127884,42,45
cave_hsi,block,"(24,24,4)","(128,128)",0.5,tucker,3.950640457785792,45,15,0.18136896000975808,0.06031727066291438,34.93683263816099,10.148689154010563,-1.5378107110176384,1.2464898266728992,145.83451126302586,35.26908674179937,15.317106875843022,2.997575554510384,0.1908430286976865,0.07823063429934873,0,0
cave_hsi,block,"(24,24,4)","(128,128)",0.5,ntdpl,6.62443461333298,45,15,0.1709857713845041,0.06171568717306336,27.14001413741692,6.16534852653933,-2.1325174423357227,1.3987153704747295,135.06486432303592,33.481839525945794,15.911813561034721,3.2453088763186564,0.2590258618865939,0.08613207500091166,42,45
cave_hsi,random,"(12,12,3)","(128,128)",0.5,tucker,1.0089024288786783,45,15,0.04409960943602797,0.0250891730721245,22.716438538680855,6.963834315747206,-14.12834793231859,4.1366158732082505,41.660526737299975,20.302660963288027,28.301435517583606,4.526598058539077,0.9454605630060654,0.06924974820202816,0,0
cave_hsi,random,"(12,12,3)","(128,128)",0.5,ntdpl,5.246580422216923,45,15,0.040407674945890905,0.02429119186872757,20.149601384560125,6.240181453284019,-15.003832553931105,4.441067782030593,38.048411157103764,19.81240704984163,29.176920117178344,4.719319789724422,0.953266355443462,0.06129820029839589,45,36
cave_hsi,random,"(16,16,3)","(128,128)",0.5,tucker,1.042295531113632,45,15,0.03941405942253853,0.023161428083326625,21.852549628872627,6.990689259190738,-15.14611114777302,4.14242869771211,37.314383050872706,19.235647176584312,29.319198733038036,4.577114083669773,0.9563328391504332,0.05730765927166736,0,0
cave_hsi,random,"(16,16,3)","(128,128)",0.5,ntdpl,7.139187840002382,45,15,0.03590534302509493,0.021992139318097317,19.254593614395827,6.056057950557754,-16.04436678844065,4.416067283783591,33.947790373084764,18.391188885857428,30.217454334423135,4.711506595882373,0.9631725940539974,0.04863110560996596,45,42
cave_hsi,random,"(20,20,4)","(128,128)",0.5,tucker,1.057271866653011,45,15,0.03290215821150696,0.022349680539459734,17.26856120657021,7.043198236502832,-17.048082270620874,4.697306908956008,31.437015374077394,18.44023980994324,31.221169855885883,5.093856405623227,0.9679487337964362,0.04746920396340453,0,0
cave_hsi,random,"(20,20,4)","(128,128)",0.5,ntdpl,6.699414266671779,45,15,0.029556594064666167,0.020767345857621283,14.924455461142143,5.720918374637873,-18.063735592177693,4.897434034861989,28.257831879197653,17.18313052048879,32.23682316945168,5.197742685581482,0.973845749726476,0.038932236754894836,45,40
cave_hsi,random,"(24,24,4)","(128,128)",0.5,tucker,1.094837119999445,45,15,0.03029993649976371,0.020992029103604915,16.825475467267967,7.073803360085666,-17.788266654833457,4.667402692261373,29.079125945118733,17.68483245462276,31.961354240098476,5.1000398267441645,0.9726356884232115,0.04111647618005363,0,0
cave_hsi,random,"(24,24,4)","(128,128)",0.5,ntdpl,7.204432273337928,45,15,0.02708941133071979,0.019198481551321506,14.460640688656193,5.703970391374228,-18.8079671090116,4.8231637526607765,25.988019338554167,16.052484736864365,32.98105473489361,5.136966124524142,0.9779714806927221,0.032902741510004586,45,39
