dataset,protocol,rank,target_shape,missing_rate,method,n_pairs,RMSE_missing_gain_mean_pct,RMSE_missing_gain_median_pct,RMSE_missing_wins,RMSE_missing_losses,RMSE_missing_min_gain_pct,RMSE_missing_max_gain_pct,SAM_missing_gain_mean_pct,SAM_missing_gain_median_pct,SAM_missing_wins,SAM_missing_losses,SAM_missing_min_gain_pct,SAM_missing_max_gain_pct,PSNR_missing_delta_mean,PSNR_missing_delta_median,PSNR_missing_wins,SSIM_missing_delta_mean,SSIM_missing_delta_median,SSIM_missing_wins
cave_hsi,random,"(12,12,3)","(128,128)",0.3,ntdpl,45,9.5618163328049,8.988704012704702,45,0,1.6895559069578463,23.60609867962257,12.103353546576855,10.762832857502811,41,4,-4.5005156222036105,30.242759908095984,0.8846243792414984,0.8180940542891229,45,0.0078976191637907,0.0046442483309077,45
cave_hsi,random,"(12,12,3)","(128,128)",0.3,softimpute,45,-15.398796290724572,-14.669968253812277,15,30,-69.71276575518674,24.104078000752903,35.19027515136604,35.1381023888595,45,0,5.948367085207411,54.38597595104145,-1.0276316816655364,-1.1889937563007642,15,-0.0018311531034229,-0.0134519097082772,12
cave_hsi,random,"(12,12,3)","(128,128)",0.5,ntdpl,45,9.462900646283469,9.024291658672324,45,0,1.6585391883015412,23.43106937543,10.717597466078738,9.325519587893917,36,9,-5.185757678827327,25.930275866799867,0.8754845995947416,0.8214917486286524,45,0.0078057924373967,0.0048366771783378,45
cave_hsi,random,"(12,12,3)","(128,128)",0.5,softimpute,45,-38.26263652334225,-40.83072457005871,6,39,-121.84022908179728,17.95155454608512,27.42901908339721,29.275114352085275,42,3,-4.714850908090643,53.92652300246805,-2.5200233913498056,-2.9739477584705867,6,-0.024924086984702,-0.0314371481453675,3
cave_hsi,random,"(12,12,3)","(128,128)",0.7,ntdpl,45,9.397353263777356,8.6336995044306,45,0,1.4296215867396278,23.603345023669004,10.514734485294149,9.62697571837422,37,8,-5.757190014308075,25.39799677879349,0.869372204146624,0.784278960235266,45,0.0079978838987564,0.0047432255573228,45
cave_hsi,random,"(12,12,3)","(128,128)",0.7,softimpute,45,-81.72619949309757,-85.41333385728964,3,42,-230.5438170164099,5.285816670808844,15.3404674401069,20.62801903581309,36,9,-29.537006623601247,52.098229891113576,-4.752029525007399,-5.362818805824897,3,-0.0849664411195482,-0.0858489137444512,0
cave_hsi,random,"(24,24,4)","(128,128)",0.3,ntdpl,45,11.04058257381302,10.937322254383318,45,0,3.358620714832085,22.94225755841453,14.6200099503175,14.620415628963029,42,3,-9.155644391136711,34.64931196680267,1.0294693693588437,1.0060847650306286,45,0.0053493677577936,0.0019117679749987,45
cave_hsi,random,"(24,24,4)","(128,128)",0.3,softimpute,45,-77.79842452364343,-90.02684726700173,3,42,-171.78987899850435,11.61584701128405,15.373153952177324,15.810416962345592,34,11,-7.851036531019264,41.4676243651622,-4.623804621333256,-5.576299425439188,3,-0.0261275509177867,-0.0285824802551384,3
cave_hsi,random,"(24,24,4)","(128,128)",0.5,ntdpl,45,10.94512333980728,10.687105086037873,45,0,4.21514318599158,22.98916204811186,12.53893854642643,13.633700763933629,39,6,-9.300665153840647,31.3014734195276,1.0197004947951398,0.9817165886154058,45,0.0053357922695106,0.0019772528686627,45
cave_hsi,random,"(24,24,4)","(128,128)",0.5,softimpute,45,-113.42600403452604,-128.30209897477425,3,42,-254.69147937151243,0.5810551314704545,1.110544776231617,3.629197467078492,26,19,-29.454556214274835,32.00355325637956,-6.131400671110319,-7.170198235734347,3,-0.0503992037364916,-0.049909416301255,0
cave_hsi,random,"(24,24,4)","(128,128)",0.7,ntdpl,45,9.903100338234372,10.072837884745685,44,1,-8.035940588374379,23.06354136166766,11.742078288651706,13.284011826185491,39,6,-10.143355737152888,30.037397603830463,0.923068636208392,0.9221819864352128,44,0.0051013782930315,0.0020624869647206,43
cave_hsi,random,"(24,24,4)","(128,128)",0.7,softimpute,45,-175.77734403268872,-174.57160256246226,0,45,-415.7909852969554,-18.182942573741258,-18.086937892611783,-15.101362484700498,15,30,-67.29499766729174,22.51306080273845,-8.21879213912173,-8.773111918579414,0,-0.1114904098089755,-0.111191961470653,0
cave_hsi,block,"(12,12,3)","(128,128)",0.3,ntdpl,45,-37.70883000038279,8.731268364743059,32,13,-771.2873221123311,23.68727862729608,29.23489460483773,27.261524949090333,45,0,1.488822699444386,55.041360631119474,-1.1388233273912896,0.7935599263076867,32,-0.0154510427223227,0.0442279324577619,31
