missing_rate,target,pearson_r,pearson_p,spearman_r,spearman_p,n_scenes
0.3,ntdpl_gain,0.6619385917443358,0.007184432638649028,0.7357142857142855,0.0017698686421442704,15
0.3,joint_extra_gain,0.5611122321745182,0.02953589040322575,0.5357142857142856,0.03956697222954946,15
0.5,ntdpl_gain,0.6402300354294651,0.01014113140472228,0.6714285714285713,0.00612776678882011,15
0.5,joint_extra_gain,0.5313189202444545,0.04153242526100028,0.5214285714285714,0.04621923447857304,15
