scene_id,scene_name,method,method_label,RMSE_missing,SAM_missing,NMSE_dB_all,fit_time_sec
1,balloons,tucker,Tucker,0.014305522869863753,8.526988991344396,-23.493066009953488,516.4778724999924
1,balloons,polycal,Tucker + PolyCal(P=4),0.014247316867113113,8.24110858015915,-23.52811491335901,0.40284320001956075
1,balloons,mlpcal,Tucker + MLPCal(H=16),0.014262935146689415,8.342814287852466,-23.51904256872475,10.054824999999255
1,balloons,ntdpl,NTD-PL,0.013630334287881851,7.812792582516037,-23.910124907967088,705.4194565999987
2,beads,tucker,Tucker,0.07581535469151222,26.678414231089363,-9.026727702233948,515.2343534000101
2,beads,polycal,Tucker + PolyCal(P=4),0.07295729964971542,20.741003675919963,-9.361937338135567,0.40988500003004447
2,beads,mlpcal,Tucker + MLPCal(H=16),0.07302327454090118,21.03354128917333,-9.354872979772239,10.208798500010744
2,beads,ntdpl,NTD-PL,0.06460932642221451,21.892583419249398,-10.446572763245685,797.7777532
3,cd,tucker,Tucker,0.03175429138575754,10.761125071561981,-12.650907662901531,516.3036695999908
3,cd,polycal,Tucker + PolyCal(P=4),0.03096996620297432,10.921900481813552,-12.872701185196473,0.40319819998694584
3,cd,mlpcal,Tucker + MLPCal(H=16),0.031424377113580704,10.600580638870898,-12.745282217957307,10.721614699985366
3,cd,ntdpl,NTD-PL,0.026703933253884315,12.800064953864524,-14.20287013442173,2083.8606628999987
4,chart_and_stuffed_toy,tucker,Tucker,0.027279968252599054,14.401170409967515,-20.747981949348016,515.6596970999963
4,chart_and_stuffed_toy,polycal,Tucker + PolyCal(P=4),0.02715090475976467,13.704421697289856,-20.789225540268916,0.4122025999822654
4,chart_and_stuffed_toy,mlpcal,Tucker + MLPCal(H=16),0.027161601930856705,13.898662405100435,-20.785930235476595,10.0269668000401
4,chart_and_stuffed_toy,ntdpl,NTD-PL,0.02440822497010231,12.894428201346871,-21.72129918001516,1617.3997356
5,clay,tucker,Tucker,0.010861112969953879,25.04313197243335,-23.515449907769778,523.83538460001
5,clay,polycal,Tucker + PolyCal(P=4),0.010768302716314793,24.447911596720743,-23.588949332218828,0.4059866000316106
5,clay,mlpcal,Tucker + MLPCal(H=16),0.010812850669026375,24.69689442208636,-23.553307088152735,10.926537899998948
5,clay,ntdpl,NTD-PL,0.00914435088634491,23.393304954868228,-25.003905430361982,1711.704937800001
6,cloth,tucker,Tucker,0.0549958668298099,8.777459824338269,-12.404224894358425,514.1265988000087
6,cloth,polycal,Tucker + PolyCal(P=4),0.05447373539209366,8.35505071562875,-12.487894521530043,0.4053354000207037
6,cloth,mlpcal,Tucker + MLPCal(H=16),0.054488155990839005,8.419997806952551,-12.485634893907612,10.7911009999807
6,cloth,ntdpl,NTD-PL,0.052390165627002716,8.51732728564501,-12.837586674997443,2002.8136818999992
7,egyptian_statue,tucker,Tucker,0.008361686858717526,16.672448039451012,-21.705374291899787,493.5176759000169
7,egyptian_statue,polycal,Tucker + PolyCal(P=4),0.008350765332579613,15.910386431618335,-21.716207050572987,0.40015739999944344
7,egyptian_statue,mlpcal,Tucker + MLPCal(H=16),0.008365553803741932,16.31601404431853,-21.700222658332542,9.75478459999431
7,egyptian_statue,ntdpl,NTD-PL,0.008451521396636963,18.683486947852387,-21.595934008977956,1864.6641691999976
8,feathers,tucker,Tucker,0.030743099675478447,17.821480168069172,-17.130962809246462,526.3668755000108
8,feathers,polycal,Tucker + PolyCal(P=4),0.030063940212130547,15.676539208503222,-17.324505476428197,0.3978144000284374
8,feathers,mlpcal,Tucker + MLPCal(H=16),0.02967800572514534,15.46891896575064,-17.43791998100467,9.525705899985041
8,feathers,ntdpl,NTD-PL,0.02358842082321644,12.060753456219608,-19.459387952981967,2600.788777099995
9,flowers,tucker,Tucker,0.0200436588882591,27.428778504252648,-18.471307965455615,565.912522300001
9,flowers,polycal,Tucker + PolyCal(P=4),0.019779618829488754,24.011347185305954,-18.587905578117084,0.4136836999678053
9,flowers,mlpcal,Tucker + MLPCal(H=16),0.01978452317416668,24.300221855765358,-18.585993865085165,12.248063699982595
9,flowers,ntdpl,NTD-PL,0.017629239708185196,20.870329096760834,-19.603943260116882,2577.3677129999996
10,glass_tiles,tucker,Tucker,0.02165810138460792,9.864756725844188,-18.76678851113529,565.2346296999895
10,glass_tiles,polycal,Tucker + PolyCal(P=4),0.021435432136058807,9.675833917865596,-18.85330572126447,0.477819699968677
10,glass_tiles,mlpcal,Tucker + MLPCal(H=16),0.02154623344540596,9.76516501242909,-18.813086555038826,10.16860049997922
10,glass_tiles,ntdpl,NTD-PL,0.01837005838751793,7.279278537629205,-20.183089558035086,1225.6914012000052
11,pompoms,tucker,Tucker,0.03144921659153696,10.564311704637806,-17.671540716145095,550.6567157999962
11,pompoms,polycal,Tucker + PolyCal(P=4),0.0305614173412323,9.552403430740085,-17.919595393382867,0.46388609998393804
11,pompoms,mlpcal,Tucker + MLPCal(H=16),0.030638331547379494,9.802455542276752,-17.898336697259193,12.430360199999996
11,pompoms,ntdpl,NTD-PL,0.02776172384619713,8.785370430464706,-18.761652150180243,1177.1533479999925
12,sponges,tucker,Tucker,0.01841315867925104,7.760665122776052,-26.100697424598444,581.0101869000064
