dataset_key,dataset,shape,rank,p_max,n_iter_max,lr_core,lr_factors,lambda_beta,tucker_time_sec,ntdpl_time_sec,tucker_rmse,tucker_nmse_db,tucker_psnr,tucker_ssim,tucker_sam,ntdpl_rmse,ntdpl_nmse_db,ntdpl_psnr,ntdpl_ssim,ntdpl_sam,gain_rmse_pct,delta_nmse_db,delta_psnr,delta_ssim,delta_sam
cbsd,CBSD68,68x96x96x3,"(4,12,12,2)",2,160,0.0001,0.0003,1e-06,0.6272991999285296,11.921163400053048,0.1836805790662765,-8.44657380308035,14.718734858558967,0.631518728039915,9.054832350616731,0.1830067634582519,-8.478496610550435,14.75065716638838,0.6352134735972482,8.601226481824838,0.3668409645972793,0.0319228074700852,0.0319223078294115,0.0036947455573331,0.4536058687918931
cifar,CIFAR-10,1000x32x32x3,"(8,8,8,2)",2,160,0.0001,0.0003,1e-06,2.61147520004306,28.785482099978253,0.154103085398674,-10.817745805458188,16.243772807563907,0.7699175117197538,6.910247490491008,0.1536587476730346,-10.842826436391004,16.26885392504307,0.7714346337990361,6.573444926021468,0.288337981351778,0.0250806309328162,0.0250811174791643,0.0015171220792823,0.33680256446954
norb,smallNORB,25x18x64x64x2,"(4,6,12,12,2)",2,160,0.0001,0.0003,1e-06,2.0975085999816656,38.01230130007025,0.0790401548147201,-21.14714213967215,22.043044918404245,0.8013141876865263,1.0740976182218926,0.0771838128566742,-21.35357329311759,22.249475610055534,0.8123341047242149,1.052509530295012,2.348606176692661,0.2064311534454397,0.2064306916512883,0.0110199170376885,0.0215880879268806
cbsd,CBSD68,68x96x96x3,"(4,12,12,2)",3,160,0.0001,0.0003,1e-06,0.5133937000064179,11.998837199993432,0.1836805790662765,-8.44657380308035,14.718734858558967,0.631518728039915,9.054832350616731,0.1828051060438156,-8.488072512154602,14.760233951615898,0.6363432321789619,8.57900610121314,0.4766279739052025,0.0414987090742524,0.041499093056931,0.0048245041390468,0.4758262494035907
cbsd,CBSD68,68x96x96x3,"(4,12,12,2)",4,180,7e-05,0.0002,1e-06,0.5133937000064179,15.713929799967444,0.1836805790662765,-8.44657380308035,14.718734858558967,0.631518728039915,9.054832350616731,0.1825043261051178,-8.502375680334438,14.774536573228048,0.6379515946981047,8.573035771114522,0.6403796019906551,0.0558018772540886,0.0558017146690801,0.0064328666581896,0.481796579502209
cbsd,CBSD68,68x96x96x3,"(4,12,12,2)",3,220,7e-05,0.0002,1e-07,0.5133937000064179,19.201789899962023,0.1836805790662765,-8.44657380308035,14.718734858558967,0.631518728039915,9.054832350616731,0.1827999502420425,-8.488317869027988,14.760478891410134,0.6364000443441714,8.573299545544305,0.479434912885513,0.041744065947638,0.0417440328511666,0.0048813163042563,0.4815328050724261
cbsd,CBSD68,68x96x96x3,"(6,12,12,2)",2,160,0.0001,0.0003,1e-06,1.3834035000763834,14.587912500021048,0.1718145906925201,-9.026638025031378,15.298799118567493,0.6916625693807101,7.994957112754934,0.1715043485164642,-9.042336321688284,15.314497518286462,0.6932116481420864,7.714755833990144,0.1805680034538617,0.0156982966569074,0.0156983997189694,0.0015490787613762,0.2802012787647898
cbsd,CBSD68,68x96x96x3,"(6,12,12,2)",3,160,0.0001,0.0003,1e-06,1.3834035000763834,16.494659299962223,0.1718145906925201,-9.026638025031378,15.298799118567493,0.6916625693807101,7.994957112754934,0.1707961559295654,-9.078277062129915,15.350438362639336,0.6965558226757688,7.388006752178182,0.5927521980815387,0.0516390370985391,0.0516392440718433,0.0048932532950586,0.6069503605767519
cbsd,CBSD68,68x96x96x3,"(6,12,12,2)",4,180,7e-05,0.0002,1e-06,1.3834035000763834,20.19969460007269,0.1718145906925201,-9.026638025031378,15.298799118567493,0.6916625693807101,7.994957112754934,0.1706835478544235,-9.08400576705398,15.356167086796734,0.6970711747221293,7.380985433442083,0.6582926592775441,0.0573677420226026,0.0573679682292418,0.0054086053414191,0.6139716793128507
cbsd,CBSD68,68x96x96x3,"(6,12,12,2)",3,220,7e-05,0.0002,1e-07,1.3834035000763834,19.09451199998148,0.1718145906925201,-9.026638025031378,15.298799118567493,0.6916625693807101,7.994957112754934,0.1707933694124221,-9.078418905327574,15.350580080377178,0.69659382565299,7.383402784722768,0.5943740144430119,0.0517808802961958,0.0517809618096851,0.0049312562722798,0.6115543280321658
cbsd,CBSD68,68x96x96x3,"(8,12,12,2)",2,160,0.0001,0.0003,1e-06,1.3342862999998033,12.688366999966092,0.1652452498674392,-9.365259111253591,15.63742011338514,0.721213118305274,8.001328195558786,0.1649544239044189,-9.380559283640556,15.652720504888332,0.7227177075745149,7.68640790455165,0.1759965646538263,0.015300172386965,0.0153003915031924,0.0015045892692409,0.3149202910071356
cbsd,CBSD68,68x96x96x3,"(8,12,12,2)",3,160,0.0001,0.0003,1e-06,1.3342862999998033,13.788772500003688,0.1652452498674392,-9.365259111253591,15.63742011338514,0.721213118305274,8.001328195558786,0.1639903634786605,-9.431472924918992,15.70363389747693,0.7267075060696897,7.26287722422517,0.7594084488270397,0.0662138136654011,0.06621378409179,0.0054943877644156,0.7384509713336165
cbsd,CBSD68,68x96x96x3,"(8,12,12,2)",4,180,7e-05,0.0002,1e-06,1.3342862999998033,17.275446100044064,0.1652452498674392,-9.365259111253591,15.63742011338514,0.721213118305274,8.001328195558786,0.1639538705348968,-9.433405383903455,15.705566373928155,0.7268933831889911,7.252554471242826,0.7814925594402088,0.068146272649864,0.0681462605430152,0.005680264883717,0.74877372431596
cbsd,CBSD68,68x96x96x3,"(8,12,12,2)",3,220,7e-05,0.0002,1e-07,1.3342862999998033,18.73697279999033,0.1652452498674392,-9.365259111253591,15.63742011338514,0.721213118305274,8.001328195558786,0.1639861911535263,-9.431693498639314,15.703854820220162,0.7267658389034587,7.257839133170341,0.761933377766071,0.0664343873857227,0.0664347068350217,0.0055527205981846,0.7434890623884449
cbsd,CBSD68,68x96x96x3,"(8,16,16,2)",2,160,0.0001,0.0003,1e-06,1.3668370000086725,13.49484089994803,0.1643912345170974,-9.410265937854374,15.682427021606596,0.7248776704843944,8.051113892575707,0.1639916151762008,-9.431405931772774,15.7035669885556,0.726687450060011,7.647030411560834,0.2430904190667441,0.0211399939183998,0.0211399669490042,0.0018097795756165,0.4040834810148723
cbsd,CBSD68,68x96x96x3,"(8,16,16,2)",3,160,0.0001,0.0003,1e-06,1.3668370000086725,14.235044399974868,0.1643912345170974,-9.410265937854374,15.682427021606596,0.7248776704843944,8.051113892575707,0.1629892587661743,-9.484659537052364,15.756820216769436,0.7309408919438379,7.266022856053354,0.8528287746250512,0.0743935991979896,0.0743931951628393,0.0060632214594434,0.7850910365223527
cbsd,CBSD68,68x96x96x3,"(8,16,16,2)",4,180,7e-05,0.0002,1e-06,1.3668370000086725,17.254759300034493,0.1643912345170974,-9.410265937854374,15.682427021606596,0.7248776704843944,8.051113892575707,0.162948727607727,-9.486819654517916,15.758980753059292,0.7311175344389487,7.256658096425994,0.8774840785202539,0.0765537166635415,0.0765537314526962,0.0062398639545542,0.7944557961497125
cbsd,CBSD68,68x96x96x3,"(8,16,16,2)",3,220,7e-05,0.0002,1e-07,1.3668370000086725,20.56953680003062,0.1643912345170974,-9.410265937854374,15.682427021606596,0.7248776704843944,8.051113892575707,0.162985011935234,-9.484885989970849,15.757046945282749,0.7309835196629331,7.26151266105102,0.8554121428640706,0.0746200521164741,0.0746199236761508,0.0061058491785386,0.7896012315246868
cbsd,CBSD68,68x96x96x3,"(10,16,16,2)",2,160,0.0001,0.0003,1e-06,0.6345963000785559,8.938180199940689,0.158464029431343,-9.729224937660438,16.001385981644717,0.7492719929139462,8.076713990252502,0.1578892916440963,-9.7607852651941,16.032946309903007,0.7515939299322083,7.559722298718848,0.3626929021741921,0.0315603275336613,0.0315603282582905,0.0023219370182621,0.5169916915336543
cbsd,CBSD68,68x96x96x3,"(10,16,16,2)",3,160,0.0001,0.0003,1e-06,0.6345963000785559,9.552248199936002,0.158464029431343,-9.729224937660438,16.001385981644717,0.7492719929139462,8.076713990252502,0.1569807976484298,-9.810908645325858,16.083069555465702,0.7552035785699999,7.161303772374578,0.9360053434434724,0.0816837076654195,0.0816835738209853,0.0059315856560536,0.9154102178779242
cbsd,CBSD68,68x96x96x3,"(10,16,16,2)",4,180,7e-05,0.0002,1e-06,0.6345963000785559,12.063746600062586,0.158464029431343,-9.729224937660438,16.001385981644717,0.7492719929139462,8.076713990252502,0.1568766981363296,-9.816669884279568,16.088831359817668,0.7555974303954935,7.130533369559429,1.0016981776303768,0.0874449466191293,0.0874453781729514,0.0063254374815473,0.946180620693073
cbsd,CBSD68,68x96x96x3,"(10,16,16,2)",3,220,7e-05,0.0002,1e-07,0.6345963000785559,16.895656700013205,0.158464029431343,-9.729224937660438,16.001385981644717,0.7492719929139462,8.076713990252502,0.1569788157939911,-9.811018311839756,16.083179539715616,0.7552280725598552,7.155782816806455,0.9372560086233834,0.0817933741793179,0.081793558070899,0.005956079645909,0.9209311734460472
cbsd,CBSD68,68x96x96x3,"(12,16,16,2)",2,160,0.0001,0.0003,1e-06,1.8878146999049927,13.529713900061324,0.1534226983785629,-10.010046890245391,16.28220779161089,0.7686042935711445,7.983749230167381,0.1529334783554077,-10.037787815428098,16.309948910908087,0.7704930646890865,7.489028982193622,0.3188706940534224,0.0277409251827069,0.0277411192971968,0.001888771117942,0.4947202479737589
cbsd,CBSD68,68x96x96x3,"(12,16,16,2)",3,160,0.0001,0.0003,1e-06,1.8878146999049927,14.35377669997979,0.1534226983785629,-10.010046890245391,16.28220779161089,0.7686042935711445,7.983749230167381,0.1519869416952133,-10.091713217631089,16.36387404730473,0.7740090887461846,7.038994418766107,0.9358176453180028,0.0816663273856956,0.0816662556938396,0.0054047951750401,0.9447548114012738
cbsd,CBSD68,68x96x96x3,"(12,16,16,2)",4,180,7e-05,0.0002,1e-06,1.8878146999049927,16.752948600100353,0.1534226983785629,-10.010046890245391,16.28220779161089,0.7686042935711445,7.983749230167381,0.1519058048725128,-10.0963516732916,16.368512347777305,0.774297126316804,7.013407221916563,0.988702142565144,0.0863047830462093,0.0863045561664144,0.0056928327456595,0.9703420082508174
cbsd,CBSD68,68x96x96x3,"(12,16,16,2)",3,220,7e-05,0.0002,1e-07,1.8878146999049927,20.2561735000927,0.1534226983785629,-10.010046890245391,16.28220779161089,0.7686042935711445,7.983749230167381,0.151986613869667,-10.09173172457473,16.36389311999489,0.7740223612514212,7.034268317090418,0.936031320054355,0.081684834329339,0.0816853283840011,0.0054180676802767,0.9494809130769628
cbsd,CBSD68,68x96x96x3,"(8,20,20,2)",2,160,0.0001,0.0003,1e-06,1.3917605000315234,13.821705500013197,0.163838043808937,-9.439543788286452,15.711704807810964,0.727223049210663,8.081408531924374,0.1634072959423065,-9.462410445601948,15.734571723491674,0.7292128894739768,7.638510279038148,0.2629107725021907,0.0228666573154949,0.0228669156807104,0.0019898402633137,0.4428982528862262
cbsd,CBSD68,68x96x96x3,"(8,20,20,2)",3,160,0.0001,0.0003,1e-06,1.3917605000315234,14.670888800057584,0.163838043808937,-9.439543788286452,15.711704807810964,0.727223049210663,8.081408531924374,0.1623741388320922,-9.517501547957837,15.789662638769638,0.7334775038427833,7.262986348132758,0.8935073581273645,0.0779577596713849,0.0779578309586739,0.0062544546321202,0.8184221837916166
cbsd,CBSD68,68x96x96x3,"(8,20,20,2)",4,180,7e-05,0.0002,1e-06,1.3917605000315234,17.478863000054844,0.163838043808937,-9.439543788286452,15.711704807810964,0.727223049210663,8.081408531924374,0.1623279005289077,-9.519975884109272,15.792136964631524,0.7337053011469654,7.251728112921522,0.9217293156834684,0.0804320958228199,0.0804321568205601,0.0064822519363023,0.8296804190028526
cbsd,CBSD68,68x96x96x3,"(8,20,20,2)",3,220,7e-05,0.0002,1e-07,1.3917605000315234,19.261921699973755,0.163838043808937,-9.439543788286452,15.711704807810964,0.727223049210663,8.081408531924374,0.1623704731464386,-9.517697867753334,15.789858956904224,0.7335255825893416,7.257724356818774,0.8957447418072876,0.0781540794668824,0.07815414909326,0.0063025333786785,0.8236841751056003
cbsd,CBSD68,68x96x96x3,"(12,20,20,2)",2,160,0.0001,0.0003,1e-06,1.4295065999031067,14.295994900050571,0.1524707078933715,-10.064110496970976,16.336271481691558,0.7721177733377752,8.030046151426575,0.1518870741128921,-10.097423044589908,16.369584313739633,0.7743185712289947,7.48749395301647,0.3827842006791153,0.0333125476189319,0.0333128320480753,0.0022007978912195,0.5425521984101049
cbsd,CBSD68,68x96x96x3,"(12,20,20,2)",3,160,0.0001,0.0003,1e-06,1.4295065999031067,15.277834900072776,0.1524707078933715,-10.064110496970976,16.336271481691558,0.7721177733377752,8.030046151426575,0.1509171724319458,-10.153065637784342,16.425226446573888,0.7778805229910035,7.042993640357669,1.018907489110778,0.0889551408133666,0.0889549648823297,0.0057627496532283,0.9870525110689056
cbsd,CBSD68,68x96x96x3,"(12,20,20,2)",4,180,7e-05,0.0002,1e-06,1.4295065999031067,17.8585167999845,0.1524707078933715,-10.064110496970976,16.336271481691558,0.7721177733377752,8.030046151426575,0.1508169621229171,-10.158835273391986,16.430996149956496,0.7782337154866384,7.015190549198318,1.084631791446087,0.0947247764210104,0.0947246682649378,0.0061159421488632,1.0148556022282564
cbsd,CBSD68,68x96x96x3,"(12,20,20,2)",3,220,7e-05,0.0002,1e-07,1.4295065999031067,19.811494699912146,0.1524707078933715,-10.064110496970976,16.336271481691558,0.7721177733377752,8.030046151426575,0.1509167253971099,-10.153091446893104,16.42525235992427,0.7778948965026269,7.038154944088627,1.0192006830245417,0.0889809499221279,0.0889808782327108,0.0057771231648516,0.9918912073379476
cbsd,CBSD68,68x96x96x3,"(12,24,24,2)",2,160,0.0001,0.0003,1e-06,1.448194499942474,14.764603100018576,0.1517388820648193,-10.1059010892501,16.37806194162818,0.7747905216645422,8.064349506359406,0.1511030048131942,-10.142377103106892,16.41453803109143,0.7771490326043049,7.489183982243117,0.419060192728604,0.0364760138567916,0.0364760894632496,0.0023585109397626,0.5751655241162892
cbsd,CBSD68,68x96x96x3,"(12,24,24,2)",3,160,0.0001,0.0003,1e-06,1.448194499942474,15.403888099943288,0.1517388820648193,-10.1059010892501,16.37806194162818,0.7747905216645422,8.064349506359406,0.15008045732975,-10.201356360836504,16.473517361798457,0.7808717210362952,7.047251561526502,1.0929464567696197,0.0954552715864025,0.0954554201702784,0.0060811993717529,1.017097944832904
cbsd,CBSD68,68x96x96x3,"(12,24,24,2)",4,180,7e-05,0.0002,1e-06,1.448194499942474,17.74915729998611,0.1517388820648193,-10.1059010892501,16.37806194162818,0.7747905216645422,8.064349506359406,0.1499638557434082,-10.208107329812297,16.480268275048488,0.7812790231208893,7.01709281968895,1.169790034865871,0.1022062405621966,0.1022063334203089,0.006488501456347,1.0472566866704556
cbsd,CBSD68,68x96x96x3,"(12,24,24,2)",3,220,7e-05,0.0002,1e-07,1.448194499942474,20.38578720006626,0.1517388820648193,-10.1059010892501,16.37806194162818,0.7747905216645422,8.064349506359406,0.1500801295042038,-10.201375002028776,16.47353618941899,0.7808858399706109,7.042283316763583,1.0931625026121907,0.0954739127786759,0.0954742477908112,0.0060953183060686,1.0220661895958232
cbsd,CBSD68,68x96x96x3,"(16,24,24,2)",2,160,0.0001,0.0003,1e-06,1.4821073999628425,14.960068700020202,0.1430840343236923,-10.616015498613638,16.88817664452677,0.8046394156901774,7.908168549683529,0.1425737291574478,-10.647048419537974,16.919209658267217,0.8063529911477662,7.305435508243949,0.3566471749671716,0.0310329209243356,0.0310330137404477,0.0017135754575887,0.6027330414395795
cbsd,CBSD68,68x96x96x3,"(16,24,24,2)",3,160,0.0001,0.0003,1e-06,1.4821073999628425,15.863274300005289,0.1430840343236923,-10.616015498613638,16.88817664452677,0.8046394156901774,7.908168549683529,0.1413116306066513,-10.724281108527968,16.996442236702222,0.8104355346029785,6.713404722489411,1.2387152245311936,0.1082656099143299,0.1082655921754529,0.005796118912801,1.1947638271941177
cbsd,CBSD68,68x96x96x3,"(16,24,24,2)",4,180,7e-05,0.0002,1e-06,1.4821073999628425,18.62188290001359,0.1430840343236923,-10.616015498613638,16.88817664452677,0.8046394156901774,7.908168549683529,0.1412066519260406,-10.730736042626194,17.002896600481293,0.81077314492435,6.687979398302528,1.3120837740740228,0.114720544012556,0.1147199559545235,0.0061337292341726,1.2201891513810006
cbsd,CBSD68,68x96x96x3,"(16,24,24,2)",3,220,7e-05,0.0002,1e-07,1.4821073999628425,21.43153840000741,0.1430840343236923,-10.616015498613638,16.88817664452677,0.8046394156901774,7.908168549683529,0.1413110643625259,-10.72431513322346,16.99647640396914,0.8104504433189893,6.7076478233927,1.2391109668850089,0.1082996346098212,0.1082997594423709,0.0058110276288119,1.2005207262908293
