missing_rate,scene_id,scene_name,mask_seed,cv_nonlinear_over_affine,affine_r2,nonlinear_r2,observed_count,sample_count
0.3,1,balloons,0,0.019362342180839594,-1.2369806718666906e-05,0.019349972374120988,5689862,120000
0.3,2,beads,0,0.07231453078288937,2.4426401690387973e-05,0.07233895718457972,5689862,120000
0.3,3,cd,0,0.02236582200983013,-0.00018342096349525475,0.02218240104633488,5689862,120000
0.3,4,chart_and_stuffed_toy,0,0.02921400668625072,-0.00023007483570721318,0.028983931850543525,5689862,120000
0.3,5,clay,0,0.03189545859718156,1.8603024181107486e-05,0.03191406162136268,5689862,120000
0.3,6,cloth,0,0.02522552482004228,-6.933953755194899e-05,0.02515618528249027,5689862,120000
0.3,7,egyptian_statue,0,0.0310914770489049,-3.3321281186567596e-05,0.031058155767718348,5689862,120000
0.3,8,face,0,0.014414433769593194,-8.888066220894923e-05,0.014325553107384223,5689862,120000
0.3,9,fake_and_real_beers,0,0.010566145667515592,4.918758667941484e-05,0.010615333254194984,5689862,120000
0.3,10,fake_and_real_food,0,0.07074697772896196,-0.0001328306357415432,0.07061414709322049,5689862,120000
0.3,11,fake_and_real_lemon_slices,0,0.030248871209057848,-4.3659787997215226e-05,0.030205211421060658,5689862,120000
0.3,12,fake_and_real_lemons,0,0.025599569182575305,-8.023144396407389e-05,0.025519337738611186,5689862,120000
0.3,13,fake_and_real_peppers,0,0.03231313702939892,-3.12424117048978e-05,0.032281894617693964,5689862,120000
0.3,14,fake_and_real_strawberries,0,0.030585450661773112,5.42336163803873e-06,0.03059087402341117,5689862,120000
0.3,15,fake_and_real_sushi,0,0.02977445868307293,1.519820097461988e-05,0.029789656884047593,5689862,120000
0.5,1,balloons,0,0.02503941959411952,-0.00011359524428056211,0.02492582434983896,4063329,120000
0.5,2,beads,0,0.07912894886996982,-1.566233121219618e-05,0.0791132865387576,4063329,120000
0.5,3,cd,0,0.0212031811112319,-0.0004863417643441448,0.02071683934688769,4063329,120000
0.5,4,chart_and_stuffed_toy,0,0.031702526691631046,-9.306068571272401e-05,0.03160946600591837,4063329,120000
0.5,5,clay,0,0.03683015362476901,-4.16739183998575e-06,0.03682598623292899,4063329,120000
0.5,6,cloth,0,0.02384270910413688,7.499089157462595e-06,0.023850208193294347,4063329,120000
0.5,7,egyptian_statue,0,0.02682588532594563,-5.035248162029345e-05,0.02677553284432536,4063329,120000
0.5,8,face,0,0.012990851118197333,-6.164752993109701e-05,0.012929203588266214,4063329,120000
0.5,9,fake_and_real_beers,0,0.010996818994465083,-5.656556975515888e-05,0.010940253424709945,4063329,120000
0.5,10,fake_and_real_food,0,0.0694015861490161,-0.0002018436943590126,0.06919974245465714,4063329,120000
0.5,11,fake_and_real_lemon_slices,0,0.027199007883327256,-0.00030751562381414743,0.02689149225951304,4063329,120000
0.5,12,fake_and_real_lemons,0,0.02638246814082622,-2.1609538183050187e-05,0.026360858602643217,4063329,120000
0.5,13,fake_and_real_peppers,0,0.033783571700278715,-6.376372386533251e-05,0.033719807976413385,4063329,120000
0.5,14,fake_and_real_strawberries,0,0.030866468798778166,-4.5202371946384545e-05,0.030821266426831806,4063329,120000
0.5,15,fake_and_real_sushi,0,0.0264156504863552,-0.0007308642076722845,0.025684786278682942,4063329,120000
